task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-13T08:31:50,mbpo_Ant-v5_seed14577,11f776f5-d5a1-48f2-b22f-0949dba695bf,90.00326081099774,0.0005894889565034839,6.549639905186161e-06,16.64719254600947,12.065187006148893,20.0,0.0004062372308228576,0.0006239952214179834,0.0005171857299444431,0.001547418182185284,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-13T08:31:51,mbpo_Ant-v5_seed14577,11f776f5-d5a1-48f2-b22f-0949dba695bf,0.6736377870038268,7.944725537349889e-06,1.1793603714477426e-05,23.652780894118592,25.93356255712729,20.0,7.070384822970011e-06,1.0042785812069965e-05,3.7418642444713747e-06,2.085503487951135e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_0,2026-09-13T08:31:56,mbpo_Ant-v5_seed14577,11f776f5-d5a1-48f2-b22f-0949dba695bf,5.048882581002545,5.9368765725424546e-05,1.1758826006128262e-05,26.579673205205005,36.2691807082867,20.0,3.345103842747332e-05,9.43459088099674e-05,2.8047036816699115e-05,0.00015584398405413973,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-13T08:31:57,mbpo_Ant-v5_seed14577,11f776f5-d5a1-48f2-b22f-0949dba695bf,0.39244217200030107,4.443738001451859e-06,1.1323723413926742e-05,26.557579927846934,41.08215618843964,20.0,2.903471211658515e-06,6.580560819924308e-06,2.1808531277605573e-06,1.166488515934338e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_0,2026-09-13T08:31:57,mbpo_Ant-v5_seed14577,11f776f5-d5a1-48f2-b22f-0949dba695bf,0.02162149699870497,1.1405536810111475e-07,5.275663117399609e-06,26.762401446759227,34.23513015703303,20.0,1.8227431248379888e-07,0.0,1.1712290001416638e-07,2.9939721249796526e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-13T08:32:01,mbpo_Ant-v5_seed14577,11f776f5-d5a1-48f2-b22f-0949dba695bf,4.002753847002168,4.8264058214474376e-05,1.205771920154086e-05,26.85792343754335,39.04389708180277,20.0,2.89422606537873e-05,7.550950485191166e-05,2.2242179144450367e-05,0.00012669394465014932,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_1,2026-09-13T08:32:04,mbpo_Ant-v5_seed14577,11f776f5-d5a1-48f2-b22f-0949dba695bf,3.074676374999399,3.6406638691387e-05,1.1840753741687307e-05,26.71414875003761,42.55071368792902,20.0,2.1197964180583173e-05,5.7293101390021306e-05,1.707695829443565e-05,9.556802386504002e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-13T08:32:04,mbpo_Ant-v5_seed14577,11f776f5-d5a1-48f2-b22f-0949dba695bf,0.34636386999773094,4.535435601633821e-06,1.3094356537916309e-05,27.466824255823596,45.61405248826328,20.0,3.2407237036888303e-06,6.742227616096663e-06,1.9226415444589546e-06,1.1905592864244231e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_1,2026-09-13T08:32:04,mbpo_Ant-v5_seed14577,11f776f5-d5a1-48f2-b22f-0949dba695bf,0.006758871000783984,3.747761346986449e-08,5.5395186546995876e-06,27.28839346380834,41.05264723943695,20.0,6.278143910992684e-08,0.0,3.55979111190622e-08,9.837935022920588e-08,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-13T08:32:08,mbpo_Ant-v5_seed14577,11f776f5-d5a1-48f2-b22f-0949dba695bf,3.9537138099985896,4.7594987152498286e-05,1.2038056903706001e-05,27.155919129000434,43.45493174678033,20.0,2.8873833654609327e-05,7.41011703919714e-05,2.1962618088865508e-05,0.00012493762213544634,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
