task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-17T15:18:48,mbpo_Ant-v5_seed14577,a6387657-8494-478d-a9af-833e5f4e608e,90.00275398799931,0.0005907977051445289,6.564217744899411e-06,5.899363942844873,12.449058580101346,20.0,0.000390382308416707,0.0006435363481619993,0.0005169350122611124,0.0015508536688398186,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-17T15:18:49,mbpo_Ant-v5_seed14577,a6387657-8494-478d-a9af-833e5f4e608e,0.6719070529998135,7.956395132098092e-06,1.1841341418069952e-05,16.283920553756705,26.553018498687305,20.0,6.9381249949360124e-06,1.0216674840024531e-05,3.7308679222203874e-06,2.088566775718093e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_0,2026-09-17T15:18:55,mbpo_Ant-v5_seed14577,a6387657-8494-478d-a9af-833e5f4e608e,5.712002219999704,6.861783624351485e-05,1.2012939920519184e-05,20.9892348290807,36.952958285691636,20.0,4.0261278320106314e-05,0.00010813036428197753,3.173130330555473e-05,0.00018012294590763847,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-17T15:18:55,mbpo_Ant-v5_seed14577,a6387657-8494-478d-a9af-833e5f4e608e,0.3888544910005294,4.769172338402183e-06,1.2264824637695025e-05,23.367771138610216,42.1444449093432,20.0,3.569922855932439e-06,6.790838765979856e-06,2.158394011116311e-06,1.2519155633028498e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_0,2026-09-17T15:18:55,mbpo_Ant-v5_seed14577,a6387657-8494-478d-a9af-833e5f4e608e,0.022043253000447294,1.1143823455282611e-07,5.056473984148014e-06,23.79287226432964,35.120370757786,20.0,1.730512495523584e-07,0.0,1.1947594444382606e-07,2.9252719399618446e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-17T15:18:59,mbpo_Ant-v5_seed14577,a6387657-8494-478d-a9af-833e5f4e608e,4.18696336100038,7.504051551664366e-05,1.7922425841644013e-05,24.09841813177845,47.73408471320865,20.0,3.0236050855485946e-05,0.0001434934481279737,2.3253085388882477e-05,0.0001969825843723418,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_1,2026-09-17T15:19:03,mbpo_Ant-v5_seed14577,a6387657-8494-478d-a9af-833e5f4e608e,4.007850574000258,4.791089011161069e-05,1.1954189749048743e-05,24.22803528590546,50.67090246657494,20.0,2.4211501869188246e-05,7.929173010007284e-05,2.2263640616670727e-05,0.0001257668725859317,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-17T15:19:04,mbpo_Ant-v5_seed14577,a6387657-8494-478d-a9af-833e5f4e608e,0.36709462399994663,4.448914093322081e-06,1.211897144055475e-05,24.478499068489395,52.62926252594985,20.0,2.715466339037187e-06,6.933061101943583e-06,2.0299450444428383e-06,1.1678472485423391e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_1,2026-09-17T15:19:04,mbpo_Ant-v5_seed14577,a6387657-8494-478d-a9af-833e5f4e608e,0.007984256000781897,3.98848660381531e-08,4.99139577837206e-06,24.270392720631428,47.36633627335486,20.0,6.242504993828057e-08,0.0,4.227337777691544e-08,1.0469842771530444e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-17T15:19:08,mbpo_Ant-v5_seed14577,a6387657-8494-478d-a9af-833e5f4e608e,4.135369633000664,7.558762888523751e-05,1.8278342383715177e-05,24.171085903904352,54.55426398602605,20.0,3.022604834748699e-05,0.00014522122728799491,2.2971490305553747e-05,0.00019841876594103554,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_2,2026-09-17T15:19:12,mbpo_Ant-v5_seed14577,a6387657-8494-478d-a9af-833e5f4e608e,3.9220527050001692,4.779879483822599e-05,1.2187199843780454e-05,24.32390916548434,55.84528266773602,20.0,2.7379932737259943e-05,7.630589437807034e-05,2.1786793538891916e-05,0.0001254726206542222,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-17T15:19:12,mbpo_Ant-v5_seed14577,a6387657-8494-478d-a9af-833e5f4e608e,0.35407272500015097,3.980752389307106e-06,1.1242564507273761e-05,25.04834036856685,55.57677008757014,20.0,3.3375321144696324e-06,5.146393005972527e-06,1.9656152111161397e-06,1.044954033155819e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_2,2026-09-17T15:19:12,mbpo_Ant-v5_seed14577,a6387657-8494-478d-a9af-833e5f4e608e,0.008172439998816117,6.971238746447238e-07,8.525279562565222e-05,25.12045818398145,109.44179976668741,20.0,7.361505888897613e-08,1.714445815981236e-06,4.190073333220842e-08,1.8299616082024205e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-17T15:19:16,mbpo_Ant-v5_seed14577,a6387657-8494-478d-a9af-833e5f4e608e,4.152689645999999,7.460316039894263e-05,1.7965048142410195e-05,25.18278847603068,110.3939694459424,20.0,3.0058422102272747e-05,0.00014270789194403832,2.3068205966663108e-05,0.00019583452001297429,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_3,2026-09-17T15:19:18,mbpo_Ant-v5_seed14577,a6387657-8494-478d-a9af-833e5f4e608e,1.5475831060011842,1.9545269861323327e-05,1.262931194057037e-05,25.198257849015445,108.15234878123573,20.0,1.0681591323044581e-05,3.203002562396362e-05,8.59503710555346e-06,5.130665405256177e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-17T15:19:18,mbpo_Ant-v5_seed14577,a6387657-8494-478d-a9af-833e5f4e608e,0.352133258998947,3.9392397983442715e-06,1.1186501790682598e-05,25.687646854594952,104.87186060655497,20.0,3.297571249165354e-06,5.097226300043722e-06,1.945771550001347e-06,1.034056909921064e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
