task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-17T18:21:31,mbpo_Ant-v5_seed14577,3a088b14-308d-4a82-afa7-336bf7a5986c,90.0027457340002,0.0005991264315134247,6.656756962037815e-06,11.78901809951889,12.916551696826765,20.0,0.0003875846484008051,0.0006679813677180624,0.0005171506960833237,0.001572716712202191,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-17T18:21:32,mbpo_Ant-v5_seed14577,3a088b14-308d-4a82-afa7-336bf7a5986c,0.6743287430035707,7.587750662631752e-06,1.125214092452391e-05,20.18783828805216,25.022820372891328,20.0,6.9500780600605105e-06,9.222229599981091e-06,3.7456623166791337e-06,1.9917969976720844e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_0,2026-09-17T18:21:38,mbpo_Ant-v5_seed14577,3a088b14-308d-4a82-afa7-336bf7a5986c,5.7492402989992115,6.928240408472103e-05,1.205071981512594e-05,23.833297531414345,36.31412193281334,20.0,3.7847155833253127e-05,0.00011208286744401885,3.193742411666692e-05,0.0001818674473939388,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-17T18:21:39,mbpo_Ant-v5_seed14577,3a088b14-308d-4a82-afa7-336bf7a5986c,0.4044702649989631,4.599469787207929e-06,1.137171962351549e-05,24.337911751964842,41.25972923865487,20.0,2.9757807139541015e-06,6.853061037981334e-06,2.244841900008246e-06,1.2073683651943681e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_0,2026-09-17T18:21:39,mbpo_Ant-v5_seed14577,3a088b14-308d-4a82-afa7-336bf7a5986c,0.021959956000500824,1.1146896251911301e-07,5.077911962404301e-06,24.622596449788983,34.38310769887906,20.0,1.734412498621829e-07,0.0,1.1916660554969934e-07,2.9260785541188224e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-17T18:21:43,mbpo_Ant-v5_seed14577,3a088b14-308d-4a82-afa7-336bf7a5986c,4.271603369001241,8.806189282146634e-05,2.0615664281791386e-05,24.83872840427933,50.66009046958998,20.0,3.145219155062037e-05,0.00017598236300797598,2.3729358872212006e-05,0.00023116391343080815,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_1,2026-09-17T18:21:47,mbpo_Ant-v5_seed14577,3a088b14-308d-4a82-afa7-336bf7a5986c,4.376380199999403,5.443536008307786e-05,1.2438379418791993e-05,25.01146438925233,53.38147756414831,20.0,3.056211389411423e-05,8.802590375411867e-05,2.4305695655554393e-05,0.0001428937133037874,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-17T18:21:48,mbpo_Ant-v5_seed14577,3a088b14-308d-4a82-afa7-336bf7a5986c,0.35761442100192653,4.02677582099064e-06,1.1259834388176999e-05,26.005966423525237,53.28448205604249,20.0,3.393124936721531e-06,5.197781935861734e-06,1.979445722220894e-06,1.0570352594804159e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_1,2026-09-17T18:21:48,mbpo_Ant-v5_seed14577,3a088b14-308d-4a82-afa7-336bf7a5986c,0.007412843002384761,3.909404812060032e-08,5.272054212291066e-06,25.84411486934412,47.95603385043824,20.0,6.379866214836771e-08,0.0,3.8823855559025e-08,1.0262251770717587e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-17T18:21:52,mbpo_Ant-v5_seed14577,3a088b14-308d-4a82-afa7-336bf7a5986c,4.277182210997125,8.822888089495115e-05,2.062783874197207e-05,25.764676058014274,57.017969202022684,20.0,3.245238623966404e-05,0.00017539069586813838,2.3759177755568444e-05,0.00023160225986337086,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
