task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-18T02:27:49,mbpo_Ant-v5_seed14577,31b99692-6db0-43a7-96bb-95ba75492ddf,90.00273086400557,0.0005978868965850921,6.64298600046832e-06,13.055005705966305,12.961703194733678,20.0,0.0003819382622170316,0.0006703488696120363,0.0005171757808500034,0.0015694629126790712,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-18T02:27:50,mbpo_Ant-v5_seed14577,31b99692-6db0-43a7-96bb-95ba75492ddf,0.6730696770027862,8.150517349990926e-06,1.2109082978006123e-05,21.231463704775916,27.550788940247056,20.0,7.05005675115172e-06,1.060639737393565e-05,3.738787638899832e-06,2.139524176398731e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_0,2026-09-18T02:27:55,mbpo_Ant-v5_seed14577,31b99692-6db0-43a7-96bb-95ba75492ddf,5.699681010999484,6.908742475694751e-05,1.2121308059708336e-05,24.80269191704258,38.00460160180607,20.0,3.9874519677368485e-05,0.00010981814341004537,3.166296037222002e-05,0.00018135562345963398,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-18T02:27:56,mbpo_Ant-v5_seed14577,31b99692-6db0-43a7-96bb-95ba75492ddf,0.3871258359940839,4.715353326778938e-06,1.218048805728301e-05,26.34831186692487,42.89746939824118,20.0,3.5167886467627613e-06,6.712505369987909e-06,2.1485858277931705e-06,1.237787984454384e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_0,2026-09-18T02:27:56,mbpo_Ant-v5_seed14577,31b99692-6db0-43a7-96bb-95ba75492ddf,0.021774905995698646,1.1274603746642443e-07,5.180903398206246e-06,26.448124382967947,35.74789116520098,20.0,1.7818847588418896e-07,0.0,1.177717222162946e-07,2.9596019810048356e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-18T02:28:00,mbpo_Ant-v5_seed14577,31b99692-6db0-43a7-96bb-95ba75492ddf,4.102302788996894,6.232340686542794e-05,1.5192315057312258e-05,26.50664682432725,44.507457807490546,20.0,3.0213434448505237e-05,0.00011059842181193602,2.2788109261091425e-05,0.00016359996552153268,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_1,2026-09-18T02:28:05,mbpo_Ant-v5_seed14577,31b99692-6db0-43a7-96bb-95ba75492ddf,4.904484011000022,5.793940955251594e-05,1.1813496696539967e-05,26.375866633621854,47.73591508282231,20.0,2.903230433693501e-05,9.581479887388333e-05,2.7244797438915084e-05,0.00015209190064973343,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-18T02:28:05,mbpo_Ant-v5_seed14577,31b99692-6db0-43a7-96bb-95ba75492ddf,0.37044959599734284,4.417774915310463e-06,1.1925616789754748e-05,26.334430596546667,49.83170995261854,20.0,2.690696319222405e-06,6.8494499241289475e-06,2.0565853889113446e-06,1.1596731632262589e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_1,2026-09-18T02:28:05,mbpo_Ant-v5_seed14577,31b99692-6db0-43a7-96bb-95ba75492ddf,0.0076378820012905635,3.6416847409587866e-08,4.765207808356373e-06,25.74171768667957,44.84853895735669,20.0,5.520282194033943e-08,0.0,4.039199997759625e-08,9.559482191771884e-08,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-18T02:28:09,mbpo_Ant-v5_seed14577,31b99692-6db0-43a7-96bb-95ba75492ddf,4.05237610200129,6.110818178680754e-05,1.5079602968639762e-05,25.358351202860728,49.54473229116966,20.0,2.9275528975959003e-05,0.00010862369801012406,2.2510752766659878e-05,0.00016040997975274316,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
