task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-14T20:27:42,mbpo_Ant-v5_seed331,e83e6d59-a6ee-479d-9b23-a35436150224,90.00332438699843,0.0006110449492436101,6.789137211867171e-06,12.4559695057585,12.830253554812819,20.0,0.000423324501159332,0.0006635235863740041,0.0005171549292499953,0.0016040030167833313,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-14T20:27:43,mbpo_Ant-v5_seed331,e83e6d59-a6ee-479d-9b23-a35436150224,0.6778267530025914,8.333995337091301e-06,1.229497391057817e-05,21.190001189996615,27.696686291115952,20.0,7.3032336203662784e-06,1.0809730869976164e-05,3.763909999987742e-06,2.1876874490330293e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_0,2026-09-14T20:27:46,mbpo_Ant-v5_seed331,e83e6d59-a6ee-479d-9b23-a35436150224,2.701484649998747,3.343830093954889e-05,1.2377785855218312e-05,24.65409102621048,38.058554417663814,20.0,2.089416227087082e-05,5.187698594599777e-05,1.5004940350000768e-05,8.777608856686925e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-14T20:27:46,mbpo_Ant-v5_seed331,e83e6d59-a6ee-479d-9b23-a35436150224,0.396133825997822,4.889799089248764e-06,1.2344095311325876e-05,26.386692368339233,43.10326700344974,20.0,3.6842957252120057e-06,6.954172230067002e-06,2.1973348777666905e-06,1.283580283304559e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_0,2026-09-14T20:27:46,mbpo_Ant-v5_seed331,e83e6d59-a6ee-479d-9b23-a35436150224,0.022544259001733735,1.1629072165506623e-07,5.159572929418772e-06,26.473698426891218,35.91938916954145,20.0,1.8337653559519218e-07,0.0,1.2188851665592866e-07,3.0526505225112084e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-14T20:27:54,mbpo_Ant-v5_seed331,e83e6d59-a6ee-479d-9b23-a35436150224,8.19233432799956,0.00012293008471140373,1.5005502411454277e-05,26.508012096064096,44.59473289726457,20.0,5.7258640806877314e-05,0.0002199243426059816,4.551050578888356e-05,0.00032269348920174225,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_1,2026-09-14T20:27:55,mbpo_Ant-v5_seed331,e83e6d59-a6ee-479d-9b23-a35436150224,1.0364954830001807,1.3435104245271062e-05,1.2961715449632892e-05,26.33634976763502,48.69137643538859,20.0,7.244996073761667e-06,2.2266684480021226e-05,5.755688511110079e-06,3.526736906489308e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-14T20:27:56,mbpo_Ant-v5_seed331,e83e6d59-a6ee-479d-9b23-a35436150224,0.36031438399731996,3.955466806143909e-06,1.0977916471270154e-05,27.0675850876555,48.99078061120451,20.0,3.312829872481604e-06,5.089726293983077e-06,1.9806090944459462e-06,1.0383165260910519e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_1,2026-09-14T20:27:56,mbpo_Ant-v5_seed331,e83e6d59-a6ee-479d-9b23-a35436150224,0.00786239800072508,4.2309477494640105e-08,5.3766001638936386e-06,26.898443880325523,44.09170255008406,20.0,6.986811144915617e-08,0.0,4.1194961118533324e-08,1.1106307256768949e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-14T20:28:04,mbpo_Ant-v5_seed331,e83e6d59-a6ee-479d-9b23-a35436150224,8.136413123000239,0.00012403011161308045,1.5243840435683918e-05,26.767244426540632,48.989454978219506,20.0,5.8976082180826894e-05,0.00022140545490190178,4.5199540783343994e-05,0.00032558107786607266,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
