task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-15T00:18:12,mbpo_Ant-v5_seed331,0909df55-eb91-4324-ab5c-22655f793036,90.00324318899948,0.0006040125260282065,6.711008235215361e-06,11.44818762341421,12.552567481947717,20.0,0.0004192908812657697,0.000649126352634033,0.0005171255565666797,0.0015855427904664823,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-15T00:18:13,mbpo_Ant-v5_seed331,0909df55-eb91-4324-ab5c-22655f793036,0.6624978500040015,8.129050052291362e-06,1.2270183200445797e-05,20.48770800919391,27.458135075551127,20.0,7.122349308986281e-06,1.0537230651919138e-05,3.6793097944206156e-06,2.1338889755325927e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_0,2026-09-15T00:18:16,mbpo_Ant-v5_seed331,0909df55-eb91-4324-ab5c-22655f793036,2.702461911001592,3.310108289425093e-05,1.2248532598333105e-05,24.081449444971376,37.666275658729944,20.0,2.062481094427908e-05,5.125559656005141e-05,1.5010478161113657e-05,8.689088566544425e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-15T00:18:16,mbpo_Ant-v5_seed331,0909df55-eb91-4324-ab5c-22655f793036,0.3956823059997987,4.842216829995601e-06,1.2238078971051434e-05,26.059066145169346,42.43006468789967,20.0,3.756215782748165e-06,6.75722762799591e-06,2.197455211110891e-06,1.2710898621854858e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_0,2026-09-15T00:18:16,mbpo_Ant-v5_seed331,0909df55-eb91-4324-ab5c-22655f793036,0.022889134001161437,1.2159085746902502e-07,5.313629420859314e-06,26.435597942751755,35.3583872399164,20.0,1.960243234868514e-07,0.0,1.2315367223182574e-07,3.1917799571878555e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-15T00:18:34,mbpo_Ant-v5_seed331,0909df55-eb91-4324-ab5c-22655f793036,17.57088985000155,0.0002564741964770099,1.4596548363963913e-05,26.67707205358833,43.604629961734936,20.0,0.00012133155678738933,0.0004543042523319496,9.761316443889683e-05,0.0006732489735582358,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_1,2026-09-15T00:18:36,mbpo_Ant-v5_seed331,0909df55-eb91-4324-ab5c-22655f793036,2.194266416998289,2.799758067350926e-05,1.2759293398397726e-05,26.568818570673642,47.26004113083221,20.0,1.6911777696079072e-05,4.439447996007484e-05,1.2187850949986674e-05,7.349410860614048e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-15T00:18:37,mbpo_Ant-v5_seed331,0909df55-eb91-4324-ab5c-22655f793036,0.36796750299981795,4.3729797647119525e-06,1.1883931387184083e-05,26.53606351206918,49.33576946260934,20.0,2.70041077143901e-06,6.736116500039024e-06,2.0426163555384985e-06,1.1479143627016533e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_1,2026-09-15T00:18:37,mbpo_Ant-v5_seed331,0909df55-eb91-4324-ab5c-22655f793036,0.007458000000042375,3.664129938981027e-08,4.907822124600069e-06,26.021486609433378,44.40219251634841,20.0,5.6694767578552296e-08,0.0,3.948924446987856e-08,9.618401204843086e-08,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-15T00:18:54,mbpo_Ant-v5_seed331,0909df55-eb91-4324-ab5c-22655f793036,17.46955012899707,0.000256506800305733,1.4683088679169437e-05,25.620258077256405,48.86082090745428,20.0,0.00012282732215066622,0.00045345675165398003,9.705048533889765e-05,0.0006733345591435438,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_2,2026-09-15T00:18:58,mbpo_Ant-v5_seed331,0909df55-eb91-4324-ab5c-22655f793036,3.507964632997755,4.4993512186915826e-05,1.2826120173026409e-05,25.649159566334415,50.89398605292365,20.0,2.724414707307686e-05,7.137839043591665e-05,1.9486170161083774e-05,0.00011810870767007707,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-15T00:18:58,mbpo_Ant-v5_seed331,0909df55-eb91-4324-ab5c-22655f793036,0.37200409699289594,3.756457563598714e-06,1.009777559164592e-05,25.72969187067287,50.68460269879036,20.0,2.78684334058428e-06,4.9988928880750905e-06,2.0750265055539735e-06,9.860762734213453e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_2,2026-09-15T00:18:58,mbpo_Ant-v5_seed331,0909df55-eb91-4324-ab5c-22655f793036,0.009024606995808426,4.908987872144846e-08,5.439545952841458e-06,25.76970970843319,47.06427393459104,20.0,8.099006479182769e-08,0.0,4.7871672237951614e-08,1.2886173702967088e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-15T00:19:15,mbpo_Ant-v5_seed331,0909df55-eb91-4324-ab5c-22655f793036,16.911173995002173,0.0002548620359632489,1.5070637314181502e-05,25.804228285157308,50.33794929467537,20.0,0.00012331700976464174,0.00045175147251197423,9.39485434833235e-05,0.0006690170257599394,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_3,2026-09-15T00:19:20,mbpo_Ant-v5_seed331,0909df55-eb91-4324-ab5c-22655f793036,4.715635024003859,5.6499490282925805e-05,1.1981255440273459e-05,25.779713936908916,51.639045800419844,20.0,2.8918083967781685e-05,9.319868566992628e-05,2.6195319305528106e-05,0.00014831208894323586,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-15T00:19:20,mbpo_Ant-v5_seed331,0909df55-eb91-4324-ab5c-22655f793036,0.3671833280022838,3.7909228877265697e-06,1.032421265624501e-05,25.835965252198935,51.56816667414693,20.0,2.750442755907606e-06,5.1563930140163805e-06,2.044399005575958e-06,9.95123477549962e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_3,2026-09-15T00:19:20,mbpo_Ant-v5_seed331,0909df55-eb91-4324-ab5c-22655f793036,0.010453588998643681,7.141571900213823e-07,6.831050776338249e-05,25.807009905227346,90.07442557893654,20.0,8.81278482776221e-08,1.7402791699927533e-06,4.6267322250021815e-08,1.8746743405207225e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-15T00:19:36,mbpo_Ant-v5_seed331,0909df55-eb91-4324-ab5c-22655f793036,16.28697019300307,0.00024823631405964156,1.5241411365584756e-05,25.784208894665596,90.47647557678258,20.0,0.00011908253359928407,0.00044206118698197905,9.04806764777783e-05,0.000651624397059041,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_4,2026-09-15T00:19:38,mbpo_Ant-v5_seed331,0909df55-eb91-4324-ab5c-22655f793036,1.5800836659982451,2.0010956711718738e-05,1.2664531653869794e-05,25.78220393056631,89.67777158035537,20.0,1.1061517460319095e-05,3.269197059807549e-05,8.775601616677411e-06,5.2529089675072e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-15T00:19:38,mbpo_Ant-v5_seed331,0909df55-eb91-4324-ab5c-22655f793036,0.3598163950009621,4.7754481649190696e-06,1.3271747213842101e-05,26.18237223364251,88.7931482219735,20.0,3.436324137944674e-06,7.101950125987244e-06,1.99735551666678e-06,1.2535629780598481e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_4,2026-09-15T00:19:38,mbpo_Ant-v5_seed331,0909df55-eb91-4324-ab5c-22655f793036,0.009186014998704195,4.9528248716049564e-08,5.391410746202503e-06,26.191765387201677,84.75709603006561,20.0,8.182089879064935e-08,0.0,4.819156666693164e-08,1.30012465457581e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_4,2026-09-15T00:19:55,mbpo_Ant-v5_seed331,0909df55-eb91-4324-ab5c-22655f793036,16.317262644995935,0.0002505308696215407,1.535374350099564e-05,26.200837244692565,85.35507448853616,20.0,0.00012050329418033558,0.000446495634974009,9.064871389996869e-05,0.0006576476430543137,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_5,2026-09-15T00:20:01,mbpo_Ant-v5_seed331,0909df55-eb91-4324-ab5c-22655f793036,6.7346862350023,8.466564426794568e-05,1.2571544156507479e-05,26.207878656798272,84.86977145347257,20.0,4.6955009230643593e-05,0.000137881221416003,3.741247461111919e-05,0.0002222487052577658,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_5,2026-09-15T00:20:02,mbpo_Ant-v5_seed331,0909df55-eb91-4324-ab5c-22655f793036,0.35729071700188797,4.045534174964074e-06,1.1322708326720521e-05,26.521986314955758,83.58773290810727,20.0,3.399669386401627e-06,5.237226411991536e-06,1.9826977833469275e-06,1.061959358174009e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_5,2026-09-15T00:20:02,mbpo_Ant-v5_seed331,0909df55-eb91-4324-ab5c-22655f793036,0.008563543000491336,4.676882115872e-08,5.458905865314406e-06,26.50432719079341,80.3728201039493,20.0,7.717533951831501e-08,0.0,4.559358332892338e-08,1.227689228472384e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_5,2026-09-15T00:20:18,mbpo_Ant-v5_seed331,0909df55-eb91-4324-ab5c-22655f793036,16.32308666800236,0.00025106623625586934,1.5381055821770106e-05,26.488417860712456,81.06591321088733,20.0,0.00011910789723068582,0.00044926424829994094,9.068084372221264e-05,0.0006590529892528396,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_6,2026-09-15T00:20:22,mbpo_Ant-v5_seed331,0909df55-eb91-4324-ab5c-22655f793036,4.343369136004185,5.416664437652135e-05,1.2471126655684655e-05,26.472752199209715,80.76580924741071,20.0,3.0401540987880574e-05,8.765951457201382e-05,2.4127274605537834e-05,0.000142188330165432,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_6,2026-09-15T00:20:23,mbpo_Ant-v5_seed331,0909df55-eb91-4324-ab5c-22655f793036,0.3582281900016824,4.7598271248729465e-06,1.3286846528179472e-05,26.725323243981883,80.45172365271124,20.0,3.3824265948268623e-06,7.124172366035353e-06,1.9880253333314293e-06,1.2494624294193644e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_6,2026-09-15T00:20:23,mbpo_Ant-v5_seed331,0909df55-eb91-4324-ab5c-22655f793036,0.00894633599818917,4.9950805920337404e-08,5.582331853022207e-06,26.769129901039573,77.7699995309542,20.0,8.546617948253232e-08,0.0,4.565550556839479e-08,1.311216850513608e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_6,2026-09-15T00:20:39,mbpo_Ant-v5_seed331,0909df55-eb91-4324-ab5c-22655f793036,16.400383102001797,0.0002507081097360671,1.5286729433256976e-05,26.804642804202963,78.46459381861919,20.0,0.00011462611058970368,0.000452376473011995,9.111031766111002e-05,0.0006581129012628089,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_7,2026-09-15T00:20:45,mbpo_Ant-v5_seed331,0909df55-eb91-4324-ab5c-22655f793036,5.370596681001189,6.630669345769613e-05,1.234619338875911e-05,26.736269600300353,78.34888385555942,20.0,3.269747615796022e-05,0.00011152453366392034,2.983414835556076e-05,0.00017405615817744132,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_7,2026-09-15T00:20:45,mbpo_Ant-v5_seed331,0909df55-eb91-4324-ab5c-22655f793036,0.37170530799630797,3.846708236633894e-06,1.0348630946268473e-05,26.722775632824057,77.52978597656937,20.0,2.732522186016731e-06,5.300004240038625e-06,2.065145805560647e-06,1.0097672231615569e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_7,2026-09-15T00:20:45,mbpo_Ant-v5_seed331,0909df55-eb91-4324-ab5c-22655f793036,0.008558472000004258,4.387953554067098e-08,5.127857194093531e-06,26.638969502619275,75.24949815372909,20.0,7.027505622043961e-08,0.0,4.49094444774506e-08,1.1518450069789021e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_7,2026-09-15T00:21:01,mbpo_Ant-v5_seed331,0909df55-eb91-4324-ab5c-22655f793036,16.27751331199397,0.00025207511638154507,1.5486100956509822e-05,26.56397596975733,75.95883882433672,20.0,0.00011878381808253652,0.00045248925088003933,9.042824717220765e-05,0.0006617013161347822,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_8,2026-09-15T00:21:11,mbpo_Ant-v5_seed331,0909df55-eb91-4324-ab5c-22655f793036,9.508495581001625,0.00012101086273131646,1.2726610332195289e-05,26.552701627322445,75.93477449535003,20.0,6.650467070369592e-05,0.00019832876977399216,5.282205953889281e-05,0.00031765550001658024,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_8,2026-09-15T00:21:11,mbpo_Ant-v5_seed331,0909df55-eb91-4324-ab5c-22655f793036,0.35232286999962525,4.847697174405977e-06,1.3759078534566184e-05,26.748772669836956,75.9390993282552,20.0,3.328105440259313e-06,7.441672620012163e-06,1.9555065555727606e-06,1.272528461584467e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_8,2026-09-15T00:21:11,mbpo_Ant-v5_seed331,0909df55-eb91-4324-ab5c-22655f793036,0.008689337999385316,4.92001222727155e-08,5.662068806944437e-06,26.788487405217534,73.94070197751164,20.0,8.380451148835844e-08,0.0,4.5346616671946074e-08,1.2915112816008767e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_8,2026-09-15T00:21:28,mbpo_Ant-v5_seed331,0909df55-eb91-4324-ab5c-22655f793036,16.623154567998427,0.00025344585777131636,1.5246561686963492e-05,26.81937985473636,74.61714117494454,20.0,0.00010972180861070976,0.0004632295372499762,9.234818891111192e-05,0.0006652995347717974,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_9,2026-09-15T00:21:35,mbpo_Ant-v5_seed331,0909df55-eb91-4324-ab5c-22655f793036,7.236254423005448,9.082225324509672e-05,1.2550963010603461e-05,26.73596232912479,74.67821971116567,20.0,4.3325034104443536e-05,0.000154886512798047,4.0198357927794144e-05,0.0002384099048302838,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_9,2026-09-15T00:21:35,mbpo_Ant-v5_seed331,0909df55-eb91-4324-ab5c-22655f793036,0.3711758159988676,3.894010090668698e-06,1.0490908677742677e-05,26.70750596954537,74.16234439469378,20.0,2.65078628729383e-06,5.511948853897941e-06,2.0591052333151193e-06,1.0221840374507324e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
