task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-17T17:09:16,mbpo_Ant-v5_seed331,c11650e0-9ac1-4472-bb72-471670f64eb5,90.00277957500293,0.0005818020514521763,6.464267233641792e-06,12.579804098210039,12.25456507158348,20.0,0.00037636330386818517,0.0006337352292100085,0.0005171413972333337,0.0015272399303115271,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-17T17:09:17,mbpo_Ant-v5_seed331,c11650e0-9ac1-4472-bb72-471670f64eb5,0.6654269559985551,7.90674949778579e-06,1.1882030992813392e-05,20.632156652429178,26.645206907821333,20.0,6.812952672588524e-06,1.0245841530032163e-05,3.696552949986661e-06,2.0755347152607347e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_0,2026-09-17T17:09:20,mbpo_Ant-v5_seed331,c11650e0-9ac1-4472-bb72-471670f64eb5,2.665543089999119,3.2042375620221805e-05,1.2020980784274168e-05,23.718946553849584,37.018943851221366,20.0,1.886844287252165e-05,5.0439207017971555e-05,1.4804111811099539e-05,8.411176170159285e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-17T17:09:20,mbpo_Ant-v5_seed331,c11650e0-9ac1-4472-bb72-471670f64eb5,0.39501102800204535,4.776493462769192e-06,1.2092169782884033e-05,25.71985996981521,41.702268978914546,20.0,3.7195943645706997e-06,6.626394190023532e-06,2.1923851500105533e-06,1.2538373704604677e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_0,2026-09-17T17:09:20,mbpo_Ant-v5_seed331,c11650e0-9ac1-4472-bb72-471670f64eb5,0.022173510998982238,1.1493383427472505e-07,5.185257678609902e-06,25.9271575411811,34.751890815762124,20.0,1.8132514505164732e-07,0.0,1.203780555644393e-07,3.0170320061608663e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-17T17:09:24,mbpo_Ant-v5_seed331,c11650e0-9ac1-4472-bb72-471670f64eb5,4.38447923199783,8.782420575041477e-05,2.0030727788453556e-05,26.00124199257795,50.49048075298136,20.0,2.969916292597241e-05,0.00017648541896597703,2.435539907777028e-05,0.00023053998096971983,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_1,2026-09-17T17:09:27,mbpo_Ant-v5_seed331,c11650e0-9ac1-4472-bb72-471670f64eb5,2.713059068999428,3.189010477532787e-05,1.175420320100359e-05,25.68171338875276,52.86504139962365,20.0,1.6280217468619962e-05,5.236143077802513e-05,1.5070399988892109e-05,8.37120482355372e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-17T17:09:27,mbpo_Ant-v5_seed331,c11650e0-9ac1-4472-bb72-471670f64eb5,0.3726959980012907,4.3895736493274095e-06,1.177765258983195e-05,25.77205575394058,54.21378234933556,20.0,2.757987206405965e-06,6.702783139966861e-06,2.061932500004764e-06,1.1522702846377374e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_1,2026-09-17T17:09:28,mbpo_Ant-v5_seed331,c11650e0-9ac1-4472-bb72-471670f64eb5,0.007466058999852976,3.5425778013766646e-08,4.742780021766318e-06,25.21589659962801,48.792404114402004,20.0,5.369393184240234e-08,0.0,3.9299316651722656e-08,9.299324849401658e-08,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-17T17:09:32,mbpo_Ant-v5_seed331,c11650e0-9ac1-4472-bb72-471670f64eb5,4.3280548920010915,8.814736601077096e-05,2.0366540658206306e-05,24.889161667579103,57.55708439362222,20.0,3.279659012613012e-05,0.0001745501396400173,2.4041552188888726e-05,0.00023138828195503605,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
