task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-17T22:11:45,mbpo_Ant-v5_seed331,f3f720d5-5d93-4e61-b77a-cc2a16d80e41,90.00277469299908,0.0006083424185066212,6.759151354611472e-06,12.11165099181726,13.252785418384327,20.0,0.000394869198395105,0.0006850955480760534,0.0005169440827889048,0.0015969088292600634,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-17T22:11:46,mbpo_Ant-v5_seed331,f3f720d5-5d93-4e61-b77a-cc2a16d80e41,0.6627020640007686,7.543564059536321e-06,1.1382893162041692e-05,20.631219589560448,25.427998832413824,20.0,6.957113899024037e-06,9.163618441832e-06,3.68124707779817e-06,1.9801979418654315e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_0,2026-09-17T22:11:49,mbpo_Ant-v5_seed331,f3f720d5-5d93-4e61-b77a-cc2a16d80e41,2.6423054299957585,3.2361447010570226e-05,1.2247468727596323e-05,23.93970294936069,36.442960924552445,20.0,1.9284871539002046e-05,5.0989207458163044e-05,1.4675250338890044e-05,8.494932933605513e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-17T22:11:49,mbpo_Ant-v5_seed331,f3f720d5-5d93-4e61-b77a-cc2a16d80e41,0.3891005719997338,4.832026573340395e-06,1.2418544066040411e-05,26.01158705219035,41.74562991792514,20.0,3.726240480984855e-06,6.7986165499522855e-06,2.1592920000127695e-06,1.268414903094991e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_0,2026-09-17T22:11:49,mbpo_Ant-v5_seed331,f3f720d5-5d93-4e61-b77a-cc2a16d80e41,0.02182143699610606,1.1571989845938872e-07,5.304859058885585e-06,26.363023968868223,34.78802493160428,20.0,1.8583459310966832e-07,0.0,1.1793203888779951e-07,3.037666319973594e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-17T22:11:53,mbpo_Ant-v5_seed331,f3f720d5-5d93-4e61-b77a-cc2a16d80e41,4.109913059000974,6.262048525170361e-05,1.5236464995143845e-05,26.587512443876143,43.636939834967436,20.0,3.107099346789238e-05,0.00011046869948605487,2.2840108205531983e-05,0.00016437980115947912,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_1,2026-09-17T22:11:54,mbpo_Ant-v5_seed331,f3f720d5-5d93-4e61-b77a-cc2a16d80e41,1.0291077500005485,1.2493675894136263e-05,1.214006820629891e-05,26.540652872264328,46.86586873291327,20.0,7.227312726294788e-06,1.9853349215948057e-05,5.715442255516058e-06,3.279610419775901e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-17T22:11:54,mbpo_Ant-v5_seed331,f3f720d5-5d93-4e61-b77a-cc2a16d80e41,0.3577137290048995,4.714500248848268e-06,1.3179370660157178e-05,27.41161449366523,49.440902648748576,20.0,3.435374692738191e-06,6.954727786001591e-06,1.9855380222401787e-06,1.2375640500979961e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_1,2026-09-17T22:11:54,mbpo_Ant-v5_seed331,f3f720d5-5d93-4e61-b77a-cc2a16d80e41,0.0075736650032922626,3.9044767674448547e-08,5.149522701043183e-06,27.02630824859788,44.49681238387372,20.0,6.26797723585204e-08,0.0,3.9813383369193683e-08,1.0249315572771409e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-17T22:11:59,mbpo_Ant-v5_seed331,f3f720d5-5d93-4e61-b77a-cc2a16d80e41,4.1480722010019235,6.178382988104327e-05,1.4894615561822884e-05,26.70197290155423,49.33305998669962,20.0,2.658220459908489e-05,0.00011255897893591715,2.3042383550030848e-05,0.00016218356708503278,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_2,2026-09-17T22:12:00,mbpo_Ant-v5_seed331,f3f720d5-5d93-4e61-b77a-cc2a16d80e41,1.0369615320014418,1.2049676552424306e-05,1.1620183361884926e-05,26.34459279585485,50.88997698836275,20.0,6.28271058172869e-06,1.95883490040627e-05,5.759539055563679e-06,3.163059864135518e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-17T22:12:00,mbpo_Ant-v5_seed331,f3f720d5-5d93-4e61-b77a-cc2a16d80e41,0.3700183030014159,4.454319341021815e-06,1.2037930038717047e-05,26.347555480731142,52.150148611047044,20.0,2.726503570089911e-06,6.9116721959083804e-06,2.0544855833172938e-06,1.1692661349315802e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_2,2026-09-17T22:12:00,mbpo_Ant-v5_seed331,f3f720d5-5d93-4e61-b77a-cc2a16d80e41,0.008385943998291623,4.355290680652015e-08,5.189985082812684e-06,26.192856355633204,48.42513799597226,20.0,7.005450049224482e-08,0.0,4.427259441908485e-08,1.1432709491132967e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-17T22:12:04,mbpo_Ant-v5_seed331,f3f720d5-5d93-4e61-b77a-cc2a16d80e41,4.064185565999651,6.12433167700569e-05,1.5069051178871907e-05,26.084937234946487,51.61406265976324,20.0,2.9528756400755418e-05,0.00010865980915009121,2.2576145749998288e-05,0.00016076471130084492,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_3,2026-09-17T22:12:09,mbpo_Ant-v5_seed331,f3f720d5-5d93-4e61-b77a-cc2a16d80e41,4.830511122003372,5.999249034469435e-05,1.2419452896241688e-05,26.07901262981248,52.887281558844236,20.0,3.406561058580393e-05,9.658229948805719e-05,2.68333613389081e-05,0.0001574812714127691,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-17T22:12:09,mbpo_Ant-v5_seed331,f3f720d5-5d93-4e61-b77a-cc2a16d80e41,0.3572086010026396,4.0819812396688e-06,1.1427136962228953e-05,26.607801687693605,52.879954272466726,20.0,3.4996816886331827e-06,5.232504185936904e-06,1.983081849983928e-06,1.0715267724554015e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
