task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-18T01:13:09,mbpo_Ant-v5_seed331,68939033-9156-48b4-9f96-1357759250ce,90.00275601899921,0.0005971813897872709,6.6351450227174855e-06,9.964289135247807,12.696384026098185,20.0,0.0003942219725995566,0.0006563955251159825,0.000516993448044458,0.001567610945759997,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-18T01:13:10,mbpo_Ant-v5_seed331,68939033-9156-48b4-9f96-1357759250ce,0.6618578839988913,7.998332314880312e-06,1.2084497421905088e-05,19.262816068575063,27.204129919452622,20.0,6.983460586765244e-06,1.0335841602149287e-05,3.6764513611059176e-06,2.0995753550020558e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_0,2026-09-18T01:13:13,mbpo_Ant-v5_seed331,68939033-9156-48b4-9f96-1357759250ce,2.635983694999595,3.137923345526499e-05,1.1904214440066842e-05,22.90455224190452,37.08294301949029,20.0,1.888336260667811e-05,4.884587240994165e-05,1.4641767622217442e-05,8.23710026388372e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-18T01:13:13,mbpo_Ant-v5_seed331,68939033-9156-48b4-9f96-1357759250ce,0.38915384199935943,4.82701995803002e-06,1.2404183559444944e-05,24.99865601306393,42.369359465782495,20.0,3.633840129288468e-06,6.8733388320918465e-06,2.163827622239851e-06,1.2671006583620057e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_0,2026-09-18T01:13:13,mbpo_Ant-v5_seed331,68939033-9156-48b4-9f96-1357759250ce,0.022440597000240814,1.1784269631626414e-07,5.253641155585807e-06,25.439090552441186,35.30779955481874,20.0,1.8758098340593277e-07,0.0,1.2175802779283273e-07,3.093390111988739e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-18T01:13:18,mbpo_Ant-v5_seed331,68939033-9156-48b4-9f96-1357759250ce,4.092215853997914,6.182282046359334e-05,1.5107423580759775e-05,25.72331568401134,44.004537013162654,20.0,3.022699751491914e-05,0.00010932675412789195,2.2732166361108942e-05,0.00016228591800392014,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_1,2026-09-18T01:13:19,mbpo_Ant-v5_seed331,68939033-9156-48b4-9f96-1357759250ce,1.0288359810001566,1.3250531387309179e-05,1.2878864612277821e-05,25.70981162418834,48.15226595074707,20.0,7.058923702688014e-06,2.201890650410654e-05,5.705032077781241e-06,3.47828622845759e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-18T01:13:19,mbpo_Ant-v5_seed331,68939033-9156-48b4-9f96-1357759250ce,0.3535247640029411,3.9097093276279585e-06,1.1059346769678846e-05,26.580718012609438,48.446783370482166,20.0,3.3139657067207673e-06,4.986392877937007e-06,1.962692544434986e-06,1.0263051129092869e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_1,2026-09-18T01:13:19,mbpo_Ant-v5_seed331,68939033-9156-48b4-9f96-1357759250ce,0.0073414299986325204,4.130764606616929e-08,5.625396434398937e-06,25.913029098520912,43.60210503343394,20.0,6.078060418163167e-08,0.0,4.765264444964081e-08,1.084332486313809e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-18T01:13:23,mbpo_Ant-v5_seed331,68939033-9156-48b4-9f96-1357759250ce,4.059982220998791,6.180715411469625e-05,1.5223516620066303e-05,25.48358277026218,48.50468976234804,20.0,2.9709115156165145e-05,0.00010998258798600169,2.2553090438870828e-05,0.00016224479358103766,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
