task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-13T05:58:49,mbpo_Ant-v5_seed43611,2141d6bb-5063-4c7c-8f31-bd15a32adc25,90.00302095199731,0.0006007360113638379,6.674620449710379e-06,16.161748276717837,12.703201598577076,20.0,0.00040278418972709146,0.0006569808033619617,0.0005171768926278067,0.00157694188571686,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-13T05:58:50,mbpo_Ant-v5_seed43611,2141d6bb-5063-4c7c-8f31-bd15a32adc25,0.6622989449970191,7.995488249117034e-06,1.2072108427594213e-05,23.37862971449754,27.184915642616357,20.0,6.979273083414228e-06,1.0330008264003432e-05,3.6790064833136992e-06,2.098828783073125e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_0,2026-09-13T05:58:54,mbpo_Ant-v5_seed43611,2141d6bb-5063-4c7c-8f31-bd15a32adc25,3.537331052000809,4.2551881600908425e-05,1.2029401585973788e-05,26.258916072729143,37.2667602451328,20.0,2.5720746132135153e-05,6.632949750806638e-05,1.964914368335379e-05,0.00011169938732355543,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-13T05:58:54,mbpo_Ant-v5_seed43611,2141d6bb-5063-4c7c-8f31-bd15a32adc25,0.3814519820007263,4.711995358874874e-06,1.2353204445926441e-05,27.635509249923768,42.51052409796884,20.0,3.5296061570155857e-06,6.7222276000089565e-06,2.1172313666789015e-06,1.2369065123703444e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_0,2026-09-13T05:58:54,mbpo_Ant-v5_seed43611,2141d6bb-5063-4c7c-8f31-bd15a32adc25,0.02100164000148652,1.0501653371648018e-07,5.001603295783837e-06,27.254216871351577,35.42543674830737,20.0,1.6186151838293306e-07,0.0,1.1380860556124261e-07,2.7567012394406724e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-13T05:58:58,mbpo_Ant-v5_seed43611,2141d6bb-5063-4c7c-8f31-bd15a32adc25,3.9714576690021204,4.625977023647106e-05,1.1648060867565656e-05,27.008556575786937,39.5038655738643,20.0,2.8802219152856967e-05,7.056922312198566e-05,2.206121354999288e-05,0.0001214326558248355,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_1,2026-09-13T05:59:02,mbpo_Ant-v5_seed43611,2141d6bb-5063-4c7c-8f31-bd15a32adc25,4.10981368800276,4.965526267753284e-05,1.2082054198812468e-05,26.862642011582434,43.23420279572383,20.0,2.8355188239688467e-05,7.916061888391113e-05,2.283007206666909e-05,0.0001303458791902688,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-13T05:59:02,mbpo_Ant-v5_seed43611,2141d6bb-5063-4c7c-8f31-bd15a32adc25,0.34712445399782155,4.55335565496828e-06,1.3117157081081073e-05,27.62401730016201,46.219588122116726,20.0,3.2697492824695917e-06,6.755838737992903e-06,1.9270452777871453e-06,1.1952633298249749e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_1,2026-09-13T05:59:03,mbpo_Ant-v5_seed43611,2141d6bb-5063-4c7c-8f31-bd15a32adc25,0.007615080998220947,3.8033335128008494e-08,4.988722927203242e-06,27.240209152215698,41.59762930990505,20.0,6.36800509407065e-08,0.0,3.61580777583732e-08,9.983812869918812e-08,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-13T05:59:06,mbpo_Ant-v5_seed43611,2141d6bb-5063-4c7c-8f31-bd15a32adc25,3.9178560310028843,4.5422411923765754e-05,1.1593702279478512e-05,26.97578367602215,43.59679488902229,20.0,2.8275520675948018e-05,6.919588869003235e-05,2.176316715000819e-05,0.00011923457651598834,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_2,2026-09-13T05:59:11,mbpo_Ant-v5_seed43611,2141d6bb-5063-4c7c-8f31-bd15a32adc25,4.556889472005423,5.396817788844643e-05,1.184324767340788e-05,26.82702176677591,45.785792000182596,20.0,2.796098653543716e-05,8.840062627601952e-05,2.5305739566667553e-05,0.00014166735237812434,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-13T05:59:11,mbpo_Ant-v5_seed43611,2141d6bb-5063-4c7c-8f31-bd15a32adc25,0.3605851540050935,3.595111681927929e-06,9.969874172509444e-06,26.705714299481365,46.02035651945868,20.0,2.5438220350587626e-06,4.890837245974389e-06,2.00256786669743e-06,9.437227147730473e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_2,2026-09-13T05:59:11,mbpo_Ant-v5_seed43611,2141d6bb-5063-4c7c-8f31-bd15a32adc25,0.007964987002196722,4.0905982266834645e-08,5.1314110538817264e-06,26.478627382804927,42.7331881966402,20.0,6.542616345223129e-08,0.0,4.1952711116156026e-08,1.0737887456849574e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-13T05:59:15,mbpo_Ant-v5_seed43611,2141d6bb-5063-4c7c-8f31-bd15a32adc25,3.943988316001196,4.609822192975989e-05,1.1688244098866722e-05,26.31376041044425,44.220009676585406,20.0,2.7888236199459515e-05,7.121922364206057e-05,2.1901129027780057e-05,0.00012100858886930025,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_3,2026-09-13T05:59:17,mbpo_Ant-v5_seed43611,2141d6bb-5063-4c7c-8f31-bd15a32adc25,1.3613238309990265,1.6009360814630332e-05,1.1759954123664684e-05,26.241112339188767,45.59763447724861,20.0,9.414317253680915e-06,2.5050020039940613e-05,7.56049750000082e-06,4.202483479362213e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
