task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-13T09:03:52,mbpo_Ant-v5_seed43611,074d573b-3a18-4280-af57-610cb6a002a8,90.0032432309963,0.0005864132895860184,6.515468021678275e-06,14.50733778364202,12.305805692846173,20.0,0.0003862024925728666,0.0006361730089380346,0.0005169690045555601,0.0015393445060664613,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-13T09:03:54,mbpo_Ant-v5_seed43611,074d573b-3a18-4280-af57-610cb6a002a8,0.6584030729936785,7.3121731439679e-06,1.1105753767450495e-05,22.074503663194676,24.078496441256608,20.0,6.827668795457431e-06,8.709729190203852e-06,3.6571764833448744e-06,1.9194574469006158e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_0,2026-09-13T09:03:57,mbpo_Ant-v5_seed43611,074d573b-3a18-4280-af57-610cb6a002a8,3.1489265330019407,3.812682292709147e-05,1.2107920133660765e-05,25.157835898485374,35.168608381863315,20.0,2.2760732653011317e-05,5.9836992313822e-05,1.748581073887992e-05,0.00010008353570571324,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-13T09:03:57,mbpo_Ant-v5_seed43611,074d573b-3a18-4280-af57-610cb6a002a8,0.3854885360051412,4.605932586388729e-06,1.1948502886219197e-05,26.543155110556462,40.28432523836979,20.0,3.4533630404662286e-06,6.4983385320571685e-06,2.138947033300683e-06,1.2090648605824188e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_0,2026-09-13T09:03:57,mbpo_Ant-v5_seed43611,074d573b-3a18-4280-af57-610cb6a002a8,0.021585422997304704,1.0842848025232991e-07,5.0245207871650605e-06,26.37873299054902,33.57027103197482,20.0,1.6755818960101365e-07,0.0,1.1706834997715285e-07,2.846265395781665e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-13T09:04:01,mbpo_Ant-v5_seed43611,074d573b-3a18-4280-af57-610cb6a002a8,4.001743307999277,4.805527041669498e-05,1.2008592611501256e-05,26.247152339643446,38.53421727180697,20.0,2.798246766373691e-05,7.593422741403177e-05,2.222917817776358e-05,0.00012614587325553215,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_1,2026-09-13T09:04:05,mbpo_Ant-v5_seed43611,074d573b-3a18-4280-af57-610cb6a002a8,3.946213888004422,4.697662318555167e-05,1.1904162058146746e-05,26.088239558128105,42.222837498357435,20.0,2.6789673376166612e-05,7.459839301204862e-05,2.192634018889899e-05,0.00012331440657711423,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-13T09:04:05,mbpo_Ant-v5_seed43611,074d573b-3a18-4280-af57-610cb6a002a8,0.3479035710042808,4.496772556631615e-06,1.2925086944504118e-05,26.815632928950393,45.238459106691565,20.0,3.1722625378136082e-06,6.700283137872631e-06,1.9315560611074707e-06,1.180410173679371e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_1,2026-09-13T09:04:05,mbpo_Ant-v5_seed43611,074d573b-3a18-4280-af57-610cb6a002a8,0.006842200004030019,3.4450699226197014e-08,5.030032732909683e-06,25.953619691312234,40.714613196022405,20.0,4.9438372881627224e-08,0.0,4.099527779743983e-08,9.043365067906706e-08,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-13T09:04:09,mbpo_Ant-v5_seed43611,074d573b-3a18-4280-af57-610cb6a002a8,3.9615596500007086,4.80616810889647e-05,1.2132029506127134e-05,25.41110079421579,43.312131252651824,20.0,2.7918024834393262e-05,7.623867210215796e-05,2.2006004438864944e-05,0.00012616270137541605,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
