task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-14T22:42:45,mbpo_Ant-v5_seed43611,2e717f6b-743c-4cd7-8a48-c72313118eec,90.00312938100251,0.000601848762269881,6.6869758934489e-06,14.548537075063813,12.581176187756267,20.0,0.00041246472136040324,0.0006504199647798803,0.0005169781889611234,0.001579862875101407,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-14T22:42:46,mbpo_Ant-v5_seed43611,2e717f6b-743c-4cd7-8a48-c72313118eec,0.6663291549994028,7.653939608791966e-06,1.1486607563181241e-05,22.85694142710828,24.70796641084496,20.0,7.331072253750903e-06,9.060285025896953e-06,3.7003597666625688e-06,2.0091717046310425e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_0,2026-09-14T22:42:49,mbpo_Ant-v5_seed43611,2e717f6b-743c-4cd7-8a48-c72313118eec,3.680928041001607,4.481797610166385e-05,1.2175767804709653e-05,26.220355268676666,35.58983517993225,20.0,2.743896750671132e-05,6.976200025410328e-05,2.0446954805568838e-05,0.00011764792256638355,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-14T22:42:50,mbpo_Ant-v5_seed43611,2e717f6b-743c-4cd7-8a48-c72313118eec,0.3898061459985911,4.780067240508969e-06,1.2262803242017942e-05,27.715322014790285,40.889021584790555,20.0,3.6671721004022384e-06,6.717227596042541e-06,2.1633552333595596e-06,1.2547754929804339e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_0,2026-09-14T22:42:50,mbpo_Ant-v5_seed43611,2e717f6b-743c-4cd7-8a48-c72313118eec,0.022456115002569277,1.1578842807821732e-07,5.157441886017431e-06,27.56120406512611,34.07418465399213,20.0,1.8198597891844193e-07,0.0,1.219605444526331e-07,3.0394652337107503e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-14T22:42:58,mbpo_Ant-v5_seed43611,2e717f6b-743c-4cd7-8a48-c72313118eec,8.265662350997445,0.00012142623339260385,1.4690448354315151e-05,27.401868466523073,42.79974181754754,20.0,5.440077657613285e-05,0.00021843350807992934,4.591157016111541e-05,0.0003187458548171778,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_1,2026-09-14T22:43:00,mbpo_Ant-v5_seed43611,2e717f6b-743c-4cd7-8a48-c72313118eec,1.9121129400009522,2.3346590916057232e-05,1.2209697703224215e-05,27.020925550193702,46.24360615760159,20.0,1.330348730944203e-05,3.736086322203569e-05,1.0620833655573532e-05,6.128518418705136e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-14T22:43:00,mbpo_Ant-v5_seed43611,2e717f6b-743c-4cd7-8a48-c72313118eec,0.358546692004893,4.6588236514335645e-06,1.2993900317888378e-05,27.812617384411876,48.71984602510778,20.0,3.4195055133787178e-06,6.820005455931977e-06,1.989977550005662e-06,1.2229488519316465e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_1,2026-09-14T22:43:00,mbpo_Ant-v5_seed43611,2e717f6b-743c-4cd7-8a48-c72313118eec,0.0075216650002403185,4.183052834986437e-08,5.557346206439297e-06,27.702959952557592,43.847861422597,20.0,7.064811206880517e-08,0.0,3.915771113599791e-08,1.098058232049115e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-14T22:43:09,mbpo_Ant-v5_seed43611,2e717f6b-743c-4cd7-8a48-c72313118eec,8.124759263002488,0.0001222786372863775,1.5050145651040379e-05,27.608509057517633,48.58681895802645,20.0,5.925226601288108e-05,0.00021659628438808198,4.513487862220955e-05,0.0003209834290231724,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_2,2026-09-14T22:43:12,mbpo_Ant-v5_seed43611,2e717f6b-743c-4cd7-8a48-c72313118eec,3.570491733000381,4.395859059775102e-05,1.2311648673253246e-05,27.467806513068428,50.48839509154508,20.0,2.474677924185764e-05,7.081200109404495e-05,1.9833241183328542e-05,0.00011539202151923103,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-14T22:43:12,mbpo_Ant-v5_seed43611,2e717f6b-743c-4cd7-8a48-c72313118eec,0.35806814600073267,4.646529937175816e-06,1.2976750747669119e-05,27.972290221780955,51.87214469354823,20.0,3.4033143893122397e-06,6.806394333924715e-06,1.987508594457842e-06,1.2197217317694905e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_2,2026-09-14T22:43:13,mbpo_Ant-v5_seed43611,2e717f6b-743c-4cd7-8a48-c72313118eec,0.00904150000133086,4.68766124367935e-08,5.183104912683674e-06,27.71921089967238,48.16699150115193,20.0,7.503922670043517e-08,0.0,4.801265002045939e-08,1.2305187672067772e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
