task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-17T18:56:06,mbpo_Ant-v5_seed43611,b7797354-1884-49da-afc2-63953dd454a0,90.00276681800096,0.0005968809830876397,6.631806529076663e-06,11.479780419978292,12.758988326642614,20.0,0.00038992532555111314,0.0006597844167159916,0.0005171126309777821,0.0015668223732448869,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-17T18:56:07,mbpo_Ant-v5_seed43611,b7797354-1884-49da-afc2-63953dd454a0,0.6702707020012895,8.134106555069483e-06,1.2135332395513366e-05,20.076200115630858,27.64598928768866,20.0,6.961335569065363e-06,1.0673619650125588e-05,3.7172079388862484e-06,2.13521631580772e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_0,2026-09-17T18:56:10,mbpo_Ant-v5_seed43611,b7797354-1884-49da-afc2-63953dd454a0,3.6173341139983677,4.4047809320779956e-05,1.2176892630820057e-05,23.670753282718117,37.99800376045922,20.0,2.6150738142792507e-05,6.938116661592275e-05,2.0094317372220533e-05,0.00011562622213093579,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-17T18:56:11,mbpo_Ant-v5_seed43611,b7797354-1884-49da-afc2-63953dd454a0,0.3899594030008302,4.805198652393884e-06,1.2322430576300905e-05,25.665227156788454,42.936426590770964,20.0,3.6631370971748622e-06,6.786116540036247e-06,2.1644716611061423e-06,1.2613725298317143e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_0,2026-09-17T18:56:11,mbpo_Ant-v5_seed43611,b7797354-1884-49da-afc2-63953dd454a0,0.02203956400262541,1.1773984256503202e-07,5.343716267030552e-06,26.123279747777318,35.780355492309134,20.0,1.8968320730089472e-07,0.0,1.19385811113773e-07,3.090690184146677e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-17T18:56:15,mbpo_Ant-v5_seed43611,b7797354-1884-49da-afc2-63953dd454a0,4.356974818001618,8.994082465828106e-05,2.0642973302452055e-05,26.429122510580175,51.724395831669945,20.0,3.350410513659752e-05,0.0001783862538200509,2.4205781372216295e-05,0.00023609614032886472,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_1,2026-09-17T18:56:17,mbpo_Ant-v5_seed43611,b7797354-1884-49da-afc2-63953dd454a0,2.1882200129984994,2.6319989775066828e-05,1.2027910416431398e-05,26.501553807246474,53.75165935743904,20.0,1.563375472921763e-05,4.129975526201424e-05,1.2156894983349404e-05,6.909040497458138e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-17T18:56:18,mbpo_Ant-v5_seed43611,b7797354-1884-49da-afc2-63953dd454a0,0.36163257299995166,4.779843629960814e-06,1.3217102799206944e-05,27.390459174744493,55.58774049961234,20.0,3.484711398875351e-06,7.055005644018841e-06,2.0074509055525297e-06,1.2547167948446722e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_1,2026-09-17T18:56:18,mbpo_Ant-v5_seed43611,b7797354-1884-49da-afc2-63953dd454a0,0.007578068001748761,4.148937447539993e-08,5.470997407561623e-06,27.24632123815735,50.0289664496511,20.0,6.920672203369893e-08,0.0,3.970356665379364e-08,1.0891028868727573e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-17T18:56:22,mbpo_Ant-v5_seed43611,b7797354-1884-49da-afc2-63953dd454a0,4.319159139999101,8.814481552954295e-05,2.040789106509648e-05,27.148322816887323,58.73670868019202,20.0,3.246340652626051e-05,0.00017492569549593107,2.399248487777695e-05,0.00023138158689996842,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
