task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-09T01:00:09,mbpo_Ant-v5_seed85062,5794521a-34eb-42ba-81fc-eafe2fb88d72,90.00280369599932,0.0006098421322049706,6.7758120412235705e-06,12.818571731852552,13.0571825958474,20.0,0.0004088125876053638,0.000675043595589897,0.0005169894191278015,0.0016008456023230623,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-09T01:00:10,mbpo_Ant-v5_seed85062,5794521a-34eb-42ba-81fc-eafe2fb88d72,0.6725697369984118,8.23141875421179e-06,1.2238562280745512e-05,20.86127105047719,28.304632759142752,20.0,6.9246974841977345e-06,1.0956675432050034e-05,3.726236361116129e-06,2.1607609277363897e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_0,2026-09-09T01:00:12,mbpo_Ant-v5_seed85062,5794521a-34eb-42ba-81fc-eafe2fb88d72,2.0374833079986274,2.4486611439387832e-05,1.2018079123177354e-05,23.9729156916032,38.127893127756415,20.0,1.4746762908511915e-05,3.8222530578058134e-05,1.1308463277802968e-05,6.427775676437291e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-09T01:00:13,mbpo_Ant-v5_seed85062,5794521a-34eb-42ba-81fc-eafe2fb88d72,0.3933600899981684,4.940608086527031e-06,1.2560324782466019e-05,25.988880071483447,43.41059564683866,20.0,3.740126047653558e-06,7.046116747955189e-06,2.1829344888828553e-06,1.2969177284491602e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_0,2026-09-09T01:00:13,mbpo_Ant-v5_seed85062,5794521a-34eb-42ba-81fc-eafe2fb88d72,0.022177525999723002,1.2089550482290243e-07,5.45379394746043e-06,26.019389254686335,36.17549637236555,20.0,1.8785237250375925e-07,0.0,1.2950031111054559e-07,3.1735268361441325e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-09T01:00:17,mbpo_Ant-v5_seed85062,5794521a-34eb-42ba-81fc-eafe2fb88d72,4.138239872998383,6.35371316352227e-05,1.5353668448881584e-05,26.047056562829436,45.10946026492104,20.0,3.0335860379780265e-05,0.00011346231299191878,2.2987839583341464e-05,0.0001667860129550404,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_1,2026-09-09T01:00:20,mbpo_Ant-v5_seed85062,5794521a-34eb-42ba-81fc-eafe2fb88d72,2.6590581299969926,3.242326452853521e-05,1.219341318296352e-05,26.045774571320216,48.20493435405998,20.0,1.8741371381973855e-05,5.1600874614088355e-05,1.4769355338850989e-05,8.51116013349132e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-09T01:00:20,mbpo_Ant-v5_seed85062,5794521a-34eb-42ba-81fc-eafe2fb88d72,0.34938289399724454,4.692109891657231e-06,1.3429497575043352e-05,26.882808226202034,50.979500652021216,20.0,3.2778195666982417e-06,7.099172345981231e-06,1.9398735333298273e-06,1.2316865446009408e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_1,2026-09-09T01:00:20,mbpo_Ant-v5_seed85062,5794521a-34eb-42ba-81fc-eafe2fb88d72,0.007626416998391505,4.505994962746007e-08,5.904082997445267e-06,26.550045736194498,45.881550586819095,20.0,7.127533479785522e-08,0.0,4.700777224365873e-08,1.1828310704162237e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-09T01:00:24,mbpo_Ant-v5_seed85062,5794521a-34eb-42ba-81fc-eafe2fb88d72,4.1310368580016075,6.186960147201432e-05,1.4976794042104084e-05,26.293033839659813,50.541005568182094,20.0,2.8005694904537776e-05,0.00011145508916399205,2.2947934850001063e-05,0.00016240871891853078,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_2,2026-09-09T01:00:27,mbpo_Ant-v5_seed85062,5794521a-34eb-42ba-81fc-eafe2fb88d72,3.297256075995392,3.9978088351971005e-05,1.2124672429065733e-05,26.088433911837296,52.36303638156847,20.0,2.0317906532089577e-05,6.630949749197868e-05,1.831573379446733e-05,0.00010494313781853537,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-09T01:00:28,mbpo_Ant-v5_seed85062,5794521a-34eb-42ba-81fc-eafe2fb88d72,0.36187576999509474,4.526015150524854e-06,1.250702001250549e-05,26.124665440422824,53.838945282456926,20.0,2.684660758838029e-06,7.187505750017031e-06,2.008697516672959e-06,1.1880864025527911e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_2,2026-09-09T01:00:28,mbpo_Ant-v5_seed85062,5794521a-34eb-42ba-81fc-eafe2fb88d72,0.008823206000670325,4.718436778913728e-08,5.345758311024615e-06,26.091542091136223,49.99330633371,20.0,7.7243117350273e-08,0.0,4.661662221928757e-08,1.2385973956977742e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-09T01:00:32,mbpo_Ant-v5_seed85062,5794521a-34eb-42ba-81fc-eafe2fb88d72,4.08410529899993,6.288366978397645e-05,1.5397180991508827e-05,26.07871594824722,53.23473157616372,20.0,3.048497216573626e-05,0.0001118931450699856,2.2692547638871472e-05,0.00016507066487459355,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_3,2026-09-09T01:00:36,mbpo_Ant-v5_seed85062,5794521a-34eb-42ba-81fc-eafe2fb88d72,3.695457034998981,4.6078653881360477e-05,1.2468927041251005e-05,26.1047601724766,54.432745332145906,20.0,2.6114048946777445e-05,7.431533723001316e-05,2.0527836244420717e-05,0.00012095722242121132,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-09T01:00:36,mbpo_Ant-v5_seed85062,5794521a-34eb-42ba-81fc-eafe2fb88d72,0.35559346599620767,4.738392014319343e-06,1.3325203815798198e-05,26.57665103668151,55.446779890040006,20.0,3.3901918788177728e-06,7.0744501040609364e-06,1.9737147944397324e-06,1.2438356777318225e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_3,2026-09-09T01:00:36,mbpo_Ant-v5_seed85062,5794521a-34eb-42ba-81fc-eafe2fb88d72,0.008714563002286013,4.5806000933154394e-08,5.254735349569207e-06,26.4821030577546,52.36640322948223,20.0,7.439478173776326e-08,0.0,4.584672222136647e-08,1.202415039589129e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-09T01:00:40,mbpo_Ant-v5_seed85062,5794521a-34eb-42ba-81fc-eafe2fb88d72,4.088678496998909,6.309321927295912e-05,1.543121414746251e-05,26.418345466137442,54.81926358860094,20.0,3.051460830055591e-05,0.00011239397880391522,2.271214861664496e-05,0.00016562073572111598,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_4,2026-09-09T01:00:46,mbpo_Ant-v5_seed85062,5794521a-34eb-42ba-81fc-eafe2fb88d72,5.641876162000699,6.971313676129988e-05,1.235637797255917e-05,26.427747472284913,55.648289607566554,20.0,3.9768064314425235e-05,0.0001118889784000876,3.134108502219734e-05,0.0001829981277367103,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-09T01:00:46,mbpo_Ant-v5_seed85062,5794521a-34eb-42ba-81fc-eafe2fb88d72,0.3570047219982371,4.720716051153859e-06,1.3223129212706814e-05,26.74879877174664,56.41178719375806,20.0,3.307845424052082e-06,7.102783459944639e-06,1.981328200013682e-06,1.239195708401062e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_4,2026-09-09T01:00:46,mbpo_Ant-v5_seed85062,5794521a-34eb-42ba-81fc-eafe2fb88d72,0.008986788998299744,4.863438936254447e-08,5.410799168989119e-06,26.730484731762292,53.847615048587244,20.0,8.053228664831047e-08,0.0,4.7133783340940275e-08,1.2766606998946758e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_4,2026-09-09T01:00:50,mbpo_Ant-v5_seed85062,5794521a-34eb-42ba-81fc-eafe2fb88d72,4.103343753995432,6.312986949481955e-05,1.5385007606351034e-05,26.71743076819276,55.79413651169981,20.0,3.0525476087028304e-05,0.00011239731213996684,2.279415492780065e-05,0.0001657169431547958,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_5,2026-09-09T01:00:52,mbpo_Ant-v5_seed85062,5794521a-34eb-42ba-81fc-eafe2fb88d72,2.0275149880035315,2.4411111479997116e-05,1.2039782520884026e-05,26.65850995564999,56.44432797596855,20.0,1.2613859257746413e-05,4.0204198830107174e-05,1.1261510044439775e-05,6.407956813229325e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_5,2026-09-09T01:00:53,mbpo_Ant-v5_seed85062,5794521a-34eb-42ba-81fc-eafe2fb88d72,0.3675623160015675,4.550465035230459e-06,1.2379798248170476e-05,26.66296242732381,56.992613131295265,20.0,2.7484421987523412e-06,7.156672391928076e-06,2.03993078333345e-06,1.1945045374013759e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
