task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-13T06:38:20,mbpo_Ant-v5_seed85062,c10b1da0-89de-4498-b172-506f3795848c,90.0033625990036,0.0005854472809603082,6.50472655287149e-06,13.973127222237967,12.157812215749264,20.0,0.00039134462779767676,0.0006285071694720479,0.0005169569203055693,0.0015368087175752939,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-13T06:38:21,mbpo_Ant-v5_seed85062,c10b1da0-89de-4498-b172-506f3795848c,0.6609817780044978,7.985221295748503e-06,1.208076143851224e-05,22.12567613176509,26.643607309896577,20.0,7.079099274387435e-06,1.0210841501989698e-05,3.6713961333185432e-06,2.0961336909695568e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_0,2026-09-13T06:38:24,mbpo_Ant-v5_seed85062,c10b1da0-89de-4498-b172-506f3795848c,2.6684603719986626,3.21451481632664e-05,1.2046398609885098e-05,25.131725500318566,37.05251830558613,20.0,1.8980628795600696e-05,5.058448491201961e-05,1.4816427605587185e-05,8.438154131320749e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-13T06:38:24,mbpo_Ant-v5_seed85062,c10b1da0-89de-4498-b172-506f3795848c,0.3975703610049095,4.467962155782967e-06,1.1238096105669248e-05,25.62126910865524,41.34953646089365,20.0,3.0614841158502215e-06,6.460282946041396e-06,2.2067069000008144e-06,1.1728473961892432e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_0,2026-09-13T06:38:24,mbpo_Ant-v5_seed85062,c10b1da0-89de-4498-b172-506f3795848c,0.02120150299742818,1.1363667048298019e-07,5.3614291552490565e-06,26.081992551622548,34.457947050744714,20.0,1.832745910590461e-07,0.0,1.1502353332217691e-07,2.98298124381223e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-13T06:38:28,mbpo_Ant-v5_seed85062,c10b1da0-89de-4498-b172-506f3795848c,3.934013475001848,4.5430760453958976e-05,1.1548189550679237e-05,26.343987290766545,38.4808876417385,20.0,2.898103485148018e-05,6.842227695991188e-05,2.1853179733322256e-05,0.00011925649154471431,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_1,2026-09-13T06:38:31,mbpo_Ant-v5_seed85062,c10b1da0-89de-4498-b172-506f3795848c,2.780374504000065,3.356104868289364e-05,1.2070592654857837e-05,26.290838540259124,42.33609702086668,20.0,1.91228064093385e-05,5.3531709492071755e-05,1.5443787505581763e-05,8.809830340699202e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-13T06:38:31,mbpo_Ant-v5_seed85062,c10b1da0-89de-4498-b172-506f3795848c,0.3508697020006366,3.879303394110434e-06,1.1055900136233754e-05,27.02201798349345,43.34983222670993,20.0,3.222209522202313e-06,5.01305956590592e-06,1.9479659666508248e-06,1.0183235054759057e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_1,2026-09-13T06:38:31,mbpo_Ant-v5_seed85062,c10b1da0-89de-4498-b172-506f3795848c,0.006980076002946589,3.5968371187391525e-08,5.148731088760261e-06,26.229925278904666,39.014849004038936,20.0,5.2846431175535e-08,0.0,4.157113330112948e-08,9.441756447666448e-08,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-13T06:38:35,mbpo_Ant-v5_seed85062,c10b1da0-89de-4498-b172-506f3795848c,3.9154912930025603,4.532070031907666e-05,1.1574737231051615e-05,25.732735498028557,41.25322488157888,20.0,2.8010153519220093e-05,6.920727758796819e-05,2.1750150777774665e-05,0.00011896758188496294,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
