task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-13T09:40:47,mbpo_Ant-v5_seed85062,31ac84bd-75b3-43a7-819b-bc880563dae6,90.00317719099985,0.0005916763690156363,6.573949634262059e-06,15.169028165782152,12.330163383405061,20.0,0.00039832013726696924,0.0006376743990279543,0.0005171656396222211,0.0015531601759171446,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-13T09:40:48,mbpo_Ant-v5_seed85062,31ac84bd-75b3-43a7-819b-bc880563dae6,0.659861729000113,7.879555099671331e-06,1.1941011020399797e-05,22.609371638298118,26.69755613474239,20.0,6.894281904312738e-06,1.0133896996000757e-05,3.65578251108271e-06,2.0683961411396097e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_0,2026-09-13T09:40:51,mbpo_Ant-v5_seed85062,31ac84bd-75b3-43a7-819b-bc880563dae6,3.047163561997877,3.635953898344015e-05,1.1932304848683225e-05,25.632237110613502,36.628118982135504,20.0,2.230452951028361e-05,5.621365608199369e-05,1.692620076666773e-05,9.544438635894514e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-13T09:40:52,mbpo_Ant-v5_seed85062,31ac84bd-75b3-43a7-819b-bc880563dae6,0.3811490060033975,4.683270460011275e-06,1.2287338240615334e-05,27.05659061831734,41.957835516564906,20.0,3.4859830665701086e-06,6.692783131923008e-06,2.1148955944227336e-06,1.229366179291585e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_0,2026-09-13T09:40:52,mbpo_Ant-v5_seed85062,31ac84bd-75b3-43a7-819b-bc880563dae6,0.02132412599894451,1.1233929098606894e-07,5.26928451190546e-06,27.14622589039995,34.96486293047075,20.0,1.7878180968988744e-07,0.0,1.1611067222679159e-07,2.948924819165706e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-13T09:40:56,mbpo_Ant-v5_seed85062,31ac84bd-75b3-43a7-819b-bc880563dae6,4.01582950699958,4.8698239218520115e-05,1.2126579129832576e-05,27.173080788181124,39.72634767185307,20.0,2.93460415323743e-05,7.617922761005147e-05,2.230840776667011e-05,0.000127833676909096,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_1,2026-09-13T09:40:58,mbpo_Ant-v5_seed85062,31ac84bd-75b3-43a7-819b-bc880563dae6,2.361816390999593,2.799666058675638e-05,1.185380233981309e-05,26.995656141198655,43.16817434979589,20.0,1.6212655192332504e-05,4.4151146432080957e-05,1.3127891738905521e-05,7.349169336331898e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-13T09:40:59,mbpo_Ant-v5_seed85062,31ac84bd-75b3-43a7-819b-bc880563dae6,0.34969495199766243,4.5457344814935335e-06,1.299894108622878e-05,27.734266971077034,46.042968587573704,20.0,3.287076240768294e-06,6.703894252058085e-06,1.941657100016747e-06,1.1932627592843017e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_1,2026-09-13T09:40:59,mbpo_Ant-v5_seed85062,31ac84bd-75b3-43a7-819b-bc880563dae6,0.006895364000229165,3.712780154391075e-08,5.378696343555634e-06,27.450897383874075,41.43867172881633,20.0,6.164532709296289e-08,0.0,3.581576109149866e-08,9.746108818446154e-08,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-13T09:41:03,mbpo_Ant-v5_seed85062,31ac84bd-75b3-43a7-819b-bc880563dae6,4.000375555995561,4.8556122364260814e-05,1.2137899894093527e-05,27.24476653679708,43.913799372502496,20.0,2.8942023153594176e-05,7.629644992590556e-05,2.222214475554611e-05,0.00012746061783504596,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_2,2026-09-13T09:41:08,mbpo_Ant-v5_seed85062,31ac84bd-75b3-43a7-819b-bc880563dae6,5.298776754003484,6.400777340375276e-05,1.2079734196078844e-05,27.128493996625764,46.02222244483708,20.0,3.6717294929364264e-05,0.00010186897038400033,2.943519000558198e-05,0.00016802145531894658,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-13T09:41:08,mbpo_Ant-v5_seed85062,31ac84bd-75b3-43a7-819b-bc880563dae6,0.34762713500094833,3.861988867655914e-06,1.1109753123554609e-05,27.60625068311921,46.44426117590502,20.0,3.2376209234269426e-06,4.970559531969343e-06,1.9296036833515865e-06,1.0137784138747764e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_2,2026-09-13T09:41:08,mbpo_Ant-v5_seed85062,31ac84bd-75b3-43a7-819b-bc880563dae6,0.010276424000039697,5.425346754847366e-08,5.280053414190629e-06,27.466145157928718,43.126813949054664,20.0,8.772118129107831e-08,0.0,5.4695061125066384e-08,1.4241624241625311e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-13T09:41:12,mbpo_Ant-v5_seed85062,31ac84bd-75b3-43a7-819b-bc880563dae6,4.010143749001145,4.9730181252976495e-05,1.2401102550252951e-05,27.36074708297188,44.94108173550537,20.0,2.9920211713926892e-05,7.834645156601372e-05,2.2275878400008315e-05,0.0001305425416799487,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_3,2026-09-13T09:41:16,mbpo_Ant-v5_seed85062,31ac84bd-75b3-43a7-819b-bc880563dae6,3.5145807020016946,4.247320846392983e-05,1.2084783606516792e-05,27.301816534873858,46.449017877444966,20.0,2.4548618805561584e-05,6.742144282601004e-05,1.9522807416675844e-05,0.00011149286904824736,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
