task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-15T04:12:03,mbpo_Ant-v5_seed85062,0db152d4-41ed-4568-9813-89713bac8b20,90.003256117001,0.0006041864165420205,6.712939374495012e-06,15.990788614987427,12.635659377602979,20.0,0.0004153650900695846,0.0006534708005541123,0.0005171633652944567,0.0015859992559181535,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-15T04:12:04,mbpo_Ant-v5_seed85062,0db152d4-41ed-4568-9813-89713bac8b20,0.6695962020021398,8.25156795052225e-06,1.2323106670003255e-05,23.672744675210954,27.52589144513776,20.0,7.285584439575832e-06,1.0656397414265939e-05,3.7185193944121306e-06,2.1660501248253793e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_0,2026-09-15T04:12:06,mbpo_Ant-v5_seed85062,0db152d4-41ed-4568-9813-89713bac8b20,2.059810129998368,2.535849405860583e-05,1.2311091567339726e-05,26.523606979740457,37.950557039304655,20.0,1.555300216461719e-05,3.9578920551841534e-05,1.1434540227775111e-05,6.656646294423384e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-15T04:12:07,mbpo_Ant-v5_seed85062,0db152d4-41ed-4568-9813-89713bac8b20,0.40044611600023927,4.846995295877373e-06,1.2104260764109793e-05,28.116361346549514,42.318399524488505,20.0,3.856228362755787e-06,6.64500531599721e-06,2.2222084944385854e-06,1.2723442173191582e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_0,2026-09-15T04:12:07,mbpo_Ant-v5_seed85062,0db152d4-41ed-4568-9813-89713bac8b20,0.022372487001121044,1.1890122847478361e-07,5.317234538414464e-06,28.16940314804344,35.26533293707376,20.0,1.9154820879441203e-07,0.0,1.205694666876105e-07,3.121176754819141e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-15T04:12:23,mbpo_Ant-v5_seed85062,0db152d4-41ed-4568-9813-89713bac8b20,16.356582662003348,0.0002453596534588424,1.5000673217835608e-05,28.17822971788573,44.05319766833244,20.0,0.00011349423246197893,0.0004397114628800214,9.086742044443481e-05,0.0006440731157864349,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_1,2026-09-15T04:12:25,mbpo_Ant-v5_seed85062,0db152d4-41ed-4568-9813-89713bac8b20,2.0874242630015942,2.512034580109024e-05,1.2034066342636175e-05,27.635449889028216,47.567424585622035,20.0,1.2510252230417407e-05,4.183697791404484e-05,1.1594089716648686e-05,6.594131986111104e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-15T04:12:25,mbpo_Ant-v5_seed85062,0db152d4-41ed-4568-9813-89713bac8b20,0.3619725800017477,4.427786487664373e-06,1.2232279929493904e-05,27.486176851993196,49.969939946929884,20.0,2.658703793630146e-06,6.9544500080898075e-06,2.0098583722250518e-06,1.1623012173945114e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_1,2026-09-15T04:12:25,mbpo_Ant-v5_seed85062,0db152d4-41ed-4568-9813-89713bac8b20,0.007708365999860689,4.0355181368237e-08,5.228823505622681e-06,27.140288242082352,44.9729459522369,20.0,6.508727429244132e-08,0.0,4.0845738880708644e-08,1.0593301317304155e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-15T04:12:42,mbpo_Ant-v5_seed85062,0db152d4-41ed-4568-9813-89713bac8b20,16.23087745099474,0.00024582157106943145,1.514531046884164e-05,26.868229796351418,49.70722260020066,20.0,0.00011756803377657027,0.0004375484055938461,9.016921772219777e-05,0.000645285657092614,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
