task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-17T16:31:04,mbpo_Ant-v5_seed85062,910ff8b9-4de3-4798-abdf-7f3c605de4e7,90.00278051500209,0.0005892116041583428,6.546593161240849e-06,11.830774758301754,12.38591972931701,20.0,0.00038901008815225846,0.0006405338457600163,0.0005171461938166734,0.0015466901277289482,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-17T16:31:05,mbpo_Ant-v5_seed85062,910ff8b9-4de3-4798-abdf-7f3c605de4e7,0.6648128659981012,7.407964900902849e-06,1.1142736297309045e-05,20.286461909844856,24.25220233042614,20.0,6.8917385689371e-06,8.861395978054798e-06,3.6928948555618474e-06,1.9446029402553746e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_0,2026-09-17T16:31:07,mbpo_Ant-v5_seed85062,910ff8b9-4de3-4798-abdf-7f3c605de4e7,2.0144781220005825,2.3890836378302272e-05,1.185960598795712e-05,23.571504743421585,34.72128435824182,20.0,1.4505013270674216e-05,3.7014474056074054e-05,1.1194350127779161e-05,6.271383745452743e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-17T16:31:08,mbpo_Ant-v5_seed85062,910ff8b9-4de3-4798-abdf-7f3c605de4e7,0.387751861999277,4.698758002509638e-06,1.2117983249942094e-05,25.52272185112906,39.995909467127674,20.0,3.608154553184917e-06,6.574449703977692e-06,2.1517125889052415e-06,1.2334316846067958e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_0,2026-09-17T16:31:08,mbpo_Ant-v5_seed85062,910ff8b9-4de3-4798-abdf-7f3c605de4e7,0.02197093300128472,1.1565145795243773e-07,5.265590387863965e-06,25.826997046229128,33.329924555939726,20.0,1.834612578799355e-07,0.0,1.2012571666368804e-07,3.0358697454373196e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-17T16:31:12,mbpo_Ant-v5_seed85062,910ff8b9-4de3-4798-abdf-7f3c605de4e7,4.17537024199919,7.607230500934693e-05,1.8219300474747835e-05,26.044122511969338,46.400243580652486,20.0,3.172774760439728e-05,0.0001447678935919683,2.3195407522224676e-05,0.00019969104871859025,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_1,2026-09-17T16:31:14,mbpo_Ant-v5_seed85062,910ff8b9-4de3-4798-abdf-7f3c605de4e7,2.340064653999434,2.8080155375350595e-05,1.1999603435540561e-05,26.112709180163733,49.136628919419024,20.0,1.6327129728356538e-05,4.438531328598838e-05,1.2998425538878833e-05,7.371086855322375e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-17T16:31:15,mbpo_Ant-v5_seed85062,910ff8b9-4de3-4798-abdf-7f3c605de4e7,0.3482071520011232,4.54528727162598e-06,1.3053190882575393e-05,26.894073782808622,51.46035433391671,20.0,3.2249564688516252e-06,6.773060974074596e-06,1.9334362166773325e-06,1.1931453659603554e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_1,2026-09-17T16:31:15,mbpo_Ant-v5_seed85062,910ff8b9-4de3-4798-abdf-7f3c605de4e7,0.008170961998985149,4.3477440967321784e-08,5.3166615349236656e-06,26.709998956503675,46.31431890052504,20.0,7.12075569619941e-08,0.0,4.292143888353847e-08,1.1412899584553257e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-17T16:31:19,mbpo_Ant-v5_seed85062,910ff8b9-4de3-4798-abdf-7f3c605de4e7,4.126796552998712,7.474244161601495e-05,1.8111520676581267e-05,26.597549831996467,53.37692019611452,20.0,3.114033630113866e-05,0.00014213566926396526,2.2924129927782305e-05,0.00019620013549288612,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
