task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-18T03:42:33,mbpo_Ant-v5_seed85062,28bd4fb5-95cd-46ac-aaf7-8cba2d905e13,90.00281371799792,0.0005806618196581122,6.4515961632483974e-06,10.73131220283014,12.08165397864831,20.0,0.0003825738402254905,0.0006246499441640019,0.0005170230187555717,0.001524246803145064,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-18T03:42:34,mbpo_Ant-v5_seed85062,28bd4fb5-95cd-46ac-aaf7-8cba2d905e13,0.6630725659997552,7.460574390661377e-06,1.125133761569337e-05,19.82956288937566,24.11428656150315,20.0,7.026693954685637e-06,8.874173766049154e-06,3.68326245556497e-06,1.9584130176299652e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_0,2026-09-18T03:42:36,mbpo_Ant-v5_seed85062,28bd4fb5-95cd-46ac-aaf7-8cba2d905e13,2.0190889300065464,2.3952173148891536e-05,1.1862935710854036e-05,23.340114975749323,34.719113205765154,20.0,1.4351222036523836e-05,3.730891873598985e-05,1.1214706711123491e-05,6.287484748363718e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-18T03:42:36,mbpo_Ant-v5_seed85062,28bd4fb5-95cd-46ac-aaf7-8cba2d905e13,0.38793142799841007,4.74251071653478e-06,1.2225122710652927e-05,25.322888825113726,40.14886847094107,20.0,3.6120542785261778e-06,6.678616454092179e-06,2.158497705588374e-06,1.2449168438206622e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_0,2026-09-18T03:42:36,mbpo_Ant-v5_seed85062,28bd4fb5-95cd-46ac-aaf7-8cba2d905e13,0.02233651500137057,1.167005969148838e-07,5.226700218470742e-06,25.674349344257184,33.45739039245089,20.0,1.8524125930396984e-07,0.0,1.21099722228909e-07,3.063409815327704e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-18T03:42:40,mbpo_Ant-v5_seed85062,28bd4fb5-95cd-46ac-aaf7-8cba2d905e13,4.10759845800203,6.21075861935304e-05,1.5120170221599798e-05,25.891867512506963,42.48132218722752,20.0,2.9975295646883504e-05,0.00011024036597007125,2.2817771100017126e-05,0.00016303343271697177,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_1,2026-09-18T03:42:43,mbpo_Ant-v5_seed85062,28bd4fb5-95cd-46ac-aaf7-8cba2d905e13,2.636092610002379,3.190915609475962e-05,1.2104620731126698e-05,25.883985673814102,45.84758774525987,20.0,1.829786686050744e-05,5.082115176779922e-05,1.4643039633301688e-05,8.376205826160824e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-18T03:42:43,mbpo_Ant-v5_seed85062,28bd4fb5-95cd-46ac-aaf7-8cba2d905e13,0.3481591829986428,4.631125982838477e-06,1.3301350098865185e-05,26.790540905699043,48.698761023682124,20.0,3.311626260410483e-06,6.912227752176037e-06,1.9329276722500604e-06,1.215678168483658e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_1,2026-09-18T03:42:43,mbpo_Ant-v5_seed85062,28bd4fb5-95cd-46ac-aaf7-8cba2d905e13,0.00755884000682272,3.983225993595303e-08,5.267410716187468e-06,26.586264949571955,43.82888492131391,20.0,6.561283026618181e-08,0.0,3.894750556755148e-08,1.0456033583384171e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-18T03:42:48,mbpo_Ant-v5_seed85062,28bd4fb5-95cd-46ac-aaf7-8cba2d905e13,4.059766803002276,6.225395356102925e-05,1.533437656905709e-05,26.457319806940177,48.758051122723515,20.0,3.029440756884688e-05,0.00011056981067802951,2.255343121113486e-05,0.00016341764945801093,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
