task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-08T23:07:59,mbpo_Ant-v5_seed958,aa9eeceb-8059-4375-82c5-58112e7df06f,90.00280179800029,0.0006100363861715188,6.777970512749303e-06,13.149651944180746,13.384529229253516,20.0,0.00039237327195391913,0.0006919816646960841,0.0005170005855222472,0.0016013555221722504,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-08T23:08:00,mbpo_Ant-v5_seed958,aa9eeceb-8059-4375-82c5-58112e7df06f,0.6690604229952442,8.144483671216761e-06,1.2172841318296803e-05,20.821919315916507,28.557288816128715,20.0,6.74357622819019e-06,1.092639763000669e-05,3.709429400017457e-06,2.1379403258214337e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_0,2026-09-08T23:08:06,mbpo_Ant-v5_seed958,aa9eeceb-8059-4375-82c5-58112e7df06f,5.359855000999232,6.516843917982206e-05,1.2158639504462292e-05,24.206209434280915,38.81120356072207,20.0,3.7715116560956e-05,0.00010357813841799235,2.9774967044472267e-05,0.0001710682220234206,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-08T23:08:06,mbpo_Ant-v5_seed958,aa9eeceb-8059-4375-82c5-58112e7df06f,0.3888618989949464,4.918832047910628e-06,1.264954993026302e-05,26.095618757495707,44.21138687222051,20.0,3.653405422718997e-06,7.101116792029849e-06,2.1574926111093745e-06,1.2912014825858112e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_0,2026-09-08T23:08:06,mbpo_Ant-v5_seed958,aa9eeceb-8059-4375-82c5-58112e7df06f,0.02397208500042325,1.1708769132739733e-07,4.8856255931028834e-06,26.06953103566313,36.84282239351709,20.0,1.8700459404608072e-07,0.0,1.2035251667030615e-07,3.0735711071638687e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-08T23:08:10,mbpo_Ant-v5_seed958,aa9eeceb-8059-4375-82c5-58112e7df06f,4.131215042005351,6.341137026901844e-05,1.53493370959307e-05,26.056152179854774,45.711882535747854,20.0,2.9992436493930796e-05,0.00011351453525598743,2.2948915555550927e-05,0.00016645588730546915,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_1,2026-09-08T23:08:16,mbpo_Ant-v5_seed958,aa9eeceb-8059-4375-82c5-58112e7df06f,5.731007375004992,7.055713342002824e-05,1.231142429055245e-05,26.043658663436606,48.900308689783316,20.0,4.0007101172325615e-05,0.00011337009069600779,3.1836440944445926e-05,0.00018521363281277922,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-08T23:08:16,mbpo_Ant-v5_seed958,aa9eeceb-8059-4375-82c5-58112e7df06f,0.3541886329985573,4.693313413646656e-06,1.325066760180954e-05,26.922303027271987,51.37173342843879,20.0,3.359657409947314e-06,6.994450039932154e-06,1.9659172610975205e-06,1.232002471097688e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_1,2026-09-08T23:08:16,mbpo_Ant-v5_seed958,aa9eeceb-8059-4375-82c5-58112e7df06f,0.007620933996804524,4.094268105266346e-08,5.368806709010992e-06,26.75038888231065,46.23456008559491,20.0,6.740977614994037e-08,0.0,4.006543333364386e-08,1.0747520948336739e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-08T23:08:20,mbpo_Ant-v5_seed958,aa9eeceb-8059-4375-82c5-58112e7df06f,4.0631752549961675,6.162980459966055e-05,1.5167909534454402e-05,26.630575754542637,50.851467516927535,20.0,2.975456935919163e-05,0.00010946064312411519,2.2564035711103436e-05,0.00016177924819441025,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
