task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-13T04:45:39,mbpo_Ant-v5_seed958,46420a63-7389-48f7-95a6-29263ba2338c,90.00323220700375,0.000595642233875816,6.618009120856782e-06,15.668100349006721,12.544948563962393,20.0,0.00039760816308627434,0.0006487905190319943,0.0005171719541222249,0.0015635706362404935,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-13T04:45:40,mbpo_Ant-v5_seed958,46420a63-7389-48f7-95a6-29263ba2338c,0.6696003219985869,7.933168299389297e-06,1.1847439800177208e-05,22.762408699506466,26.663736289420935,20.0,6.895061627158056e-06,1.0210563724188937e-05,3.71907158890582e-06,2.082469694025292e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_0,2026-09-13T04:45:43,mbpo_Ant-v5_seed958,46420a63-7389-48f7-95a6-29263ba2338c,3.429365809999581,4.0669222005964623e-05,1.1859149944432814e-05,25.544172295426904,36.83745008324328,20.0,2.3547864393829582e-05,6.415977354989888e-05,1.904973705552245e-05,0.00010675737499925091,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-13T04:45:44,mbpo_Ant-v5_seed958,46420a63-7389-48f7-95a6-29263ba2338c,0.3808631870051613,4.426203342767078e-06,1.1621651446143638e-05,25.727123436351917,42.125882178764236,20.0,2.813834473286425e-06,6.690838685985412e-06,2.1141832333442965e-06,1.1618856392616025e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_0,2026-09-13T04:45:44,mbpo_Ant-v5_seed958,46420a63-7389-48f7-95a6-29263ba2338c,0.02144026500172913,1.0854146196691717e-07,5.063388628637962e-06,25.761724970620822,35.104901815636865,20.0,1.6884680174161781e-07,0.0,1.1607631669090582e-07,2.8492311843252363e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-13T04:45:48,mbpo_Ant-v5_seed958,46420a63-7389-48f7-95a6-29263ba2338c,3.9745083920061006,4.550113886758061e-05,1.144825672381848e-05,25.73777872722084,39.17726719418136,20.0,2.7142048935845792e-05,7.02214450659655e-05,2.2077742033313062e-05,0.00011944123603512447,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_1,2026-09-13T04:45:49,mbpo_Ant-v5_seed958,46420a63-7389-48f7-95a6-29263ba2338c,0.8938749950029887,1.04617625538442e-05,1.170350930314211e-05,25.20319464940001,42.92061742177178,20.0,5.3406345502833574e-06,1.715779150401886e-05,4.963872288903516e-06,2.7462298343205625e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-13T04:45:49,mbpo_Ant-v5_seed958,46420a63-7389-48f7-95a6-29263ba2338c,0.36071581600117497,4.314629622909419e-06,1.1961004285930808e-05,25.324008902131368,45.55605860173831,20.0,2.6491073970638657e-06,6.67417200594933e-06,2.002694144458573e-06,1.1325973547471769e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_1,2026-09-13T04:45:49,mbpo_Ant-v5_seed958,46420a63-7389-48f7-95a6-29263ba2338c,0.006710656001814641,3.203763903106803e-08,4.769918451682007e-06,24.80666210778099,41.00045274156447,20.0,4.9014483655823726e-08,0.0,3.508484442131966e-08,8.40993280772518e-08,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-13T04:45:53,mbpo_Ant-v5_seed958,46420a63-7389-48f7-95a6-29263ba2338c,3.9140850539988605,4.534715677622378e-05,1.1585646816735304e-05,24.51892070926593,43.033583998178955,20.0,2.8407559948252087e-05,6.888699955409638e-05,2.174247101667992e-05,0.00011903703051902807,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
