task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-13T07:54:19,mbpo_Ant-v5_seed958,eacac053-7b3d-4a0b-9fb6-508cc8242309,90.00328401200386,0.0005995152574773765,6.6610372171756315e-06,11.6654767873389,12.427345785444032,20.0,0.0004143449909201728,0.0006424380139499197,0.0005169543818666878,0.0015737373867367804,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-13T07:54:20,mbpo_Ant-v5_seed958,eacac053-7b3d-4a0b-9fb6-508cc8242309,0.6677283480021288,7.40845989387806e-06,1.109484564544292e-05,20.34148438567186,23.94744348397859,20.0,7.017437002834748e-06,8.719173642202094e-06,3.710718122197751e-06,1.94473287672347e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_0,2026-09-13T07:54:25,mbpo_Ant-v5_seed958,eacac053-7b3d-4a0b-9fb6-508cc8242309,4.757088639998983,5.745705973882989e-05,1.2078236546496824e-05,24.07044516731964,35.11634978657225,20.0,3.37265944812537e-05,9.067312809396544e-05,2.6426001899987296e-05,0.00015082572447520644,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-13T07:54:25,mbpo_Ant-v5_seed958,eacac053-7b3d-4a0b-9fb6-508cc8242309,0.37216578500374453,4.589440006578312e-06,1.2331816939134661e-05,25.7727234926959,40.86320350508388,20.0,3.386360209085837e-06,6.595560831934577e-06,2.0654342722183257e-06,1.204735531323874e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_0,2026-09-13T07:54:25,mbpo_Ant-v5_seed958,eacac053-7b3d-4a0b-9fb6-508cc8242309,0.02117546200315701,1.0691439832901609e-07,5.050714263138881e-06,25.785320420758747,34.0526695875699,20.0,1.663037441507198e-07,0.0,1.1434830553800918e-07,2.806520496888374e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-13T07:54:29,mbpo_Ant-v5_seed958,eacac053-7b3d-4a0b-9fb6-508cc8242309,4.069857957998465,4.8257932440940224e-05,1.1857411090120609e-05,25.7210548106335,39.011085352988964,20.0,2.6337132458580104e-05,7.773200662997137e-05,2.2608725305569102e-05,0.00012667786439412047,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_1,2026-09-13T07:54:32,mbpo_Ant-v5_seed958,eacac053-7b3d-4a0b-9fb6-508cc8242309,2.3882904709971626,2.7902350214119103e-05,1.168286705422487e-05,25.32864031221359,42.78733741972701,20.0,1.4061186804494724e-05,4.5916703400039616e-05,1.326623688332302e-05,7.324412708785704e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-13T07:54:32,mbpo_Ant-v5_seed958,eacac053-7b3d-4a0b-9fb6-508cc8242309,0.35811816800560337,3.5941973314652887e-06,1.0036095181342676e-05,25.357157991889295,43.4944296830139,20.0,2.5597251033376844e-06,4.886948353877152e-06,1.988153505549711e-06,9.434826962764764e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_1,2026-09-13T07:54:32,mbpo_Ant-v5_seed958,eacac053-7b3d-4a0b-9fb6-508cc8242309,0.0078534559943364,3.663836025172805e-08,4.661931268201821e-06,24.943289560590152,39.14498671471251,20.0,5.8423935626883416e-08,0.0,3.7752361135455145e-08,9.61762967625554e-08,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-13T07:54:36,mbpo_Ant-v5_seed958,eacac053-7b3d-4a0b-9fb6-508cc8242309,3.9862700960002257,4.843487265974913e-05,1.2150445543970391e-05,24.711904060820306,41.84834935936286,20.0,2.8734097431700606e-05,7.626506101199304e-05,2.21431769277438e-05,0.00012714233537143745,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
