task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-15T01:17:09,mbpo_Ant-v5_seed958,e2cc5b20-063e-4b7c-8b89-5523259334c1,90.00315664500522,0.0006135558684092117,6.817047993561842e-06,12.253918577102171,12.774565838224683,20.0,0.00043277537149779416,0.0006606549729680777,0.0005171638763221886,0.0016105942207880607,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-15T01:17:10,mbpo_Ant-v5_seed958,e2cc5b20-063e-4b7c-8b89-5523259334c1,0.6690294990039547,7.691663053801959e-06,1.149660331832917e-05,21.135938751143268,25.061342611538823,20.0,7.253846080849946e-06,9.221674044157524e-06,3.7152215833581624e-06,2.019074170836574e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_0,2026-09-15T01:17:15,mbpo_Ant-v5_seed958,e2cc5b20-063e-4b7c-8b89-5523259334c1,4.648808217003534,5.863738442880688e-05,1.261344858443496e-05,24.985614285653718,36.82506628202383,20.0,3.497667714798952e-05,9.312229671987193e-05,2.5825122283357747e-05,0.0001539240961512191,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-15T01:17:15,mbpo_Ant-v5_seed958,e2cc5b20-063e-4b7c-8b89-5523259334c1,0.40201808999700006,4.509492051086705e-06,1.1217284081159515e-05,25.107550732288964,41.52943909189798,20.0,2.872394242361964e-06,6.7338942760786225e-06,2.2312020999783536e-06,1.183749061841894e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_0,2026-09-15T01:17:15,mbpo_Ant-v5_seed958,e2cc5b20-063e-4b7c-8b89-5523259334c1,0.02340615700086346,1.131079547741793e-07,4.833219908017424e-06,25.123985578899738,34.607865909914985,20.0,1.7813736473415442e-07,0.0,1.1877287223692728e-07,2.969102369711901e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-15T01:17:33,mbpo_Ant-v5_seed958,e2cc5b20-063e-4b7c-8b89-5523259334c1,17.346525239001494,0.0002556659520320005,1.473874984751609e-05,25.13557511558458,43.105877117329676,20.0,0.00012137850293605229,0.0004533814738159059,9.636734187778431e-05,0.0006711273186297427,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_1,2026-09-15T01:17:36,mbpo_Ant-v5_seed958,e2cc5b20-063e-4b7c-8b89-5523259334c1,3.1698581159944297,3.916444014283728e-05,1.2355188201446963e-05,25.154254864656664,46.61454578844305,20.0,2.2536089695518458e-05,6.266338346394562e-05,1.760782476109546e-05,0.00010280729792055965,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-15T01:17:36,mbpo_Ant-v5_seed958,e2cc5b20-063e-4b7c-8b89-5523259334c1,0.36832630000571953,4.485506947793892e-06,1.2177965787098768e-05,25.30267608824337,49.04911317747024,20.0,2.725096346745115e-06,7.005283382044425e-06,2.044149599977462e-06,1.1774529328767002e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_1,2026-09-15T01:17:36,mbpo_Ant-v5_seed958,e2cc5b20-063e-4b7c-8b89-5523259334c1,0.007707942997512873,4.151724502621072e-08,5.382423076189097e-06,25.30481055045056,44.14420185972322,20.0,6.866449937109609e-08,0.0,4.0318949969388e-08,1.0898344934059251e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-15T01:17:54,mbpo_Ant-v5_seed958,e2cc5b20-063e-4b7c-8b89-5523259334c1,17.30892968000262,0.0002557205454871525,1.4773915406300675e-05,25.306632147781375,48.701550534479956,20.0,0.00012184431886426428,0.000453268140392038,9.615816808889377e-05,0.000671270627345196,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_2,2026-09-15T01:17:56,mbpo_Ant-v5_seed958,e2cc5b20-063e-4b7c-8b89-5523259334c1,2.6656364600057714,3.431154173505783e-05,1.2871831925643757e-05,25.351779544784847,50.873643608692554,20.0,1.990883592705578e-05,5.535309983806247e-05,1.480642421665835e-05,9.00683599817766e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
