task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-17T14:44:23,mbpo_Ant-v5_seed958,85d06d91-e439-47f2-ae29-7bdbfa673bce,90.00276946999838,0.0005795691630665891,6.439459028705714e-06,10.068365134955076,11.83226405189867,20.0,0.0003922472854642439,0.0006119468784460125,0.0005171843977555505,0.0015213785616658068,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-17T14:44:24,mbpo_Ant-v5_seed958,85d06d91-e439-47f2-ae29-7bdbfa673bce,0.6642674319991784,7.903830766514144e-06,1.1898308254551488e-05,19.402517710409533,25.9716638061561,20.0,7.047530638020112e-06,1.0010285786010709e-05,3.6898690111027404e-06,2.074768543513356e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_0,2026-09-17T14:44:31,mbpo_Ant-v5_seed958,85d06d91-e439-47f2-ae29-7bdbfa673bce,6.512621011999727,7.28670004602576e-05,1.1188614827420248e-05,23.397771919537725,36.09697137443395,20.0,3.485269121546435e-05,0.00012024592952997182,3.617845094443814e-05,0.0001912770716898742,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-17T14:44:31,mbpo_Ant-v5_seed958,85d06d91-e439-47f2-ae29-7bdbfa673bce,0.4077366769997752,4.463258189631256e-06,1.0946426587306254e-05,23.90233065098477,40.36865181112624,20.0,2.9502645824317462e-06,6.5027829800334835e-06,2.2630784111040683e-06,1.1716125973569406e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_0,2026-09-17T14:44:31,mbpo_Ant-v5_seed958,85d06d91-e439-47f2-ae29-7bdbfa673bce,0.02170966099947691,1.105357087340976e-07,5.093271857233438e-06,24.265596026733164,33.64054317593854,20.0,1.7225458224775017e-07,0.0,1.1790346666703828e-07,2.9015804891489687e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-17T14:44:35,mbpo_Ant-v5_seed958,85d06d91-e439-47f2-ae29-7bdbfa673bce,4.172147426001175,7.506007024201192e-05,1.7990778463378126e-05,24.550550051497222,46.411947242764185,20.0,3.127547779813991e-05,0.00014258233628799966,2.317610176111578e-05,0.00019703391584725534,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_1,2026-09-17T14:44:39,mbpo_Ant-v5_seed958,85d06d91-e439-47f2-ae29-7bdbfa673bce,3.6626430720007193,4.4767656999660215e-05,1.2222706520918571e-05,24.794559963995553,49.407825911597214,20.0,2.554706738208245e-05,7.161727951598973e-05,2.0351487199999035e-05,0.0001175158340980711,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-17T14:44:39,mbpo_Ant-v5_seed958,85d06d91-e439-47f2-ae29-7bdbfa673bce,0.3514985120000347,3.919446946076084e-06,1.1150625366448038e-05,25.81369920158067,49.617589715874914,20.0,3.3352432237477095e-06,5.0030595579730885e-06,1.9503097555570535e-06,1.0288612537278068e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_1,2026-09-17T14:44:39,mbpo_Ant-v5_seed958,85d06d91-e439-47f2-ae29-7bdbfa673bce,0.008142231999954674,4.2604119059042045e-08,5.229743890368361e-06,25.249881795246687,44.65583074428742,20.0,6.298477261013763e-08,0.0,4.8851738898157866e-08,1.1183651150818708e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-17T14:44:43,mbpo_Ant-v5_seed958,85d06d91-e439-47f2-ae29-7bdbfa673bce,4.12988639499963,7.493483268500084e-05,1.8144549421373707e-05,24.89814800326118,51.98398432507243,20.0,3.0073155447393925e-05,0.0001436906705080121,2.294133925000402e-05,0.00019670516520540983,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
