task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-18T01:51:28,mbpo_Ant-v5_seed958,a1572091-ab72-440e-9d71-1c7b5e0e2183,90.00254627899994,0.0005833928439042638,6.481959176110341e-06,10.258342367241468,12.321077196962984,20.0,0.0003771483672740106,0.0006371477319400132,0.0005171196873833347,0.0015314157865973586,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-18T01:51:29,mbpo_Ant-v5_seed958,a1572091-ab72-440e-9d71-1c7b5e0e2183,0.6645355650034617,7.938679448085337e-06,1.1945920537700596e-05,19.31755195757285,26.659591079730074,20.0,6.933106935370914e-06,1.0214730393975913e-05,3.691326466650916e-06,2.0839163795997743e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_0,2026-09-18T01:51:34,mbpo_Ant-v5_seed958,a1572091-ab72-440e-9d71-1c7b5e0e2183,5.321085943003709,6.380544739123853e-05,1.1991089622617549e-05,23.33416938958458,37.04156989685458,20.0,3.714950805291245e-05,0.00010078119173595468,2.9559646427797866e-05,0.0001674903462166651,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-18T01:51:35,mbpo_Ant-v5_seed958,a1572091-ab72-440e-9d71-1c7b5e0e2183,0.3861160970045603,4.737510149650055e-06,1.2269857621759817e-05,25.410665788681758,42.06119597751249,20.0,3.634840685655394e-06,6.658616438004472e-06,2.142584744433437e-06,1.2436041868093195e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_0,2026-09-18T01:51:35,mbpo_Ant-v5_seed958,a1572091-ab72-440e-9d71-1c7b5e0e2183,0.022241730002861004,1.1604799316237892e-07,5.219459847166147e-06,25.724463193364873,35.05099664792707,20.0,1.8383431373003578e-07,0.0,1.2079357224539788e-07,3.0462788597543367e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-18T01:51:39,mbpo_Ant-v5_seed958,a1572091-ab72-440e-9d71-1c7b5e0e2183,4.144529714001692,6.0201976277555395e-05,1.4525672413825728e-05,25.819178996268327,43.5444221000446,20.0,2.621936847548023e-05,0.00010878925369794956,2.3022553249999562e-05,0.00015803117542342936,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_1,2026-09-18T01:51:45,mbpo_Ant-v5_seed958,a1572091-ab72-440e-9d71-1c7b5e0e2183,5.752310871997906,6.818981344149707e-05,1.1854288336022378e-05,25.41292110739095,46.904570833447266,20.0,3.452074539435357e-05,0.00011252370113012944,3.195493250556566e-05,0.00017899937903004867,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-18T01:51:45,mbpo_Ant-v5_seed958,a1572091-ab72-440e-9d71-1c7b5e0e2183,0.3649335099980817,4.384508489991071e-06,1.2014331462631785e-05,25.527872860778714,49.13671454922949,20.0,2.6959349345295758e-06,6.787505429928231e-06,2.0259663555609016e-06,1.15094067200186e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_1,2026-09-18T01:51:45,mbpo_Ant-v5_seed958,a1572091-ab72-440e-9d71-1c7b5e0e2183,0.0074291739947511815,3.507010600185042e-08,4.718065304913838e-06,24.99523693924176,44.22304309430654,20.0,5.313448694921341e-08,0.0,3.892511667798106e-08,9.20596036273029e-08,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-18T01:51:49,mbpo_Ant-v5_seed958,a1572091-ab72-440e-9d71-1c7b5e0e2183,4.062152053003956,6.0758588202433975e-05,1.4957263253361999e-05,24.667170403307193,48.858888423745,20.0,2.9495000818204054e-05,0.00010743203038998672,2.2565259650016547e-05,0.0001594922908582071,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_2,2026-09-18T01:51:54,mbpo_Ant-v5_seed958,a1572091-ab72-440e-9d71-1c7b5e0e2183,5.088083339003788,6.212359003082344e-05,1.2209635523350274e-05,24.77393547270191,50.64870696377303,20.0,3.54294894546886e-05,9.938619061999887e-05,2.825976297774304e-05,0.00016307544305243062,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-18T01:51:54,mbpo_Ant-v5_seed958,a1572091-ab72-440e-9d71-1c7b5e0e2183,0.3534959600001457,4.613866355771836e-06,1.3052049970627769e-05,25.434864542946247,52.12576736095628,20.0,3.295129580548062e-06,6.854172150072557e-06,1.9621731499985633e-06,1.2111474880619182e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_2,2026-09-18T01:51:55,mbpo_Ant-v5_seed958,a1572091-ab72-440e-9d71-1c7b5e0e2183,0.008855236999806948,4.8413346631984155e-08,5.466387053676515e-06,25.083067291334476,48.40249826374512,20.0,7.122450142865722e-08,0.0,5.5861327766487494e-08,1.2708582919525313e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-18T01:51:59,mbpo_Ant-v5_seed958,a1572091-ab72-440e-9d71-1c7b5e0e2183,4.073529279005015,6.172511705523269e-05,1.51527589100771e-05,24.85351189028412,51.644406286407154,20.0,2.961559591468238e-05,0.00010978536560601881,2.2628483433315204e-05,0.0001620294449540165,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_3,2026-09-18T01:52:04,mbpo_Ant-v5_seed958,a1572091-ab72-440e-9d71-1c7b5e0e2183,5.581752460995631,6.789772438868785e-05,1.216418462106188e-05,24.920322016193722,52.804988345526304,20.0,3.8365800970392716e-05,0.00010885925375392347,3.1007585749992126e-05,0.00017823264047430853,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-18T01:52:05,mbpo_Ant-v5_seed958,a1572091-ab72-440e-9d71-1c7b5e0e2183,0.3577322310011368,3.909144223145219e-06,1.092721654948188e-05,25.388951500213324,52.65408452327664,20.0,3.286584573707063e-06,4.989170657943021e-06,1.985812488904527e-06,1.026156772055472e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_3,2026-09-18T01:52:05,mbpo_Ant-v5_seed958,a1572091-ab72-440e-9d71-1c7b5e0e2183,0.008655136996821966,4.436784173476177e-08,5.126082311558721e-06,25.31419927049832,49.728857605316826,20.0,7.1139779136975e-08,0.0,4.5326533331248135e-08,1.1646631246833156e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-18T01:52:09,mbpo_Ant-v5_seed958,a1572091-ab72-440e-9d71-1c7b5e0e2183,4.127188750004279,6.160073975481511e-05,1.4925621782894299e-05,25.242374716924317,52.24199281560028,20.0,2.703920496468365e-05,0.00011173842272405032,2.2925324811108594e-05,0.00016170295249984257,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_4,2026-09-18T01:52:14,mbpo_Ant-v5_seed958,a1572091-ab72-440e-9d71-1c7b5e0e2183,5.171619813001598,6.045028461350668e-05,1.1688858165593248e-05,25.140654161430422,53.08373754702628,20.0,3.072331430085257e-05,9.922980160603778e-05,2.872987297224529e-05,0.00015868298887913553,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-18T01:52:14,mbpo_Ant-v5_seed958,a1572091-ab72-440e-9d71-1c7b5e0e2183,0.36052058699715417,4.393337613486535e-06,1.218586141036578e-05,25.180614684622405,53.84649419585954,20.0,2.6165215376641737e-06,6.915005531960006e-06,2.001056244423788e-06,1.1532583314047967e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_4,2026-09-18T01:52:14,mbpo_Ant-v5_seed958,a1572091-ab72-440e-9d71-1c7b5e0e2183,0.010022579001088161,4.795727757446466e-08,4.784795456539935e-06,25.099257565284333,51.39892627786593,20.0,7.832811822067187e-08,0.0,4.756052221640498e-08,1.2588864043696843e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_4,2026-09-18T01:52:18,mbpo_Ant-v5_seed958,a1572091-ab72-440e-9d71-1c7b5e0e2183,4.0779282489966135,6.16892263037845e-05,1.5127601497633471e-05,25.047132607431525,53.38227801156733,20.0,2.939687018414794e-05,0.00010988564346403606,2.2652717494444567e-05,0.00016193523114262868,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_5,2026-09-18T01:52:25,mbpo_Ant-v5_seed958,a1572091-ab72-440e-9d71-1c7b5e0e2183,6.679779730002338,8.161281998725909e-05,1.2217853505964559e-05,25.07894936985353,54.09202267361642,20.0,4.6478715238496005e-05,0.00013064899340786695,3.710728278888886e-05,0.00021423499143525182,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_5,2026-09-18T01:52:25,mbpo_Ant-v5_seed958,a1572091-ab72-440e-9d71-1c7b5e0e2183,0.3543283499966492,3.966744137214951e-06,1.1194763029231206e-05,25.417324975418307,54.012662322715734,20.0,3.320255989529286e-06,5.1255596560384475e-06,1.966952794423926e-06,1.0412768439991768e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_5,2026-09-18T01:52:25,mbpo_Ant-v5_seed958,a1572091-ab72-440e-9d71-1c7b5e0e2183,0.008627327995782252,4.4480408250549205e-08,5.157155363688123e-06,25.36695316272994,51.93525223338051,20.0,7.122450142171832e-08,0.0,4.5537299997195496e-08,1.1676180141891382e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_5,2026-09-18T01:52:29,mbpo_Ant-v5_seed958,a1572091-ab72-440e-9d71-1c7b5e0e2183,4.071250959997997,6.175479203390268e-05,1.516850471790729e-05,25.33575694900206,53.60979812650564,20.0,2.9635957875411012e-05,0.00010985564344001553,2.261574094445675e-05,0.0001621073422598835,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_6,2026-09-18T01:52:32,mbpo_Ant-v5_seed958,a1572091-ab72-440e-9d71-1c7b5e0e2183,2.9603337719963747,3.674229236504188e-05,1.2411550554073922e-05,25.350640643522304,54.28129952441215,20.0,2.046678137342106e-05,5.953838096406372e-05,1.6443957927751653e-05,9.644912026523633e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_6,2026-09-18T01:52:33,mbpo_Ant-v5_seed958,a1572091-ab72-440e-9d71-1c7b5e0e2183,0.35619100899930345,4.026580239880522e-06,1.1304467941251576e-05,25.655723007906552,54.22011126230485,20.0,3.4025343886925907e-06,5.190559708045939e-06,1.9767450944426293e-06,1.0569839191181159e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_6,2026-09-18T01:52:33,mbpo_Ant-v5_seed958,a1572091-ab72-440e-9d71-1c7b5e0e2183,0.00853914899926167,7.093780439774121e-07,8.308297312485153e-05,25.63989166320878,78.07278529932846,20.0,7.370005895152021e-08,1.7436125059333563e-06,4.481643886219706e-08,1.862129003746965e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_6,2026-09-18T01:52:37,mbpo_Ant-v5_seed958,a1572091-ab72-440e-9d71-1c7b5e0e2183,4.0799343710023095,6.160752584838435e-05,1.5100140733027517e-05,25.634353624113142,78.65466591183691,20.0,3.0184273036290565e-05,0.00010887980932605679,2.2656683744450403e-05,0.0001617207661067971,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_7,2026-09-18T01:52:41,mbpo_Ant-v5_seed958,a1572091-ab72-440e-9d71-1c7b5e0e2183,4.089515141000447,5.0565010949653105e-05,1.236448564560679e-05,25.65786325130299,78.42736627295176,20.0,2.8937818428005635e-05,8.10792315300013e-05,2.2716933372228347e-05,0.00013273398333023528,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
