task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-04T13:11:29,mbpo_HalfCheetah-v5_seed0,ff2f99fb-28b0-4f7e-8c17-8cebb440f9fc,90.0086557199993,0.0005644680882256281,6.271264363304712e-06,9.31325196270569,10.457854993598009,20.0,0.0004241754146178389,0.0005406159880479988,0.0005169465897888888,0.0014817379924547266,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.8161506652832,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-04T13:11:30,mbpo_HalfCheetah-v5_seed0,ff2f99fb-28b0-4f7e-8c17-8cebb440f9fc,0.1580752610007039,1.8065293342778288e-06,1.142683488141666e-05,18.08094559700299,24.080297128697442,20.0,1.6085107312560631e-06,2.2552795820030003e-06,8.783788277772538e-07,4.742169141036317e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.8161506652832,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_0,2026-09-04T13:12:59,mbpo_HalfCheetah-v5_seed0,ff2f99fb-28b0-4f7e-8c17-8cebb440f9fc,89.5556624740002,0.0009369697036292431,1.0462429647293777e-05,22.458061943633666,29.4792225421549,20.0,0.0008257831875704696,0.0011362514645560096,0.0004975261921555609,0.0024595608442820396,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.8161506652832,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-04T13:13:00,mbpo_HalfCheetah-v5_seed0,ff2f99fb-28b0-4f7e-8c17-8cebb440f9fc,0.3785045410004386,3.51269306448276e-06,9.280714302773e-06,24.56196412620484,30.47334495761238,20.0,3.503733914091145e-06,3.6175028939877674e-06,2.0996401166686364e-06,9.220876924747982e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.8161506652832,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_0,2026-09-04T13:13:00,mbpo_HalfCheetah-v5_seed0,ff2f99fb-28b0-4f7e-8c17-8cebb440f9fc,0.02878076900015003,6.075533921707545e-07,2.110722239477642e-05,24.828871725736633,50.68074948488024,20.0,2.399524141813436e-07,1.1975009580056373e-06,1.573842499965998e-07,1.594837622183147e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.8161506652832,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-04T13:13:08,mbpo_HalfCheetah-v5_seed0,ff2f99fb-28b0-4f7e-8c17-8cebb440f9fc,8.291599018000852,8.383629962926487e-05,1.011100295656021e-05,25.089547942245115,49.86383051281109,20.0,7.045760581049498e-05,0.00010355258284198976,4.606147332222258e-05,0.00022007166197470732,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.8161506652832,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_1,2026-09-04T13:13:24,mbpo_HalfCheetah-v5_seed0,ff2f99fb-28b0-4f7e-8c17-8cebb440f9fc,15.744784221000373,0.0001615481143464445,1.0260407720447919e-05,25.78518461328861,49.269692722933065,20.0,0.0001393171275647226,0.00019728349116000798,8.746583185000219e-05,0.00042406645057473276,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.8161506652832,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-04T13:13:24,mbpo_HalfCheetah-v5_seed0,ff2f99fb-28b0-4f7e-8c17-8cebb440f9fc,0.3499290370000381,3.848074059226939e-06,1.099664725086962e-05,26.486487839085857,49.516083815855495,20.0,3.1579194707809233e-06,5.001115111993859e-06,1.9422229555554962e-06,1.0101257538330279e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.8161506652832,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_1,2026-09-04T13:13:24,mbpo_HalfCheetah-v5_seed0,ff2f99fb-28b0-4f7e-8c17-8cebb440f9fc,0.018351121001614956,9.065898165755253e-08,4.938031887366998e-06,26.244402301156732,44.564475434269944,20.0,1.4973928645634071e-07,0.0,8.824202777767826e-08,2.3798131423401897e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.8161506652832,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-04T13:13:33,mbpo_HalfCheetah-v5_seed0,ff2f99fb-28b0-4f7e-8c17-8cebb440f9fc,8.302817833000518,8.34540912698729e-05,1.0051309352460595e-05,26.103520660296326,44.62639764030512,20.0,6.859668098842253e-05,0.0001043473057000116,4.6124372072224844e-05,0.00021906835876065855,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.8161506652832,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_2,2026-09-04T13:13:38,mbpo_HalfCheetah-v5_seed0,ff2f99fb-28b0-4f7e-8c17-8cebb440f9fc,5.027205738999328,5.172827186879724e-05,1.0289676058247664e-05,26.432850954499354,44.702249551605604,20.0,4.429986571763411e-05,6.356838418800081e-05,2.791931242222237e-05,0.00013578756232785708,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.8161506652832,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-04T13:13:38,mbpo_HalfCheetah-v5_seed0,ff2f99fb-28b0-4f7e-8c17-8cebb440f9fc,0.34871524300069723,3.841246613023926e-06,1.1015486113899295e-05,26.879428212965642,45.230780787060546,20.0,3.158953916046481e-06,4.989726213988632e-06,1.934655249998451e-06,1.0083335380033781e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.8161506652832,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_2,2026-09-04T13:13:38,mbpo_HalfCheetah-v5_seed0,ff2f99fb-28b0-4f7e-8c17-8cebb440f9fc,0.018226270998638938,9.338907788845191e-08,5.121762643439256e-06,26.658034034995342,42.000010730841936,20.0,1.464840060777517e-07,0.0,9.86638555534533e-08,2.45147861631205e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.8161506652832,machine,0.0,0.0,0.0,0.0,N
