task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-13T02:32:48,mbpo_HalfCheetah-v5_seed14577,7a362322-93d9-4e23-b0e9-245aefaabb8b,90.00327986699995,0.0005941247080327713,6.601144740798799e-06,16.27765864999211,12.740866572264247,20.0,0.00038367102999213587,0.0006588227492799748,0.0005170933267333264,0.0015595871060054371,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-13T02:32:49,mbpo_HalfCheetah-v5_seed14577,7a362322-93d9-4e23-b0e9-245aefaabb8b,0.1497381650005991,2.044914627581662e-06,1.365459688304819e-05,23.206180136550973,32.364275472885474,20.0,1.5642945847688106e-06,2.9736134899982503e-06,8.300263722250999e-07,5.367934446992052e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_0,2026-09-13T02:33:12,mbpo_HalfCheetah-v5_seed14577,7a362322-93d9-4e23-b0e9-245aefaabb8b,23.31006491899825,0.0002803882030835709,1.2028638596568365e-05,26.543877486565847,41.46251635592691,20.0,0.0001613266204500835,0.00044519868949199903,0.00012949832329999889,0.0007360236332420813,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-13T02:33:13,mbpo_HalfCheetah-v5_seed14577,7a362322-93d9-4e23-b0e9-245aefaabb8b,0.22791711000172654,2.563786867278606e-06,1.1249115587825818e-05,27.701651107929035,43.92160495809834,20.0,2.0648158185129772e-06,3.4005582760232578e-06,1.2646084944612597e-06,6.729982588997603e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_0,2026-09-13T02:33:13,mbpo_HalfCheetah-v5_seed14577,7a362322-93d9-4e23-b0e9-245aefaabb8b,0.017666435000137426,9.164775494345696e-08,5.187708217800048e-06,27.501447894089623,36.601337465081954,20.0,1.4483956031763334e-07,0.0,9.573730001442241e-08,2.4057686033194733e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-13T02:33:17,mbpo_HalfCheetah-v5_seed14577,7a362322-93d9-4e23-b0e9-245aefaabb8b,3.9790143110003555,4.784695640724327e-05,1.2024839788302116e-05,27.292282547797893,41.22724650647844,20.0,2.725642180512189e-05,7.623922765792601e-05,2.2103396100000227e-05,0.00012559904556304824,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_1,2026-09-13T02:33:21,mbpo_HalfCheetah-v5_seed14577,7a362322-93d9-4e23-b0e9-245aefaabb8b,4.79619364699829,5.649219776720561e-05,1.1778501775965586e-05,26.88645915728612,44.78245813723379,20.0,2.8838365570674207e-05,9.281146313805388e-05,2.6643117261098965e-05,0.00014829294596982717,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-13T02:33:22,mbpo_HalfCheetah-v5_seed14577,7a362322-93d9-4e23-b0e9-245aefaabb8b,0.20471309399727033,2.376068602191533e-06,1.1606244542829832e-05,26.71998491958839,46.920133614121795,20.0,1.4589750560733972e-06,3.641114023955616e-06,1.1371299833424619e-06,6.237219063371692e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_1,2026-09-13T02:33:22,mbpo_HalfCheetah-v5_seed14577,7a362322-93d9-4e23-b0e9-245aefaabb8b,0.005790728002466494,2.4920778830079746e-08,4.296284525076219e-06,25.826564015169634,42.228120252709616,20.0,3.884197551790036e-08,0.0,2.6575477770338952e-08,6.54174532881309e-08,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-13T02:33:26,mbpo_HalfCheetah-v5_seed14577,7a362322-93d9-4e23-b0e9-245aefaabb8b,3.92145038200033,4.817535528048723e-05,1.2285111452605942e-05,25.277848330296273,44.779206366225665,20.0,2.812388222131479e-05,7.655506124404354e-05,2.178215452778307e-05,0.0001264610979931414,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
