task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-14T14:11:23,mbpo_HalfCheetah-v5_seed14577,79335761-250b-47f8-b39b-014786c93ea0,90.00319267599843,0.0006088086491557785,6.76429992732515e-06,7.740299182248037,12.591681427327472,20.0,0.00042981854579900863,0.0006511710764920131,0.0005171430700722238,0.0015981326923632457,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-14T14:11:23,mbpo_HalfCheetah-v5_seed14577,79335761-250b-47f8-b39b-014786c93ea0,0.15008660900093673,2.103672382870996e-06,1.4015505901211524e-05,18.164846747903546,32.72039820949884,20.0,1.6510660430721358e-06,3.0388913200007917e-06,8.322171555543703e-07,5.522174518627189e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_0,2026-09-14T14:11:47,mbpo_HalfCheetah-v5_seed14577,79335761-250b-47f8-b39b-014786c93ea0,23.41377274900151,0.0002844267564341931,1.2147846130753957e-05,23.233321047670575,41.93717216761923,20.0,0.0001639705058985308,0.00045257980650798,0.00013007458963888393,0.0007466249020453947,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-14T14:11:47,mbpo_HalfCheetah-v5_seed14577,79335761-250b-47f8-b39b-014786c93ea0,0.23612560899891832,2.6272562832373083e-06,1.1126664216249522e-05,24.867744795105466,44.26252857342971,20.0,2.0772938840590838e-06,3.5094472520258435e-06,1.309849711105958e-06,6.896590847190777e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_0,2026-09-14T14:11:47,mbpo_HalfCheetah-v5_seed14577,79335761-250b-47f8-b39b-014786c93ea0,0.01858261200140987,7.51205309950688e-07,4.042967474004855e-05,25.028709453466707,93.2497657887788,20.0,1.489765080603389e-07,1.7216680439913201e-06,1.0128171110818096e-07,1.97192626315984e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-14T14:11:55,mbpo_HalfCheetah-v5_seed14577,79335761-250b-47f8-b39b-014786c93ea0,8.045069974999933,0.00012080006039105913,1.5015420047584698e-05,25.139063180031496,93.6949881428158,20.0,5.7094812620263335e-05,0.00021531989447798328,4.468743331666094e-05,0.00031710214041490766,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_1,2026-09-14T14:11:59,mbpo_HalfCheetah-v5_seed14577,79335761-250b-47f8-b39b-014786c93ea0,4.429159307999726,5.4088452877551095e-05,1.2211855930603223e-05,25.17454476491729,90.79005832362733,20.0,3.070391872978667e-05,8.667534711800928e-05,2.4603810350001614e-05,0.00014198307619779768,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-14T14:12:00,mbpo_HalfCheetah-v5_seed14577,79335761-250b-47f8-b39b-014786c93ea0,0.20102946999941196,2.5073595908615444e-06,1.2472108619045978e-05,25.942897202955905,87.99082674891844,20.0,1.8099606146348979e-06,3.657225148001597e-06,1.1146743000002525e-06,6.581860062636856e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_1,2026-09-14T14:12:00,mbpo_HalfCheetah-v5_seed14577,79335761-250b-47f8-b39b-014786c93ea0,0.005600084999969113,2.6137438286855455e-08,4.658927933147189e-06,25.244978765149583,79.19174407402659,20.0,4.0130587658504524e-08,0.0,2.8480616664529335e-08,6.861120432303386e-08,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-14T14:12:08,mbpo_HalfCheetah-v5_seed14577,79335761-250b-47f8-b39b-014786c93ea0,8.389528857998812,0.00012465298016654412,1.4858177724815232e-05,24.742984857910642,80.59356861361029,20.0,6.0133832551469146e-05,0.00022047628749199966,4.660599799444752e-05,0.0003272161180379162,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
