task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-14T17:54:54,mbpo_HalfCheetah-v5_seed14577,29423945-e60c-48eb-bcf0-6401f3d8e03a,90.00352550200114,0.0006055030553075702,6.727547923460808e-06,11.43277616097576,12.587024253534441,20.0,0.0004213875709986742,0.0006509271874080569,0.00051714069587223,0.001589455454278961,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-14T17:54:54,mbpo_HalfCheetah-v5_seed14577,29423945-e60c-48eb-bcf0-6401f3d8e03a,0.15271589599797153,2.128588816137887e-06,1.3937212104844272e-05,20.75674607298161,32.33546341118108,20.0,1.6964352460430154e-06,3.0441691020177686e-06,8.469762166795269e-07,5.587580564740419e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_0,2026-09-14T17:55:15,mbpo_HalfCheetah-v5_seed14577,29423945-e60c-48eb-bcf0-6401f3d8e03a,20.625431565000326,0.0002609779641943574,1.2653215921984721e-05,25.295110956023496,41.88952568548925,20.0,0.00016628351386004103,0.00040420449002998016,0.00011458343381665244,0.0006850714377066738,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-14T17:55:15,mbpo_HalfCheetah-v5_seed14577,29423945-e60c-48eb-bcf0-6401f3d8e03a,0.2376799560006475,2.708202243555482e-06,1.1394615189079169e-05,26.799881168363214,44.43990803590418,20.0,2.185834526435837e-06,3.60444732794285e-06,1.3187934666752206e-06,7.109075321054016e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_0,2026-09-14T17:55:15,mbpo_HalfCheetah-v5_seed14577,29423945-e60c-48eb-bcf0-6401f3d8e03a,0.01850679600102012,7.764373104314319e-07,4.1955045229577666e-05,26.90892406626111,96.16159391710949,20.0,1.562837361329672e-07,1.781945870027446e-06,9.993107222630322e-08,2.038160678386608e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-14T17:55:32,mbpo_HalfCheetah-v5_seed14577,29423945-e60c-48eb-bcf0-6401f3d8e03a,16.665952965999168,0.0002483624061402538,1.4902387863358676e-05,26.972141598888125,96.01270249383549,20.0,0.00011902928077889285,0.0004403397967160383,9.258631334442828e-05,0.0006519553908393592,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_1,2026-09-14T17:55:37,mbpo_HalfCheetah-v5_seed14577,29423945-e60c-48eb-bcf0-6401f3d8e03a,4.898346792997472,5.866422537147034e-05,1.1976280592046914e-05,26.717510077568846,92.9278508068999,20.0,2.973129128501506e-05,9.705285541994346e-05,2.7210407361114193e-05,0.00015399455406607272,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-14T17:55:37,mbpo_HalfCheetah-v5_seed14577,29423945-e60c-48eb-bcf0-6401f3d8e03a,0.20630868499938515,2.4242647986528424e-06,1.1750922916827955e-05,26.624897200652292,89.82516687830642,20.0,1.4977492537593395e-06,3.721391866051693e-06,1.1445937499956907e-06,6.363734869806615e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_1,2026-09-14T17:55:37,mbpo_HalfCheetah-v5_seed14577,29423945-e60c-48eb-bcf0-6401f3d8e03a,0.006383325999195222,7.115487270046173e-07,0.00011127979694931931,26.32183772467505,203.21748503317966,20.0,5.53725442997699e-08,1.7836125379977474e-06,2.8842000008568944e-08,1.8678270823063031e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-14T17:55:53,mbpo_HalfCheetah-v5_seed14577,29423945-e60c-48eb-bcf0-6401f3d8e03a,15.7996435999994,0.00024133744896848186,1.5274878371219086e-05,26.087822534047064,193.67950904259212,20.0,0.00011433478674553743,0.00043140673401398377,8.777324225001299e-05,0.000633514763009534,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
