task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-15T15:32:42,mbpo_HalfCheetah-v5_seed14577,557413ef-a0e5-4bdb-bfd9-a1aa9c8ab5be,90.00276321001002,0.0005875232772639974,6.527835516207702e-06,10.809878816215301,12.239705432258068,20.0,0.00039249093399249674,0.0006327791173339481,0.0005169881906055606,0.0015422582419320054,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-15T15:32:42,mbpo_HalfCheetah-v5_seed14577,557413ef-a0e5-4bdb-bfd9-a1aa9c8ab5be,0.1498880309954984,2.062817625620686e-06,1.3760687108573918e-05,19.460650789344097,32.41516485492297,20.0,1.552612908756884e-06,3.030002424075917e-06,8.323147777344582e-07,5.414930110567368e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_0,2026-09-15T15:33:06,mbpo_HalfCheetah-v5_seed14577,557413ef-a0e5-4bdb-bfd9-a1aa9c8ab5be,23.238430241006427,0.0002803487439172807,1.206402227874941e-05,23.66368071590706,41.558547567948935,20.0,0.00016149485669578537,0.0004453248007041388,0.00012910039488326426,0.0007359200522831883,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-15T15:33:06,mbpo_HalfCheetah-v5_seed14577,557413ef-a0e5-4bdb-bfd9-a1aa9c8ab5be,0.23768605300574563,2.664952866415966e-06,1.1212447860323257e-05,25.432297878977757,43.89482749297902,20.0,2.1640822868151943e-06,3.512502809721596e-06,1.3189598999613188e-06,6.995544996498109e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_0,2026-09-15T15:33:06,mbpo_HalfCheetah-v5_seed14577,557413ef-a0e5-4bdb-bfd9-a1aa9c8ab5be,0.018467107001924887,9.738718701303786e-08,5.273772249027359e-06,25.76372015172791,36.579022910815844,20.0,1.5594456919884592e-07,0.0,9.969839447879127e-08,2.556429636777456e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-15T15:33:10,mbpo_HalfCheetah-v5_seed14577,557413ef-a0e5-4bdb-bfd9-a1aa9c8ab5be,4.145145395988948,7.172039629187751e-05,1.7302284686845717e-05,25.88408443112382,48.51075661058747,20.0,2.690611430265083e-05,0.00013832649955025644,2.3034603083376868e-05,0.00018826721693628425,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_1,2026-09-15T15:33:15,mbpo_HalfCheetah-v5_seed14577,557413ef-a0e5-4bdb-bfd9-a1aa9c8ab5be,4.458734774991171,5.353662373333665e-05,1.200707089488255e-05,25.530415457781125,51.395089600543095,20.0,2.711332835731231e-05,8.865312647787782e-05,2.4768060805541257e-05,0.0001405345156407314,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-15T15:33:15,mbpo_HalfCheetah-v5_seed14577,557413ef-a0e5-4bdb-bfd9-a1aa9c8ab5be,0.21184956000070088,2.408053668922572e-06,1.1366511605715206e-05,25.64355815371633,52.425576446033695,20.0,1.5772815395997952e-06,3.5680584098418677e-06,1.1758404388577913e-06,6.321180388299454e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_1,2026-09-15T15:33:15,mbpo_HalfCheetah-v5_seed14577,557413ef-a0e5-4bdb-bfd9-a1aa9c8ab5be,0.005564179999055341,2.7439682809791976e-08,4.924363808331352e-06,25.09746788459786,47.18301880143032,20.0,4.282642315084351e-08,0.0,2.9203194410213837e-08,7.20296175608405e-08,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-15T15:33:19,mbpo_HalfCheetah-v5_seed14577,557413ef-a0e5-4bdb-bfd9-a1aa9c8ab5be,4.088432880002074,7.28773650069273e-05,1.782529292443164e-05,24.749718364581884,54.06165604536364,20.0,2.9121974964230884e-05,0.00013947566713623516,2.2706636694460442e-05,0.0001913042787949266,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
