task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-12T22:55:36,mbpo_HalfCheetah-v5_seed331,b87b9fed-a581-4589-8e41-f909e68a6a33,90.00317477099998,0.000610200686439647,6.7797681803845285e-06,13.142012373449916,13.041220242716784,20.0,0.0004102465890303414,0.000674406372857983,0.0005171338511833305,0.001601786813071655,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-12T22:55:37,mbpo_HalfCheetah-v5_seed331,b87b9fed-a581-4589-8e41-f909e68a6a33,0.15163663200110022,1.502968377534858e-06,9.91007167490384e-06,21.076554346884297,20.75909836314591,20.0,1.5785529295098133e-06,1.5247234419757394e-06,8.420402777725754e-07,3.94531664925802e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_0,2026-09-12T22:55:56,mbpo_HalfCheetah-v5_seed331,b87b9fed-a581-4589-8e41-f909e68a6a33,19.469397887000014,0.00024194640885408204,1.2427021379072662e-05,24.903390603425095,33.50028014876371,20.0,0.00013906267930560712,0.0003878891991999922,0.00010816141419444541,0.0006351132927000446,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-12T22:55:56,mbpo_HalfCheetah-v5_seed331,b87b9fed-a581-4589-8e41-f909e68a6a33,0.2363918580012978,3.179739108860125e-06,1.3451609426951751e-05,24.984709217694746,43.147266395381294,20.0,1.6758530073518463e-06,5.360004287996434e-06,1.311010033330437e-06,8.346867328678717e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_0,2026-09-12T22:55:56,mbpo_HalfCheetah-v5_seed331,b87b9fed-a581-4589-8e41-f909e68a6a33,0.030399528000998544,1.3616098100605913e-07,4.478766749433565e-06,24.4989791191973,35.95605532948441,20.0,1.9880460348786766e-07,0.0,1.5862020555791178e-07,3.5742480904588786e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-12T22:56:01,mbpo_HalfCheetah-v5_seed331,b87b9fed-a581-4589-8e41-f909e68a6a33,4.198143585999787,4.898099916782119e-05,1.166733607364055e-05,24.262246334660535,40.008496921263436,20.0,3.0249953644385236e-05,7.500506000401863e-05,2.3320912766666897e-05,0.00012857592641507066,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_1,2026-09-12T22:56:03,mbpo_HalfCheetah-v5_seed331,b87b9fed-a581-4589-8e41-f909e68a6a33,2.396827286000189,3.1023458520661575e-05,1.2943436132472404e-05,24.62344360839815,44.10149496775903,20.0,1.972318772298226e-05,4.84069831699907e-05,1.3306916705561108e-05,8.143708759853407e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-12T22:56:03,mbpo_HalfCheetah-v5_seed331,b87b9fed-a581-4589-8e41-f909e68a6a33,0.19853556399903027,2.5050428856408704e-06,1.2617061716910502e-05,25.561879824652845,46.52169521864543,20.0,1.8423598072206393e-06,3.6313917939900797e-06,1.1020270722130734e-06,6.575778673423901e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_1,2026-09-12T22:56:03,mbpo_HalfCheetah-v5_seed331,b87b9fed-a581-4589-8e41-f909e68a6a33,0.004634065999198356,2.5005735457966916e-08,5.383746250299304e-06,25.20274824873173,41.86952569678088,20.0,4.062225471973546e-08,0.0,2.501821111053088e-08,6.564046583015792e-08,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-12T22:56:07,mbpo_HalfCheetah-v5_seed331,b87b9fed-a581-4589-8e41-f909e68a6a33,4.153465157000028,4.883429899750979e-05,1.1757501473914973e-05,24.97815870629885,44.00179729349698,20.0,2.975648519406085e-05,7.536172695601917e-05,2.3072623911108824e-05,0.00012819083606118884,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
