task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-13T01:30:32,mbpo_HalfCheetah-v5_seed331,c6ccdd70-1a99-402a-a1bd-158f52b04559,90.00325061699914,0.0005950848802102134,6.611815014673971e-06,14.063610284120017,12.627064999017252,20.0,0.0003920354427947685,0.0006529608001460407,0.0005171113307833366,0.001562107573724146,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-13T01:30:33,mbpo_HalfCheetah-v5_seed331,c6ccdd70-1a99-402a-a1bd-158f52b04559,0.15360528000019258,1.4895039693261494e-06,9.695726516032752e-06,21.518775073883187,19.986599509275663,20.0,1.5762809832450125e-06,1.4808345180084004e-06,8.528568555549046e-07,3.909972356808426e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_0,2026-09-13T01:30:59,mbpo_HalfCheetah-v5_seed331,c6ccdd70-1a99-402a-a1bd-158f52b04559,26.362670086000435,0.00029568839672974097,1.1216188633473037e-05,25.075591746803198,31.991701289311273,20.0,0.00013172345204534412,0.0004980065095160913,0.0001464569310222133,0.0007761868925836488,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-13T01:31:00,mbpo_HalfCheetah-v5_seed331,c6ccdd70-1a99-402a-a1bd-158f52b04559,0.2415224850010418,3.1950101913294417e-06,1.322857195380048e-05,25.020055677324834,41.61355440147274,20.0,1.677378841900834e-06,5.369448739911409e-06,1.3401265888913442e-06,8.38695417070337e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_0,2026-09-13T01:31:00,mbpo_HalfCheetah-v5_seed331,c6ccdd70-1a99-402a-a1bd-158f52b04559,0.017754012002114905,9.220214328424688e-08,5.193149598970336e-06,25.261779142468924,34.677962001227286,20.0,1.4573817214667828e-07,0.0,9.629396667553986e-08,2.420321388221097e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-13T01:31:04,mbpo_HalfCheetah-v5_seed331,c6ccdd70-1a99-402a-a1bd-158f52b04559,3.9677183989988407,4.797825206864098e-05,1.2092163323306875e-05,25.40769310434845,39.51626988236813,20.0,2.8363105746021314e-05,7.554033821005612e-05,2.20402548722228e-05,0.00012594369882830024,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_1,2026-09-13T01:31:08,mbpo_HalfCheetah-v5_seed331,c6ccdd70-1a99-402a-a1bd-158f52b04559,4.161684289996629,5.0028882332213615e-05,1.202124556260946e-05,25.4250222728232,43.17221953789866,20.0,2.873587743312811e-05,7.947561913596024e-05,2.311514034445284e-05,0.0001313266369135412,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-13T01:31:08,mbpo_HalfCheetah-v5_seed331,c6ccdd70-1a99-402a-a1bd-158f52b04559,0.19875262200002908,2.4969226862002827e-06,1.256270932524805e-05,26.13949460185737,45.77550328311284,20.0,1.7766116990666075e-06,3.674725162050585e-06,1.103126155552062e-06,6.554463016669471e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_1,2026-09-13T01:31:08,mbpo_HalfCheetah-v5_seed331,c6ccdd70-1a99-402a-a1bd-158f52b04559,0.005114104998938274,2.4375922580551976e-08,4.7559861846981344e-06,25.417928456149586,41.19795295480156,20.0,3.7519474461317204e-08,0.0,2.6467722232664803e-08,6.398719669398201e-08,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-13T01:31:12,mbpo_HalfCheetah-v5_seed331,c6ccdd70-1a99-402a-a1bd-158f52b04559,3.9529770059998555,4.8601011317360356e-05,1.2294815205048856e-05,24.980341273445802,43.86492531824918,20.0,2.817515170676875e-05,7.744450639995959e-05,2.1958793966668e-05,0.00012757845207339623,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_2,2026-09-13T01:31:13,mbpo_HalfCheetah-v5_seed331,c6ccdd70-1a99-402a-a1bd-158f52b04559,1.2254315060017689,1.4270126733069823e-05,1.1644970158012552e-05,24.876970925073294,45.89281164466294,20.0,7.4442584554017255e-06,2.3209185234074337e-05,6.805873105561943e-06,3.745931679503822e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
