task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-14T12:52:16,mbpo_HalfCheetah-v5_seed331,d4377698-c525-401d-bfba-b9af60c9be9d,90.00393308500043,0.0006552513952188088,7.280252635591302e-06,6.745028962226565,14.861462356906067,20.0,0.00043299491111787464,0.0007693620043780006,0.0005176887472388899,0.0017200456627347652,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-14T12:52:16,mbpo_HalfCheetah-v5_seed331,d4377698-c525-401d-bfba-b9af60c9be9d,0.16525936199923308,2.1635443143571634e-06,1.3090430626272124e-05,16.77324517468959,32.06248450441334,20.0,1.7135422041673898e-06,3.048891327999542e-06,9.169057888912691e-07,5.679339321058201e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_0,2026-09-14T12:52:37,mbpo_HalfCheetah-v5_seed331,d4377698-c525-401d-bfba-b9af60c9be9d,20.20521109800029,0.00025764428523753933,1.2751384608222883e-05,21.667170135648682,42.48839494805374,20.0,0.0001500625681055169,0.00041400922009600036,0.00011224868754999688,0.0006763204757515141,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-14T12:52:37,mbpo_HalfCheetah-v5_seed331,d4377698-c525-401d-bfba-b9af60c9be9d,0.2575418879996505,2.516448036044721e-06,9.771269812637615e-06,22.21774965156247,43.55081371653365,20.0,1.7604375194615884e-06,3.41639162200133e-06,1.4288882388882986e-06,6.605717380351109e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_0,2026-09-14T12:52:37,mbpo_HalfCheetah-v5_seed331,d4377698-c525-401d-bfba-b9af60c9be9d,0.028060982000170043,7.681115469222559e-07,2.7375836425231805e-05,22.383754786098113,72.44281956501824,20.0,1.9405737746933105e-07,1.6688902239984926e-06,1.5335781111181813e-07,2.0163054125798587e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-14T12:52:46,mbpo_HalfCheetah-v5_seed331,d4377698-c525-401d-bfba-b9af60c9be9d,8.899925757000346,0.00013097305715834722,1.471621272103434e-05,22.501104621939835,75.79847827959627,20.0,5.72113385468101e-05,0.00023715380083400017,4.94412844499998e-05,0.0003438064238308102,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_1,2026-09-14T12:52:48,mbpo_HalfCheetah-v5_seed331,d4377698-c525-401d-bfba-b9af60c9be9d,2.3129860050003117,2.9058156060530593e-05,1.2562919316299087e-05,22.64406103973605,75.5836243959833,20.0,1.5858228242130595e-05,4.7575871393999714e-05,1.2844036761114471e-05,7.6278136397245e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-14T12:52:48,mbpo_HalfCheetah-v5_seed331,d4377698-c525-401d-bfba-b9af60c9be9d,0.22178176899979007,2.451484901473894e-06,1.1053812601937818e-05,22.832564257866593,73.85244413603317,20.0,1.5131437105138368e-06,3.691947398000439e-06,1.2300969777799325e-06,6.435188086294317e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_1,2026-09-14T12:52:48,mbpo_HalfCheetah-v5_seed331,d4377698-c525-401d-bfba-b9af60c9be9d,0.0055908230006025406,2.824150271865493e-08,5.036269862864913e-06,22.645268878059465,66.46719972242985,20.0,4.469114686656006e-08,0.0,2.9443261109914597e-08,7.413440797658308e-08,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-14T12:52:57,mbpo_HalfCheetah-v5_seed331,d4377698-c525-401d-bfba-b9af60c9be9d,8.391798705999463,0.0001262881766161076,1.5049019718704464e-05,22.52027656182199,69.37554916387477,20.0,5.539013736763007e-05,0.00022950046137799884,4.661793680000095e-05,0.00033150853554562987,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
