task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-08T19:14:57,mbpo_HalfCheetah-v5_seed42,a6a460b6-236b-4e79-a700-a23e2184f6fe,90.00343060999876,0.0006423014967289404,7.136410780852067e-06,13.98318390630657,14.540604531232487,20.0,0.0004172939330015467,0.0007517547680700454,0.0005170032656666687,0.0016860519667382607,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-08T19:14:57,mbpo_HalfCheetah-v5_seed42,a6a460b6-236b-4e79-a700-a23e2184f6fe,0.15126354099993478,2.148383561051295e-06,1.4201065725667174e-05,21.47325046473233,35.413543934544094,20.0,1.5552579108717851e-06,3.243891484039363e-06,8.403926999865684e-07,5.639542094897825e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_0,2026-09-08T19:15:07,mbpo_HalfCheetah-v5_seed42,a6a460b6-236b-4e79-a700-a23e2184f6fe,9.905588929999794,0.0001227035687784892,1.2387327242802802e-05,24.937198237644658,44.522427009726755,20.0,6.938032022643474e-05,0.00019768988037399682,5.502868056110957e-05,0.00032209888116154135,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-08T19:15:08,mbpo_HalfCheetah-v5_seed42,a6a460b6-236b-4e79-a700-a23e2184f6fe,0.23753781599953072,2.692387137568958e-06,1.1334681821630119e-05,26.394330906928865,46.5042649443045,20.0,2.1498578309953748e-06,3.596669544025932e-06,1.3210330333499097e-06,7.067560408371108e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_0,2026-09-08T19:15:08,mbpo_HalfCheetah-v5_seed42,a6a460b6-236b-4e79-a700-a23e2184f6fe,0.029950821000966243,8.321304666831196e-07,2.7789176495127342e-05,26.00352605682728,75.30929139669895,20.0,2.1438544928545356e-07,1.805834777990345e-06,1.6413589999295358e-07,2.1843561272688605e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-08T19:15:12,mbpo_HalfCheetah-v5_seed42,a6a460b6-236b-4e79-a700-a23e2184f6fe,4.0188820980001765,6.200002281782151e-05,1.542721651397733e-05,25.789582365073446,78.75860039299614,20.0,2.9410196028138713e-05,0.00011101619992398559,2.2324681138888997e-05,0.0001627510770910133,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_1,2026-09-08T19:15:32,mbpo_HalfCheetah-v5_seed42,a6a460b6-236b-4e79-a700-a23e2184f6fe,20.237465448000876,0.00025187529027081285,1.2445976263781593e-05,25.848727090377672,78.00493357740648,20.0,0.00013990889637147293,0.000408840327072002,0.00011242754587221702,0.0006611767693156922,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-08T19:15:32,mbpo_HalfCheetah-v5_seed42,a6a460b6-236b-4e79-a700-a23e2184f6fe,0.20699805800177273,2.5948930292730033e-06,1.253542171591466e-05,26.55983844947558,76.66555469193618,20.0,1.872623164764567e-06,3.790003032022593e-06,1.149010577783968e-06,6.811636774571236e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_1,2026-09-08T19:15:32,mbpo_HalfCheetah-v5_seed42,a6a460b6-236b-4e79-a700-a23e2184f6fe,0.005503358999703778,2.6614716067303867e-08,4.826958722387978e-06,25.873027427376105,68.99899922274257,20.0,4.124947744488239e-08,0.0,2.861458888218059e-08,6.986406632727982e-08,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-08T19:15:36,mbpo_HalfCheetah-v5_seed42,a6a460b6-236b-4e79-a700-a23e2184f6fe,3.9909783080001944,6.164781296238292e-05,1.544682226384649e-05,25.44690260824817,71.84486355796874,20.0,2.8469188330888795e-05,0.00011118758895001246,2.2169743161106815e-05,0.00016182652044200796,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_2,2026-09-08T19:15:41,mbpo_HalfCheetah-v5_seed42,a6a460b6-236b-4e79-a700-a23e2184f6fe,5.211080635999679,6.449652504514174e-05,1.2376819231290925e-05,25.415477477170388,72.09766897454246,20.0,3.197617752536547e-05,0.00010838036448196364,2.8947894388895497e-05,0.0001693044363962246,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-08T19:15:41,mbpo_HalfCheetah-v5_seed42,a6a460b6-236b-4e79-a700-a23e2184f6fe,0.21758355199926882,2.4501283750247814e-06,1.1260357400694496e-05,25.400023869481327,71.22322659586479,20.0,1.5426606785710895e-06,3.678058497991188e-06,1.2109080055476736e-06,6.431627182109951e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_2,2026-09-08T19:15:41,mbpo_HalfCheetah-v5_seed42,a6a460b6-236b-4e79-a700-a23e2184f6fe,0.005768907998572104,2.6903342442491027e-08,4.653831260698238e-06,24.88510306724209,66.13585326758873,20.0,3.996086530080878e-08,0.0,3.0660849996725845e-08,7.062171529731778e-08,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-08T19:15:45,mbpo_HalfCheetah-v5_seed42,a6a460b6-236b-4e79-a700-a23e2184f6fe,3.9890632850001566,6.246920906693943e-05,1.5660154702308414e-05,24.581641419433808,68.47543545742805,20.0,2.966620401072262e-05,0.0001121578675040702,2.215862717778994e-05,0.00016398269869258297,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
