task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-13T03:02:23,mbpo_HalfCheetah-v5_seed43611,98ba4225-a659-4644-bfc4-2d7cb88fd259,90.0030646799969,0.0006068700355574266,6.742770424880883e-06,6.1068156285166335,12.923426200997804,20.0,0.00040806089005956253,0.0006680522011079937,0.0005169307086944375,0.0015930437998619938,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-13T03:02:23,mbpo_HalfCheetah-v5_seed43611,98ba4225-a659-4644-bfc4-2d7cb88fd259,0.15223783499823185,2.066826204995915e-06,1.3574060911968307e-05,16.488091412670858,32.11267293776093,20.0,1.5979146116631981e-06,2.98194682996078e-06,8.455912555695383e-07,5.425452697193625e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_0,2026-09-13T03:02:47,mbpo_HalfCheetah-v5_seed43611,98ba4225-a659-4644-bfc4-2d7cb88fd259,24.223472591002064,0.0002828637655627116,1.167726778305159e-05,21.52220349868708,41.27259575163727,20.0,0.00014533945571591766,0.0004626100923099674,0.0001345724773388914,0.0007425220253647763,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-13T03:02:48,mbpo_HalfCheetah-v5_seed43611,98ba4225-a659-4644-bfc4-2d7cb88fd259,0.23519340900020325,2.4466624752717122e-06,1.0402903462971976e-05,22.18172323574781,43.68645188775528,20.0,1.6351968637126624e-06,3.4822250080113193e-06,1.305107266671296e-06,6.422529138395278e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_0,2026-09-13T03:02:48,mbpo_HalfCheetah-v5_seed43611,98ba4225-a659-4644-bfc4-2d7cb88fd259,0.01782191500024055,7.49880389487958e-07,4.207873544993366e-05,22.746642062501323,95.71791333340026,20.0,1.4143177980846522e-07,1.7302791620599223e-06,9.673738333938666e-08,1.9684483252078826e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-13T03:02:52,mbpo_HalfCheetah-v5_seed43611,98ba4225-a659-4644-bfc4-2d7cb88fd259,4.044610322001972,4.71535188118898e-05,1.1658376413107538e-05,23.05037659293137,91.7709654891756,20.0,2.4817902076527953e-05,7.649283897193104e-05,2.2468019450004964e-05,0.00012377876049846385,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_1,2026-09-13T03:02:56,mbpo_HalfCheetah-v5_seed43611,98ba4225-a659-4644-bfc4-2d7cb88fd259,4.697237841999595,5.490422055319348e-05,1.1688560346049008e-05,22.901420364362554,88.98425734985803,20.0,2.738318829542674e-05,9.064757251803224e-05,2.609371891667254e-05,0.0001441244797301313,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-13T03:02:57,mbpo_HalfCheetah-v5_seed43611,98ba4225-a659-4644-bfc4-2d7cb88fd259,0.2127457790011249,2.3792979744682863e-06,1.118321886137063e-05,23.03461873698944,85.92119255299232,20.0,1.4380025392876639e-06,3.6269473459582535e-06,1.1807463333349082e-06,6.2456962185808255e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_1,2026-09-13T03:02:57,mbpo_HalfCheetah-v5_seed43611,98ba4225-a659-4644-bfc4-2d7cb88fd259,0.005161978002433898,2.7036631831999294e-08,5.223455508041517e-06,22.938869877800027,77.3290732976931,20.0,4.431809100952089e-08,0.0,2.665351112225451e-08,7.097160213166698e-08,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-13T03:03:01,mbpo_HalfCheetah-v5_seed43611,98ba4225-a659-4644-bfc4-2d7cb88fd259,3.9183942310010025,4.83762290221536e-05,1.234596291556077e-05,22.946928750194907,76.734171332089,20.0,2.8181865601030476e-05,7.70397838540382e-05,2.1766745405552164e-05,0.00012698839486062095,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
