task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-14T18:47:21,mbpo_HalfCheetah-v5_seed43611,7546f751-0a31-4910-a393-a764789b396c,90.00326300000233,0.0006261190059846983,6.956625298137942e-06,9.910874108225224,13.681699911532625,20.0,0.00041848265839697016,0.0007077752884420141,0.0005173147161999926,0.0016435726630389768,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-14T18:47:22,mbpo_HalfCheetah-v5_seed43611,7546f751-0a31-4910-a393-a764789b396c,0.1527247289996012,1.562499979669194e-06,1.023002310154984e-05,19.599163137206546,21.5210580464956,20.0,1.6782943981913379e-06,1.5763901500265298e-06,8.469035333392777e-07,4.101588081557037e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_0,2026-09-14T18:47:47,mbpo_HalfCheetah-v5_seed43611,7546f751-0a31-4910-a393-a764789b396c,25.14160816399817,0.00030394431779775263,1.208929792216439e-05,24.29692195295191,33.76384615024668,20.0,0.00016588938021139948,0.0004922959493919854,0.0001396734912333462,0.0007978588208367311,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-14T18:47:47,mbpo_HalfCheetah-v5_seed43611,7546f751-0a31-4910-a393-a764789b396c,0.2386760690023948,2.6602489986527833e-06,1.114614928903141e-05,25.906017218423493,37.57522423045577,20.0,2.1619461740042534e-06,3.497502797988883e-06,1.3237482944532166e-06,6.98319726644657e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_0,2026-09-14T18:47:47,mbpo_HalfCheetah-v5_seed43611,7546f751-0a31-4910-a393-a764789b396c,0.018527606000134256,9.72592679883812e-08,5.24983616379175e-06,26.12652830128997,31.31268685871314,20.0,1.551815130354517e-07,0.0,1.0012566110364964e-07,2.5530717413920975e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-14T18:48:03,mbpo_HalfCheetah-v5_seed43611,7546f751-0a31-4910-a393-a764789b396c,15.974765312999807,0.0002414456242559428,1.5114193479848374e-05,26.260765731957296,40.869011196115004,20.0,0.00010927554075369772,0.00043577701528796364,8.874616887221949e-05,0.0006337987249138807,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_1,2026-09-14T18:48:07,mbpo_HalfCheetah-v5_seed43611,7546f751-0a31-4910-a393-a764789b396c,3.9074757649977983,4.664800079200431e-05,1.1938071057824363e-05,25.947839466720353,44.7171440654836,20.0,2.2980085606277845e-05,7.776617332405644e-05,2.170550847222332e-05,0.00012245176740255772,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-14T18:48:07,mbpo_HalfCheetah-v5_seed43611,7546f751-0a31-4910-a393-a764789b396c,0.2143666009978915,2.4372699012722206e-06,1.136893734961222e-05,25.816373356716387,46.69278995253208,20.0,1.4888992466779993e-06,3.719169641980269e-06,1.1898045888908112e-06,6.397873477548971e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_1,2026-09-14T18:48:07,mbpo_HalfCheetah-v5_seed43611,7546f751-0a31-4910-a393-a764789b396c,0.005507801000931067,2.754897076586403e-08,4.993300165798809e-06,25.158854781985205,42.02351095727887,20.0,4.196142246171153e-08,0.0,3.0355077776898776e-08,7.23165002386103e-08,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-14T18:48:23,mbpo_HalfCheetah-v5_seed43611,7546f751-0a31-4910-a393-a764789b396c,15.957045332001144,0.0002455640289283712,1.5389076385311607e-05,24.660187378591992,47.2276335784562,20.0,0.00011596187943609809,0.00044000007422201337,8.864765108889208e-05,0.0006446096047470038,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
