task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-15T16:03:31,mbpo_HalfCheetah-v5_seed43611,c44e3b6a-615a-4228-a878-4ccc60841f80,90.00284121699224,0.0005957819236588185,6.619589907704327e-06,11.636495201792307,12.30012830507152,20.0,0.0004105616148379135,0.0006361702311581396,0.0005172054782166216,0.0015639373242126748,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-15T16:03:32,mbpo_HalfCheetah-v5_seed43611,c44e3b6a-615a-4228-a878-4ccc60841f80,0.15170268500514794,2.0631596332497176e-06,1.3598446669342102e-05,19.863367016167565,32.091996204478306,20.0,1.5522062417616667e-06,3.02111352779022e-06,8.425081166529499e-07,5.415827886204837e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_0,2026-09-15T16:03:55,mbpo_HalfCheetah-v5_seed43611,c44e3b6a-615a-4228-a878-4ccc60841f80,22.95789926200814,0.00028316170771975767,1.2333967671097184e-05,23.867690502020555,41.638212135211134,20.0,0.00016759898880130963,0.00044816341408604465,0.0001275417255278121,0.0007433041284151663,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-15T16:03:55,mbpo_HalfCheetah-v5_seed43611,c44e3b6a-615a-4228-a878-4ccc60841f80,0.24676355300471187,2.5091639245859677e-06,1.0168692056734183e-05,24.19494124459315,43.40062972885707,20.0,1.762081965214768e-06,3.4552805419085786e-06,1.3692339611427566e-06,6.586596468266103e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_0,2026-09-15T16:03:55,mbpo_HalfCheetah-v5_seed43611,c44e3b6a-615a-4228-a878-4ccc60841f80,0.01858056799392216,9.187357868987826e-08,4.9451833073158105e-06,24.257958814751174,36.16719144071423,20.0,1.4060094580964355e-07,0.0,1.0056870556175799e-07,2.411696513712931e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-15T16:03:59,mbpo_HalfCheetah-v5_seed43611,c44e3b6a-615a-4228-a878-4ccc60841f80,4.3041752069984796,7.536602573290517e-05,1.7509997749785574e-05,24.35916958583893,47.99013748422739,20.0,3.174607511905597e-05,0.00014218094707807438,2.391003183333342e-05,0.00019783705403046388,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_1,2026-09-15T16:04:03,mbpo_HalfCheetah-v5_seed43611,c44e3b6a-615a-4228-a878-4ccc60841f80,3.5364236650057137,4.410687269822827e-05,1.2472085229985225e-05,24.59108455014345,51.06953845062563,20.0,2.4805508733280468e-05,7.133227928801666e-05,1.964347644445503e-05,0.00011578126446575195,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-15T16:04:03,mbpo_HalfCheetah-v5_seed43611,c44e3b6a-615a-4228-a878-4ccc60841f80,0.20615330700820778,2.5097061836299502e-06,1.2174069092911518e-05,25.503976664151462,52.30386628389195,20.0,1.896867628602139e-06,3.549725061890996e-06,1.1414272166601278e-06,6.588019907153263e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_1,2026-09-15T16:04:03,mbpo_HalfCheetah-v5_seed43611,c44e3b6a-615a-4228-a878-4ccc60841f80,0.005802963991300203,2.9804298515073366e-08,5.126530242754307e-06,25.20591719855676,47.07347965550276,20.0,4.909948371489836e-08,0.0,2.9137288866929768e-08,7.823677258171971e-08,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-15T16:04:07,mbpo_HalfCheetah-v5_seed43611,c44e3b6a-615a-4228-a878-4ccc60841f80,4.081299653000315,7.342584753065873e-05,1.799084158326158e-05,25.0276732151887,54.05527050374424,20.0,2.9642417325025094e-05,0.00014042900123212299,2.2672635861171282e-05,0.00019274405441831914,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_2,2026-09-15T16:04:09,mbpo_HalfCheetah-v5_seed43611,c44e3b6a-615a-4228-a878-4ccc60841f80,1.7235165079910075,2.0384606948831065e-05,1.182734441988814e-05,24.94931918262554,55.360952549636814,20.0,1.0565048452024217e-05,3.337252669788349e-05,9.57235252782183e-06,5.3509927677729534e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-15T16:04:09,mbpo_HalfCheetah-v5_seed43611,c44e3b6a-615a-4228-a878-4ccc60841f80,0.2066262669977732,2.3774872178405296e-06,1.1505751146450162e-05,25.025522292160154,55.91402816597201,20.0,1.5041578699873104e-06,3.5894473160436036e-06,1.1473377666940164e-06,6.240942952724822e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
