task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-15T18:38:57,mbpo_HalfCheetah-v5_seed43611,fc3fc1e1-71a4-46dc-a151-82f626b904f9,90.00277551000181,0.0006048853186340364,6.720740514815545e-06,13.584753478312425,12.589879087591878,20.0,0.00041971231132513845,0.0006510224652620522,0.0005170991087889383,0.001587833885376129,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-15T18:38:58,mbpo_HalfCheetah-v5_seed43611,fc3fc1e1-71a4-46dc-a151-82f626b904f9,0.15090146200964227,1.492856603155018e-06,9.891521352107555e-06,21.315547354776797,20.450058837993843,20.0,1.563972362290944e-06,1.5166678799527489e-06,8.381328333699218e-07,3.918773075613615e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_0,2026-09-15T18:39:23,mbpo_HalfCheetah-v5_seed43611,fc3fc1e1-71a4-46dc-a151-82f626b904f9,24.928974460999598,0.00030254406879655566,1.2136247290267896e-05,25.0663812217965,32.67912896554201,20.0,0.0001753533900048232,0.00048033732871410884,0.00013849242551667782,0.00079418314423561,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-15T18:39:23,mbpo_HalfCheetah-v5_seed43611,fc3fc1e1-71a4-46dc-a151-82f626b904f9,0.2371614019939443,3.3970225538001173e-06,1.4323961144561125e-05,26.76784639540184,42.46153093314366,20.0,2.2300512284821605e-06,5.3711154079927326e-06,1.3160732999999798e-06,8.917239936474981e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_0,2026-09-15T18:39:23,mbpo_HalfCheetah-v5_seed43611,fc3fc1e1-71a4-46dc-a151-82f626b904f9,0.01845707000757102,9.67994674109943e-08,5.245280100054685e-06,26.832280678985583,35.38460911095305,20.0,1.5428317897900334e-07,0.0,9.981701110117498e-08,2.541001900800699e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-15T18:39:27,mbpo_HalfCheetah-v5_seed43611,fc3fc1e1-71a4-46dc-a151-82f626b904f9,4.162642765004421,8.365751397752742e-05,2.0097220649257296e-05,26.864330689946463,50.79526734745142,20.0,3.0847588566942225e-05,0.00016563179917206128,2.3122958966673092e-05,0.00021960234670567649,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_1,2026-09-15T18:39:31,mbpo_HalfCheetah-v5_seed43611,fc3fc1e1-71a4-46dc-a151-82f626b904f9,3.8141494290030096,4.668578065929771e-05,1.2240071890725687e-05,26.799984876362675,53.22873075757832,20.0,2.69273409863012e-05,7.443617065994168e-05,2.1187428527789736e-05,0.00012255094017403273,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-15T18:39:31,mbpo_HalfCheetah-v5_seed43611,fc3fc1e1-71a4-46dc-a151-82f626b904f9,0.20518268299929332,2.5179852737283303e-06,1.2271486509376805e-05,27.444688764325225,54.32516908688548,20.0,1.8766920569061873e-06,3.5941695419872133e-06,1.1388910555979338e-06,6.6097526544911175e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_1,2026-09-15T18:39:31,mbpo_HalfCheetah-v5_seed43611,fc3fc1e1-71a4-46dc-a151-82f626b904f9,0.005565286002820358,2.926302312316123e-08,5.248374010893827e-06,26.93746826185148,48.89265217819693,20.0,4.7573371391579355e-08,0.0,2.924254440591495e-08,7.68159157974943e-08,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-15T18:39:36,mbpo_HalfCheetah-v5_seed43611,fc3fc1e1-71a4-46dc-a151-82f626b904f9,4.140443083000719,8.260510748603041e-05,1.9950825855328907e-05,26.613161868874943,57.28208239342143,20.0,3.148308213088771e-05,0.00016235651877405388,2.3000161494403262e-05,0.00021683976239934497,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
