task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-08T21:54:46,mbpo_HalfCheetah-v5_seed85062,fa377c5a-2eaf-4e8f-befa-4a793735d8d6,90.00296596100088,0.0006152873958951725,6.836300966080715e-06,5.927455156907255,13.675874817632648,20.0,0.00039092234995985464,0.0007071438990480239,0.0005170732598388794,0.0016151395088467582,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-08T21:54:47,mbpo_HalfCheetah-v5_seed85062,fa377c5a-2eaf-4e8f-befa-4a793735d8d6,0.15096341599564767,1.540327063804278e-06,1.020210688127419e-05,16.37382955054258,21.9665617141761,20.0,1.5867079360319886e-06,1.6177790720384166e-06,8.388968055644559e-07,4.0433838136349695e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_0,2026-09-08T21:55:12,mbpo_HalfCheetah-v5_seed85062,fa377c5a-2eaf-4e8f-befa-4a793735d8d6,25.114037534003728,0.00030552661471512253,1.2165580289829778e-05,21.475216441676835,34.06632044652413,20.0,0.000171621300352486,0.0004908712260298653,0.00013951984982219683,0.0008020123762045479,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-08T21:55:12,mbpo_HalfCheetah-v5_seed85062,fa377c5a-2eaf-4e8f-befa-4a793735d8d6,0.23808658099733293,3.418575487145175e-06,1.4362612335447612e-05,23.640917604662413,43.91996143624667,20.0,2.153655611811982e-06,5.5005599560731255e-06,1.3196011722255586e-06,8.973816740110666e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_0,2026-09-08T21:55:12,mbpo_HalfCheetah-v5_seed85062,fa377c5a-2eaf-4e8f-befa-4a793735d8d6,0.018463879001501482,9.758182075109232e-08,5.284452112019738e-06,24.27412722053703,36.59996786353889,20.0,1.5613123601604904e-07,0.0,1.0002264441732241e-07,2.5615388043326304e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-08T21:55:16,mbpo_HalfCheetah-v5_seed85062,fa377c5a-2eaf-4e8f-befa-4a793735d8d6,4.016671134995704,6.118780440581418e-05,1.5233479756928318e-05,24.6882371789758,45.35018719628015,20.0,2.913952275604404e-05,0.00010916703177787923,2.2312435900029314e-05,0.00016061899043395226,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_1,2026-09-08T21:55:21,mbpo_HalfCheetah-v5_seed85062,fa377c5a-2eaf-4e8f-befa-4a793735d8d6,4.555892386000778,5.658677528620195e-05,1.2420511044562111e-05,24.841694036788287,48.707427748339846,20.0,3.1859922432362015e-05,9.137340643206038e-05,2.530788464444214e-05,0.00014854121350886453,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-08T21:55:21,mbpo_HalfCheetah-v5_seed85062,fa377c5a-2eaf-4e8f-befa-4a793735d8d6,0.20213833699381212,2.535812258929078e-06,1.2544625250233013e-05,25.700273825784805,50.594198163153095,20.0,1.8474292557199698e-06,3.6869473940548403e-06,1.1221721333438137e-06,6.656548783118624e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_1,2026-09-08T21:55:21,mbpo_HalfCheetah-v5_seed85062,fa377c5a-2eaf-4e8f-befa-4a793735d8d6,0.005513146003067959,2.6482668093186224e-08,4.793125977892913e-06,25.078153988264653,45.53477834683778,20.0,4.0825588216043124e-08,0.0,2.8691850012508256e-08,6.95174382286598e-08,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-08T21:55:25,mbpo_HalfCheetah-v5_seed85062,fa377c5a-2eaf-4e8f-befa-4a793735d8d6,3.986847701999068,6.161386806226537e-05,1.545431011174695e-05,24.73840502848842,50.405645261263764,20.0,2.9834626923238e-05,0.00010975592113793287,2.214686646111663e-05,0.0001617374145222875,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
