task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-13T00:58:44,mbpo_HalfCheetah-v5_seed85062,9aff8bbd-d446-4995-ba2f-703ddaad62c5,90.0033233719987,0.0005999960657951742,6.666376584518635e-06,10.383522121567868,12.532342712966114,20.0,0.00040966780717842377,0.0006481502407419959,0.0005171814685388906,0.00157499951645931,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-13T00:58:45,mbpo_HalfCheetah-v5_seed85062,9aff8bbd-d446-4995-ba2f-703ddaad62c5,0.15246584100168548,2.043914936891841e-06,1.3403775269564995e-05,19.4244591988051,31.225135783826715,20.0,1.611477678076234e-06,2.9069467700204576e-06,8.468857944333389e-07,5.365310242530031e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_0,2026-09-13T00:59:06,mbpo_HalfCheetah-v5_seed85062,9aff8bbd-d446-4995-ba2f-703ddaad62c5,21.03597589200217,0.0002644930021346763,1.2573375807450148e-05,23.8356195490327,41.15149665711904,20.0,0.00016296914120854378,0.000414464776015977,0.00011686455274444196,0.0006942984699689627,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-13T00:59:06,mbpo_HalfCheetah-v5_seed85062,9aff8bbd-d446-4995-ba2f-703ddaad62c5,0.2261695890010742,3.278105546465561e-06,1.449408049722107e-05,25.403992511236495,49.94274377953834,20.0,2.0076121616391385e-06,5.342504274030713e-06,1.2549644055575952e-06,8.605080841227446e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_0,2026-09-13T00:59:06,mbpo_HalfCheetah-v5_seed85062,9aff8bbd-d446-4995-ba2f-703ddaad62c5,0.017510972000309266,8.656362636882877e-08,4.943488424276443e-06,25.253574338500155,41.61895314961529,20.0,1.3258149496320204e-07,0.0,9.464944444816017e-08,2.2723093941147063e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-13T00:59:10,mbpo_HalfCheetah-v5_seed85062,9aff8bbd-d446-4995-ba2f-703ddaad62c5,4.2428649670000596,4.855678109339629e-05,1.144435295445127e-05,25.159825714303388,44.69758056651781,20.0,2.945427689673985e-05,7.44400595519834e-05,2.3568010561110758e-05,0.00012746234700983412,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_1,2026-09-13T00:59:16,mbpo_HalfCheetah-v5_seed85062,9aff8bbd-d446-4995-ba2f-703ddaad62c5,6.364308795000397,7.963126148817392e-05,1.2512118792150243e-05,25.148625367816823,48.18928012392135,20.0,4.528398817160717e-05,0.00012839454716007115,3.535483253332735e-05,0.00020903336786500578,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-13T00:59:17,mbpo_HalfCheetah-v5_seed85062,9aff8bbd-d446-4995-ba2f-703ddaad62c5,0.19976883599883877,2.4806990691070892e-06,1.2417287164173369e-05,25.865407451928235,50.110605948524565,20.0,1.7713219726128715e-06,3.6316695719018632e-06,1.10888421111469e-06,6.511875755629316e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_1,2026-09-13T00:59:17,mbpo_HalfCheetah-v5_seed85062,9aff8bbd-d446-4995-ba2f-703ddaad62c5,0.004561154000839451,2.414880254011237e-08,5.282431039333705e-06,25.369415741576262,45.099545353672106,20.0,3.8333363983067414e-08,0.0,2.505763887811381e-08,6.339100286139807e-08,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-13T00:59:21,mbpo_HalfCheetah-v5_seed85062,9aff8bbd-d446-4995-ba2f-703ddaad62c5,4.203232301002572,4.863957228986877e-05,1.157199316805615e-05,25.043694940822355,46.8213889332698,20.0,2.956551337461588e-05,7.476505981202086e-05,2.33491020722391e-05,0.00012767967525887563,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
