task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-15T16:35:36,mbpo_HalfCheetah-v5_seed85062,ecef5757-8ec3-4d83-9eb8-ec3d2c19e368,90.00286709700595,0.0005911772477571663,6.5684264926644995e-06,14.419664607064018,12.055999343641972,20.0,0.0004116489540411175,0.0006232441097060448,0.0005169569106777393,0.0015518499744249016,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-15T16:35:36,mbpo_HalfCheetah-v5_seed85062,ecef5757-8ec3-4d83-9eb8-ec3d2c19e368,0.15106159000424668,1.4922857066125214e-06,9.877217633197908e-06,21.482968204548893,20.21191509181283,20.0,1.5271478883832623e-06,1.544723457813646e-06,8.454031166265285e-07,3.917274462823328e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_0,2026-09-15T16:36:01,mbpo_HalfCheetah-v5_seed85062,ecef5757-8ec3-4d83-9eb8-ec3d2c19e368,24.953413538998575,0.00030043434468288025,1.2039818376757006e-05,24.900584885494624,32.55143741181327,20.0,0.00016779743757117105,0.000482219552442098,0.0001386280938110657,0.0007886450838243346,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-15T16:36:02,mbpo_HalfCheetah-v5_seed85062,ecef5757-8ec3-4d83-9eb8-ec3d2c19e368,0.23768881600699387,2.6701016682321825e-06,1.1234274658115136e-05,26.447784649314077,36.70928845120426,20.0,2.172423960167258e-06,3.5180583699556678e-06,1.3185783556158301e-06,7.009060685738647e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_0,2026-09-15T16:36:02,mbpo_HalfCheetah-v5_seed85062,ecef5757-8ec3-4d83-9eb8-ec3d2c19e368,0.01869584400265012,7.640507790178126e-07,4.088943920053935e-05,26.358017213143327,88.98075457919946,20.0,1.4860317443243787e-07,1.7572236279406184e-06,9.981902783496015e-08,2.005645830208125e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-15T16:36:06,mbpo_HalfCheetah-v5_seed85062,ecef5757-8ec3-4d83-9eb8-ec3d2c19e368,4.149068233004073,7.19965665957773e-05,1.7352499894417113e-05,26.23622167386869,93.42354889459831,20.0,2.7549016761420353e-05,0.00013839344404797949,2.3049707705568982e-05,0.0001889921685149687,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_1,2026-09-15T16:36:10,mbpo_HalfCheetah-v5_seed85062,ecef5757-8ec3-4d83-9eb8-ec3d2c19e368,3.8574341339990497,4.660215929794991e-05,1.2081055143954744e-05,25.89192859800437,90.73428718188688,20.0,2.385963492102655e-05,7.704422830201452e-05,2.142756950553222e-05,0.0001223314327285733,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-15T16:36:10,mbpo_HalfCheetah-v5_seed85062,ecef5757-8ec3-4d83-9eb8-ec3d2c19e368,0.2140702489996329,2.406629442541861e-06,1.124191241370516e-05,25.91674528654731,87.31673250271429,20.0,1.5677362541904882e-06,3.5622250720290793e-06,1.1874804444636598e-06,6.317441770683444e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_1,2026-09-15T16:36:10,mbpo_HalfCheetah-v5_seed85062,ecef5757-8ec3-4d83-9eb8-ec3d2c19e368,0.005521547005628236,2.8990906088743537e-08,5.2407139024700214e-06,25.534013393708022,78.58505925244286,20.0,4.687837083100499e-08,0.0,2.92232332868049e-08,7.610160411780989e-08,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-15T16:36:14,mbpo_HalfCheetah-v5_seed85062,ecef5757-8ec3-4d83-9eb8-ec3d2c19e368,4.072591363001266,7.346195773386978e-05,1.80381821317145e-05,25.30417253924517,82.6943696601785,20.0,3.0187087482987096e-05,0.00014002816757785475,2.262358923334326e-05,0.0001928388442941852,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
