task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-15T19:10:14,mbpo_HalfCheetah-v5_seed85062,6e0bf186-bb5a-4d26-83a3-f37b5a137a94,90.00276507799572,0.0005827897642766087,6.475242423154277e-06,13.929566164189495,11.92007820779419,20.0,0.0003962234814229651,0.0006164541042741334,0.0005171551069833286,0.001529832692680427,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-15T19:10:14,mbpo_HalfCheetah-v5_seed85062,6e0bf186-bb5a-4d26-83a3-f37b5a137a94,0.14966406200255733,1.492940194249134e-06,9.974105731145833e-06,21.716760387384014,20.095715611293826,20.0,1.5727373693028013e-06,1.5152789898387198e-06,8.30976144465664e-07,3.918992503607185e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_0,2026-09-15T19:10:39,mbpo_HalfCheetah-v5_seed85062,6e0bf186-bb5a-4d26-83a3-f37b5a137a94,25.012491394998506,0.00030267678465348,1.2101029177696632e-05,25.494789053377055,32.34234402713406,20.0,0.00017560202298150945,0.0004799728839781636,0.0001389566185777464,0.0007945315255374196,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-15T19:10:40,mbpo_HalfCheetah-v5_seed85062,6e0bf186-bb5a-4d26-83a3-f37b5a137a94,0.23829530799412169,3.3523905160452597e-06,1.4068929750451343e-05,26.860484352238814,41.96854210432295,20.0,2.1570295034023523e-06,5.3213931461293384e-06,1.321657455587784e-06,8.800080105119366e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_0,2026-09-15T19:10:40,mbpo_HalfCheetah-v5_seed85062,6e0bf186-bb5a-4d26-83a3-f37b5a137a94,0.018555388000095263,9.897718675363175e-08,5.337012518407972e-06,27.06012025556096,34.97378508693579,20.0,1.5992873905051885e-07,0.0,9.988800003259656e-08,2.5981673908289857e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-15T19:10:44,mbpo_HalfCheetah-v5_seed85062,6e0bf186-bb5a-4d26-83a3-f37b5a137a94,4.156979514009436,8.31320366731183e-05,1.9998239407342093e-05,27.150596752505233,50.370984795456245,20.0,3.0307326468068108e-05,0.00016482402074791125,2.3091612944457058e-05,0.00021822296016043652,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_1,2026-09-15T19:10:47,mbpo_HalfCheetah-v5_seed85062,6e0bf186-bb5a-4d26-83a3-f37b5a137a94,3.3896072170027765,4.150168932054183e-05,1.2243718216763146e-05,27.005927177077506,52.878252137184596,20.0,2.3807653212776225e-05,6.63061641561491e-05,1.882879798884257e-05,0.0001089426153577681,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-15T19:10:47,mbpo_HalfCheetah-v5_seed85062,6e0bf186-bb5a-4d26-83a3-f37b5a137a94,0.2071856510010548,2.500807713114823e-06,1.2069885973608352e-05,27.618495371678712,53.813149247551095,20.0,1.8897806784920479e-06,3.5250028198596794e-06,1.1498777777079264e-06,6.564661276059654e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_1,2026-09-15T19:10:47,mbpo_HalfCheetah-v5_seed85062,6e0bf186-bb5a-4d26-83a3-f37b5a137a94,0.00554220299818553,2.707853417579023e-08,4.876896566801829e-06,26.448238356467762,48.431834322795986,20.0,3.735002988142222e-08,0.0,3.373156659005304e-08,7.10815964716921e-08,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-15T19:10:52,mbpo_HalfCheetah-v5_seed85062,6e0bf186-bb5a-4d26-83a3-f37b5a137a94,4.132045748992823,8.261870718141869e-05,1.9994667836112e-05,25.701490249824733,56.889180753579645,20.0,3.15866211026139e-05,0.0001623379076480802,2.2950933072166287e-05,0.0002168754618228604,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_2,2026-09-15T19:10:59,mbpo_HalfCheetah-v5_seed85062,6e0bf186-bb5a-4d26-83a3-f37b5a137a94,7.8247913049999624,9.605553689749071e-05,1.2275798598629778e-05,25.829619821573875,58.03494451351772,20.0,5.5152660510982e-05,0.00015352678948810095,4.3467910277831786e-05,0.00025214736027691495,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-15T19:11:00,mbpo_HalfCheetah-v5_seed85062,6e0bf186-bb5a-4d26-83a3-f37b5a137a94,0.2017479979986092,2.5554601971093747e-06,1.2666391528632901e-05,26.409206686797937,58.65517463037034,20.0,1.8886109553264974e-06,3.700280737817252e-06,1.1192332500488877e-06,6.7081249431927455e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_2,2026-09-15T19:11:00,mbpo_HalfCheetah-v5_seed85062,6e0bf186-bb5a-4d26-83a3-f37b5a137a94,0.005787762987893075,7.096818606727381e-07,0.00012235588271885427,26.285675289249834,139.39484933551756,20.0,5.35922650979348e-08,1.7797236457894883e-06,2.9610616669121376e-08,1.8629265275565444e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-15T19:11:04,mbpo_HalfCheetah-v5_seed85062,6e0bf186-bb5a-4d26-83a3-f37b5a137a94,4.204541907995008,8.262956940707886e-05,1.9652499255110812e-05,26.172137101387282,139.5367531115562,20.0,2.8270451227455085e-05,0.0001652770766660261,2.3356447449946762e-05,0.00021690397534342805,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_3,2026-09-15T19:11:06,mbpo_HalfCheetah-v5_seed85062,6e0bf186-bb5a-4d26-83a3-f37b5a137a94,2.354115631998866,2.7662892324311792e-05,1.175077281279242e-05,26.0083286097071,135.1141175290807,20.0,1.457235526898526e-05,4.4966980418337243e-05,1.3076210511159497e-05,7.261554619848211e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-15T19:11:06,mbpo_HalfCheetah-v5_seed85062,6e0bf186-bb5a-4d26-83a3-f37b5a137a94,0.2070525190065382,2.416660298984203e-06,1.1671876711327246e-05,26.00922721975968,130.93689721679158,20.0,1.511210931191831e-06,3.6836140577811705e-06,1.1489479444410115e-06,6.343772933414121e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_3,2026-09-15T19:11:06,mbpo_HalfCheetah-v5_seed85062,6e0bf186-bb5a-4d26-83a3-f37b5a137a94,0.006248170000617392,2.9233930202814118e-08,4.672063061509009e-06,25.62456145262799,123.66262514919205,20.0,4.4080868594198463e-08,0.0,3.2658677810064665e-08,7.673954640447997e-08,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-15T19:11:10,mbpo_HalfCheetah-v5_seed85062,6e0bf186-bb5a-4d26-83a3-f37b5a137a94,4.135727336004493,8.356335468152681e-05,2.0205287641827075e-05,25.361897693121108,124.74072772352793,20.0,3.083607633551366e-05,0.00016554985466221694,2.2969246011133627e-05,0.00021935517700886423,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
