task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-14T13:32:15,mbpo_HalfCheetah-v5_seed958,8aa0146f-1ae8-4177-bf49-9135e20d95e3,90.00323493200085,0.0006129501741284015,6.810312323914749e-06,12.505328511990058,13.208209179019539,20.0,0.0004075110826752687,0.0006837916581439868,0.0005177015225444443,0.0016090042633636998,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-14T13:32:16,mbpo_HalfCheetah-v5_seed958,8aa0146f-1ae8-4177-bf49-9135e20d95e3,0.15028497200000857,1.4939877408581608e-06,9.93985196427344e-06,20.965045709503986,20.628466633260327,20.0,1.605526839976168e-06,1.4813900739985009e-06,8.348254166675373e-07,3.921742330642098e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_0,2026-09-14T13:32:33,mbpo_HalfCheetah-v5_seed958,8aa0146f-1ae8-4177-bf49-9135e20d95e3,16.56161815500036,0.00021328015537053495,1.287798553587092e-05,25.07231945612265,33.50833872898771,20.0,0.00013595367265173408,0.00033190415441200494,9.20060799333341e-05,0.000559863906997073,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-14T13:32:33,mbpo_HalfCheetah-v5_seed958,8aa0146f-1ae8-4177-bf49-9135e20d95e3,0.23720990999936475,2.6381695612466734e-06,1.1121908089033396e-05,26.498239717563614,37.33100403897146,20.0,2.141533379892979e-06,3.46666944001095e-06,1.3170355611085566e-06,6.925238381012486e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_0,2026-09-14T13:32:33,mbpo_HalfCheetah-v5_seed958,8aa0146f-1ae8-4177-bf49-9135e20d95e3,0.018378708000454935,9.756583586460928e-08,5.304316456445042e-06,26.692350574114524,31.109170032476214,20.0,1.5675845873447392e-07,0.0,9.935346110981434e-08,2.5611191984417983e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-14T13:32:41,mbpo_HalfCheetah-v5_seed958,8aa0146f-1ae8-4177-bf49-9135e20d95e3,8.303320422999604,0.0001240466326434364,1.4939408368305899e-05,26.8009019470221,40.29492798109204,20.0,5.9444831722495206e-05,0.00022005212048598066,4.612749363333123e-05,0.0003256244458418071,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_1,2026-09-14T13:32:45,mbpo_HalfCheetah-v5_seed958,8aa0146f-1ae8-4177-bf49-9135e20d95e3,3.9740317270006926,4.811571603666653e-05,1.2107462828817629e-05,26.636603346473187,43.974248188819374,20.0,2.722961733922502e-05,7.699228381598255e-05,2.2082642844442374e-05,0.00012630454399964984,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-14T13:32:45,mbpo_HalfCheetah-v5_seed958,8aa0146f-1ae8-4177-bf49-9135e20d95e3,0.20384244300021237,2.5095571526973903e-06,1.231148841165267e-05,27.308119029806644,46.13418468091618,20.0,1.8686728838271383e-06,3.587780648017791e-06,1.1311751666653793e-06,6.587628698510092e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_1,2026-09-14T13:32:45,mbpo_HalfCheetah-v5_seed958,8aa0146f-1ae8-4177-bf49-9135e20d95e3,0.005561928000133776,2.898993472361111e-08,5.202363181482577e-06,26.7964383066488,41.52076621282456,20.0,4.699698204213565e-08,0.0,2.9102072226670425e-08,7.609905426858923e-08,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-14T13:32:53,mbpo_HalfCheetah-v5_seed958,8aa0146f-1ae8-4177-bf49-9135e20d95e3,8.049022307999621,0.00012050627939382366,1.4971561101193731e-05,26.389508064713233,46.66735620180395,20.0,5.222277455596558e-05,0.0002193948977379928,4.471328818333152e-05,0.0003163309604772898,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
