task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-14T17:02:45,mbpo_HalfCheetah-v5_seed958,067b99a5-c228-4599-8bda-dfd6426def6c,90.00330071600183,0.0006008336746791862,6.675684551398136e-06,14.749436787311037,12.373057497364075,20.0,0.00042022307312263724,0.0006398469007659613,0.0005171282796333496,0.0015771982535219482,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-14T17:02:45,mbpo_HalfCheetah-v5_seed958,067b99a5-c228-4599-8bda-dfd6426def6c,0.1518126189985196,2.1444673153078004e-06,1.412374772447173e-05,23.34150540474576,32.40879542156055,20.0,1.734361665263473e-06,3.053057998081421e-06,8.418422222247019e-07,5.629261885569704e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_0,2026-09-14T17:03:06,mbpo_HalfCheetah-v5_seed958,067b99a5-c228-4599-8bda-dfd6426def6c,20.21977428899845,0.00024553594467211567,1.2143358948968736e-05,27.456478886634137,41.665835830874826,20.0,0.00014220767959939595,0.00038999725644195404,0.00011233094707222338,0.0006445358831135733,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-14T17:03:06,mbpo_HalfCheetah-v5_seed958,067b99a5-c228-4599-8bda-dfd6426def6c,0.23754440999982762,3.373304960014689e-06,1.4200768172381737e-05,28.372836698228742,49.746684244499285,20.0,2.13159809415997e-06,5.406393213946981e-06,1.3169895555620705e-06,8.854980863668913e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_0,2026-09-14T17:03:06,mbpo_HalfCheetah-v5_seed958,067b99a5-c228-4599-8bda-dfd6426def6c,0.01865446300143958,9.620005236995414e-08,5.1570225330241305e-06,28.048813339578246,41.4555702037494,20.0,1.516551213220918e-07,0.0,1.0087159444088344e-07,2.5252671576308366e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-14T17:03:22,mbpo_HalfCheetah-v5_seed958,067b99a5-c228-4599-8bda-dfd6426def6c,15.96878518900121,0.00024216224370746044,1.516473040053589e-05,27.811880381733967,49.46150292200077,20.0,0.0001145195874489302,0.00043245034596006704,8.870992932222884e-05,0.000635679862731226,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_1,2026-09-14T17:03:26,mbpo_HalfCheetah-v5_seed958,067b99a5-c228-4599-8bda-dfd6426def6c,3.9929509590001544,4.805121154555182e-05,1.2033937663900083e-05,27.529463591192485,51.897344285590265,20.0,2.7485540599517244e-05,7.646867228600085e-05,2.2181005766671886e-05,0.00012613521865218998,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-14T17:03:26,mbpo_HalfCheetah-v5_seed958,067b99a5-c228-4599-8bda-dfd6426def6c,0.20356645999709144,2.480313261726255e-06,1.2183806595384873e-05,28.05661852914522,53.0885307674452,20.0,1.8431225856097022e-06,3.5380583859878634e-06,1.1296820333275967e-06,6.510863004925271e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_1,2026-09-14T17:03:26,mbpo_HalfCheetah-v5_seed958,067b99a5-c228-4599-8bda-dfd6426def6c,0.005553654998948332,2.573071020378452e-08,4.6241561916471185e-06,27.074488589220998,47.77967769070068,20.0,3.858753087893074e-08,0.0,2.8956005553482274e-08,6.75435364323046e-08,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-14T17:03:43,mbpo_HalfCheetah-v5_seed958,067b99a5-c228-4599-8bda-dfd6426def6c,17.361466018999636,0.0002515601630925315,1.4489578866950311e-05,26.295014698439797,51.974507486921155,20.0,0.00011095510654179214,0.00045294452902194804,9.644991973887553e-05,0.0006603495553026157,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_2,2026-09-14T17:03:46,mbpo_HalfCheetah-v5_seed958,067b99a5-c228-4599-8bda-dfd6426def6c,2.5538606170011917,3.256478363892362e-05,1.2751214515615686e-05,26.09330968011029,53.88332914976632,20.0,1.8185426770553348e-05,5.311226471205188e-05,1.4185399838889754e-05,8.548309132149498e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
