task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-15T17:38:14,mbpo_HalfCheetah-v5_seed958,1e25e806-0ccf-4975-b71f-5d3243c12790,90.00277307699434,0.000593849509577923,6.598124333750285e-06,11.43481437656336,12.49249096196953,20.0,0.00039575237549054065,0.000646001350133707,0.0005171109799222096,0.0015588647055464573,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-15T17:38:15,mbpo_HalfCheetah-v5_seed958,1e25e806-0ccf-4975-b71f-5d3243c12790,0.15595683400169946,1.5322881744721847e-06,9.823863710560345e-06,19.777517580217367,20.293364758024676,20.0,1.601356281077937e-06,1.5550012439913274e-06,8.659240721802788e-07,4.022281597249435e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_0,2026-09-15T17:38:35,mbpo_HalfCheetah-v5_seed958,1e25e806-0ccf-4975-b71f-5d3243c12790,20.18194343500363,0.0002454995930319204,1.2164326705922682e-05,23.817994471230634,32.59076626779945,20.0,0.00014279804118277895,0.0003895225338399477,0.00011211988443893565,0.0006444404594616625,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-15T17:38:36,mbpo_HalfCheetah-v5_seed958,1e25e806-0ccf-4975-b71f-5d3243c12790,0.23692454298725352,3.3704369413545612e-06,1.42259318683094e-05,25.556176471037787,42.34050114513614,20.0,2.1638111754873623e-06,5.365004292157138e-06,1.3186367999878934e-06,8.847452267632394e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_0,2026-09-15T17:38:36,mbpo_HalfCheetah-v5_seed958,1e25e806-0ccf-4975-b71f-5d3243c12790,0.020178072998533025,1.0168256094869772e-07,5.037631965734756e-06,25.540228284520907,35.283750954280116,20.0,1.6201429628437403e-07,0.0,1.0490409444580389e-07,2.6691839073028634e-07,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-15T17:38:40,mbpo_HalfCheetah-v5_seed958,1e25e806-0ccf-4975-b71f-5d3243c12790,4.177821442994173,8.377080155236587e-05,2.0051338051016902e-05,25.577032047097845,50.57773900405418,20.0,3.151960132677378e-05,0.00016517263213811084,2.320749498337842e-05,0.00021989972844826304,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
dynamics_model_update_1,2026-09-15T17:38:44,mbpo_HalfCheetah-v5_seed958,1e25e806-0ccf-4975-b71f-5d3243c12790,3.9890141270007007,4.922257194513299e-05,1.2339466701523744e-05,25.721632750753848,53.144641940468226,20.0,2.826207594297525e-05,7.878950747586266e-05,2.2158475500004375e-05,0.0001292100589188423,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-15T17:38:44,mbpo_HalfCheetah-v5_seed958,1e25e806-0ccf-4975-b71f-5d3243c12790,0.20565927001007367,2.504034596864397e-06,1.2176220034168816e-05,26.508950598506576,54.16526535798886,20.0,1.8921034581204088e-06,3.5441695018789687e-06,1.1368589388439845e-06,6.573131898843145e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
synthetic_rollout_generation_1,2026-09-15T17:38:44,mbpo_HalfCheetah-v5_seed958,1e25e806-0ccf-4975-b71f-5d3243c12790,0.005576697003562003,2.8777800482665192e-08,5.152023233839047e-06,26.058088426909837,48.74873882218997,20.0,4.660698171843336e-08,0.0,2.8935216687410968e-08,7.554219840595275e-08,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-15T17:38:48,mbpo_HalfCheetah-v5_seed958,1e25e806-0ccf-4975-b71f-5d3243c12790,4.129602030006936,8.235738212850193e-05,1.9943208965068263e-05,25.77541700763391,57.20519658900635,20.0,3.069105038616682e-05,0.00016256513005208362,2.2933298833312525e-05,0.00021618947927156285,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
