task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-07T14:01:11,sac_Ant-v5_seed14577,2cbb4b1d-ee1f-4036-89f1-f996217cfd59,90.00439583299976,0.0006308186295773036,7.008753588893342e-06,12.929183072951034,13.479115709241816,20.0,0.0004420608030928086,0.0006968580574859967,0.0005169903914944421,0.0016559092520732474,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-07T14:01:12,sac_Ant-v5_seed14577,2cbb4b1d-ee1f-4036-89f1-f996217cfd59,0.6773048649993143,8.22114186425861e-06,1.2137774787533089e-05,20.555992009967724,28.525693224430796,20.0,6.768854859513784e-06,1.104417550200354e-05,3.767601911113189e-06,2.1580632272630513e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-07T14:01:13,sac_Ant-v5_seed14577,2cbb4b1d-ee1f-4036-89f1-f996217cfd59,0.4836234220001643,5.251282466648874e-06,1.0858411159143765e-05,23.592552163090083,33.841481933977136,20.0,4.41252880779841e-06,6.686672015990269e-06,2.685501805555976e-06,1.3784702629344656e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-07T14:01:17,sac_Ant-v5_seed14577,2cbb4b1d-ee1f-4036-89f1-f996217cfd59,4.505361640999581,6.613907898772847e-05,1.4680126560904957e-05,25.11082285889049,45.79700438890153,20.0,3.143927237361788e-05,0.00011715037149799545,2.502652357222056e-05,0.0001736161674438339,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-07T14:01:18,sac_Ant-v5_seed14577,2cbb4b1d-ee1f-4036-89f1-f996217cfd59,0.36814389700066386,4.671783780646542e-06,1.2690271285183337e-05,25.250429618814067,50.48636665772329,20.0,2.6680793566852268e-06,7.552783820002906e-06,2.0426458944408556e-06,1.2263509071128989e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-07T14:01:22,sac_Ant-v5_seed14577,2cbb4b1d-ee1f-4036-89f1-f996217cfd59,4.2900123660001555,6.348275407458577e-05,1.47978196646291e-05,25.284165600614678,57.016691894262536,20.0,2.8183357546666954e-05,0.00011462870281400694,2.3831210605557173e-05,0.00016664327096623118,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-07T14:01:22,sac_Ant-v5_seed14577,2cbb4b1d-ee1f-4036-89f1-f996217cfd59,0.3633599980003055,4.560974456025227e-06,1.2551386619589954e-05,25.44990633082744,58.883021868303345,20.0,2.7005804938001754e-06,7.255561359997831e-06,2.0164909222229873e-06,1.1972632776021102e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-07T14:01:27,sac_Ant-v5_seed14577,2cbb4b1d-ee1f-4036-89f1-f996217cfd59,4.259136758999375,6.324017818534148e-05,1.4848140918795575e-05,25.54477909389223,62.92191996782815,20.0,2.968427735850626e-05,0.00011266231235200486,2.3659915566668147e-05,0.00016600650527717926,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-07T14:01:27,sac_Ant-v5_seed14577,2cbb4b1d-ee1f-4036-89f1-f996217cfd59,0.35049798100044427,4.9396693470540485e-06,1.4093306591195838e-05,26.345248308412163,64.5806580218461,20.0,3.2849740168663932e-06,7.736117299997347e-06,1.9456217611099873e-06,1.296671307797351e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-07T14:01:31,sac_Ant-v5_seed14577,2cbb4b1d-ee1f-4036-89f1-f996217cfd59,4.273308072999498,6.451784902673481e-05,1.5097900337385613e-05,26.85956324796938,67.51502519505105,20.0,3.06580575819837e-05,0.00011496425863799509,2.3738095977776327e-05,0.000169360412197755,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
