task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-09T16:22:10,sac_Ant-v5_seed14577,a4a9904a-05e5-4d9b-be0a-d512c450f463,90.00384880400088,0.0006517975117513878,7.241884554604847e-06,14.434853199038422,600.5127787590122,20.0,0.000442074264770248,0.0007518717126080432,0.0005170331845888641,0.0017109791619671552,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-09T16:22:11,sac_Ant-v5_seed14577,a4a9904a-05e5-4d9b-be0a-d512c450f463,0.6830420900078025,8.478880819939145e-06,1.2413276904143247e-05,22.2948274722294,420.07106796930316,20.0,7.236078011077507e-06,1.1227786759882008e-05,3.793336488888601e-06,2.2257201259848116e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-09T16:22:12,sac_Ant-v5_seed14577,a4a9904a-05e5-4d9b-be0a-d512c450f463,0.4943045390100451,6.065840281226629e-06,1.2271571619393842e-05,25.338199811396237,330.4800361998678,20.0,4.751629356862519e-06,8.437228971924782e-06,2.734071927746641e-06,1.5922930256533942e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-09T16:22:29,sac_Ant-v5_seed14577,a4a9904a-05e5-4d9b-be0a-d512c450f463,17.623075406008866,0.00026205254854930605,1.486985926179689e-05,27.050781639431044,283.63651302675026,20.0,0.0001187664061241614,0.00047122259919984977,9.790323394441255e-05,0.0006878922392684239,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-09T16:22:30,sac_Ant-v5_seed14577,a4a9904a-05e5-4d9b-be0a-d512c450f463,0.3740508979972219,4.757137686478628e-06,1.2718109088357753e-05,26.902549920260128,248.6929871887115,20.0,2.732776352890043e-06,7.67917281030428e-06,2.0756153110899856e-06,1.2487564474284417e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-09T16:22:47,sac_Ant-v5_seed14577,a4a9904a-05e5-4d9b-be0a-d512c450f463,17.159309574999497,0.00026295711683836903,1.532446381125045e-05,26.800522525675042,227.18966368810075,20.0,0.0001270263471765537,0.0004679134298857246,9.532696880560254e-05,0.0006902667458678806,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-09T16:22:47,sac_Ant-v5_seed14577,a4a9904a-05e5-4d9b-be0a-d512c450f463,0.35804749200178776,4.125438889560551e-06,1.15213549388563e-05,27.796152295952602,205.53937940484295,20.0,3.477353059659627e-06,5.365004292157138e-06,1.986987416684161e-06,1.0829344768501035e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-09T16:23:04,sac_Ant-v5_seed14577,a4a9904a-05e5-4d9b-be0a-d512c450f463,17.102428736994625,0.0002619364383071143,1.5315752089149142e-05,28.516554709267716,193.66980715729622,20.0,0.00012363349362893433,0.00046894315293211086,9.501080141667952e-05,0.0006875874479777247,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-09T16:23:04,sac_Ant-v5_seed14577,a4a9904a-05e5-4d9b-be0a-d512c450f463,0.3628071659913985,4.858480990107281e-06,1.3391610869899711e-05,28.45002763223649,182.16711273488184,20.0,2.8223625356676996e-06,7.91806188993327e-06,2.013167883382688e-06,1.275359230898344e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-09T16:23:21,sac_Ant-v5_seed14577,a4a9904a-05e5-4d9b-be0a-d512c450f463,16.089219795001554,0.00025270705424240117,1.5706613827109203e-05,28.388674412289923,174.86740523941836,20.0,0.00011870423524109469,0.00045527341977402713,8.938250837220245e-05,0.0006633601633873241,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
