task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-12T21:26:54,sac_Ant-v5_seed14577,6bfd4cf8-d3cf-4550-bc9f-9f25a411e518,90.00326063800094,0.0006169481745249475,6.854730787166916e-06,11.558093066617227,13.614852302184746,20.0,0.000398163565197264,0.0007041463966499795,0.0005171891181499935,0.001619499079997237,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-12T21:26:56,sac_Ant-v5_seed14577,6bfd4cf8-d3cf-4550-bc9f-9f25a411e518,0.6887972119984624,8.3264199985596e-06,1.2088157617476481e-05,20.308494341370338,27.846167876694068,20.0,7.25689774995486e-06,1.077389750800406e-05,3.826193844441977e-06,2.1856989102400897e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-12T21:26:56,sac_Ant-v5_seed14577,6bfd4cf8-d3cf-4550-bc9f-9f25a411e518,0.4721168039995973,5.151511072436004e-06,1.0911906066915397e-05,23.663443919246824,33.206991890829215,20.0,4.441673275554225e-06,6.460282945985885e-06,2.620844861111354e-06,1.3522801082651355e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-12T21:27:01,sac_Ant-v5_seed14577,6bfd4cf8-d3cf-4550-bc9f-9f25a411e518,4.407100223999805,5.092924160970665e-05,1.1556195275010716e-05,25.32267900161282,39.42248704155192,20.0,3.048658300036644e-05,7.871450741597785e-05,2.448900437222821e-05,0.0001336900947885725,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-12T21:27:01,sac_Ant-v5_seed14577,6bfd4cf8-d3cf-4550-bc9f-9f25a411e518,0.3503463439992629,3.884073502477222e-06,1.1086064526487239e-05,26.685699154451424,41.41501770493519,20.0,3.2790570676857755e-06,4.978892872015139e-06,1.9378067277809642e-06,1.0195756667481879e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-12T21:27:05,sac_Ant-v5_seed14577,6bfd4cf8-d3cf-4550-bc9f-9f25a411e518,4.139283250999142,4.862993164421361e-05,1.1748417034039128e-05,27.436020167951806,44.83144409436344,20.0,2.954849113877278e-05,7.511172675597755e-05,2.2994150511112827e-05,0.00012765436840586316,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-12T21:27:05,sac_Ant-v5_seed14577,6bfd4cf8-d3cf-4550-bc9f-9f25a411e518,0.3520123650014284,3.887166278387379e-06,1.104193097572426e-05,28.187953266742205,45.569962375728956,20.0,3.2895348538522495e-06,4.959726190023606e-06,1.9546142111115253e-06,1.0203875254987272e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-12T21:27:10,sac_Ant-v5_seed14577,6bfd4cf8-d3cf-4550-bc9f-9f25a411e518,4.166417028000069,4.8707532580310846e-05,1.1690529019236019e-05,28.58227084027303,47.790383578263885,20.0,2.8815629719153302e-05,7.588950515599602e-05,2.3152937261117267e-05,0.0001278580721362668,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-12T21:27:10,sac_Ant-v5_seed14577,6bfd4cf8-d3cf-4550-bc9f-9f25a411e518,0.35107610800150724,3.91194586624264e-06,1.1142779347279457e-05,29.06758405495316,48.190031143234776,20.0,3.2790234565510668e-06,5.042781811986918e-06,1.9471168111117546e-06,1.0268922079649957e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-12T21:27:14,sac_Ant-v5_seed14577,6bfd4cf8-d3cf-4550-bc9f-9f25a411e518,4.14932331899945,4.924352465558821e-05,1.1867865688675955e-05,29.329155372815546,49.823852933165284,20.0,2.996166452486765e-05,7.625339433600664e-05,2.30500012666703e-05,0.0001292650601275448,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-12T21:27:14,sac_Ant-v5_seed14577,6bfd4cf8-d3cf-4550-bc9f-9f25a411e518,0.3533490539994091,3.950523319179618e-06,1.1179890931300995e-05,29.72547135514571,49.95541090919477,20.0,3.3645399138554355e-06,5.043615145999825e-06,1.9620334666696406e-06,1.0370188526524684e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_4,2026-09-12T21:27:19,sac_Ant-v5_seed14577,6bfd4cf8-d3cf-4550-bc9f-9f25a411e518,4.170612824998898,4.9426373652518524e-05,1.1851123699634466e-05,29.93788245822181,51.18122673095289,20.0,3.024464697348045e-05,7.633172773199859e-05,2.316866703889293e-05,0.00012974504174437197,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_5,2026-09-12T21:27:19,sac_Ant-v5_seed14577,6bfd4cf8-d3cf-4550-bc9f-9f25a411e518,0.35018746400055534,4.618990305821141e-06,1.3190067254313552e-05,30.195443988629084,52.594307829577865,20.0,3.2813798473280142e-06,6.8994499640151474e-06,1.9440955222207014e-06,1.2124925333563755e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_5,2026-09-12T21:27:23,sac_Ant-v5_seed14577,6bfd4cf8-d3cf-4550-bc9f-9f25a411e518,4.181429438000123,4.9214457642055985e-05,1.1769787551429428e-05,30.31095984837593,53.47142952841478,20.0,2.959272478527536e-05,7.636728331597564e-05,2.32287506388881e-05,0.000129188758740139,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_6,2026-09-12T21:27:23,sac_Ant-v5_seed14577,6bfd4cf8-d3cf-4550-bc9f-9f25a411e518,0.36099658899911446,3.6900956439317803e-06,1.0221266581502286e-05,30.080311305761384,53.24397438575774,20.0,2.68484714787548e-06,4.996670664003666e-06,2.0050437944519163e-06,9.686561606330954e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_6,2026-09-12T21:27:28,sac_Ant-v5_seed14577,6bfd4cf8-d3cf-4550-bc9f-9f25a411e518,4.1766919900001085,4.939435742518463e-05,1.1826207479729816e-05,29.869669445151235,53.97873146218548,20.0,3.019654804610472e-05,7.626200545401973e-05,2.320244512222624e-05,0.0001296609986223508,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_7,2026-09-12T21:27:28,sac_Ant-v5_seed14577,6bfd4cf8-d3cf-4550-bc9f-9f25a411e518,0.3509044449983776,3.921510988359744e-06,1.1175133249095386e-05,30.067270592089738,53.87013486405195,20.0,3.276835954801882e-06,5.068892943993486e-06,1.948301783340819e-06,1.0294030682136187e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_7,2026-09-12T21:27:32,sac_Ant-v5_seed14577,6bfd4cf8-d3cf-4550-bc9f-9f25a411e518,4.173943743000564,4.938499430412295e-05,1.1831750796681107e-05,30.168115259338762,54.48703260749429,20.0,3.0403846545283553e-05,7.604533861399476e-05,2.318723511667085e-05,0.00012963642027594927,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_8,2026-09-12T21:27:33,sac_Ant-v5_seed14577,6bfd4cf8-d3cf-4550-bc9f-9f25a411e518,0.3490004070008581,4.545613715007746e-06,1.3024311711574012e-05,30.31373361375803,55.254874172369,20.0,3.2254820248323046e-06,6.768894304010065e-06,1.937934249993589e-06,1.1932310578836175e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_8,2026-09-12T21:27:37,sac_Ant-v5_seed14577,6bfd4cf8-d3cf-4550-bc9f-9f25a411e518,4.1642925619999005,4.867763492697038e-05,1.1689307872201433e-05,30.37710602860652,55.69776878092354,20.0,2.997497370218344e-05,7.467117084800079e-05,2.3133445755552746e-05,0.00012777959030573676,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
