task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-12T22:22:18,sac_Ant-v5_seed14577,a0b5b83a-7b78-418a-8d4c-0993af4e5a03,90.00322299199979,0.0007213006270880576,8.014164315160357e-06,20.009070489929897,18.94458765504653,20.0,0.0003967109818129762,0.0009796188392499905,0.0005170961589555595,0.0018934259800185264,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-12T22:22:19,sac_Ant-v5_seed14577,a0b5b83a-7b78-418a-8d4c-0993af4e5a03,0.6785859969986632,8.231326693507353e-06,1.213001531321557e-05,25.805501392367717,31.680999362450734,20.0,7.0728773249638735e-06,1.0767230835984076e-05,3.7672594555564383e-06,2.1607367616504388e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-12T22:22:19,sac_Ant-v5_seed14577,a0b5b83a-7b78-418a-8d4c-0993af4e5a03,0.4776437780001288,6.150027181194484e-06,1.2876031115211228e-05,27.679676891474408,40.89848915983255,20.0,4.436841327247476e-06,9.063340584009039e-06,2.6437403388930364e-06,1.6143922250149443e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-12T22:22:24,sac_Ant-v5_seed14577,a0b5b83a-7b78-418a-8d4c-0993af4e5a03,4.450233703999402,5.609295580061443e-05,1.260451466063854e-05,28.404578816902266,47.87806525174845,20.0,2.8830990286996157e-05,9.36922971759846e-05,2.4721641794440085e-05,0.00014724492925742073,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-12T22:22:24,sac_Ant-v5_seed14577,a0b5b83a-7b78-418a-8d4c-0993af4e5a03,0.35578462299963576,3.89189796885011e-06,1.09386200955498e-05,28.32452656207663,49.115103693955945,20.0,2.775941942973273e-06,5.464448815994949e-06,1.97590526111323e-06,1.0216296020081669e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-12T22:22:28,sac_Ant-v5_seed14577,a0b5b83a-7b78-418a-8d4c-0993af4e5a03,4.1195931490001385,5.266011282199269e-05,1.2782845247435284e-05,28.207984573455885,52.80536094833178,20.0,2.9591249506313866e-05,8.57578463840103e-05,2.288456422778226e-05,0.00013823366011810664,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-12T22:22:28,sac_Ant-v5_seed14577,a0b5b83a-7b78-418a-8d4c-0993af4e5a03,0.35180995799964876,4.863225333829745e-06,1.3822799039864284e-05,28.901768927364422,55.795795548601944,20.0,3.31774654308524e-06,7.495005996005499e-06,1.953293750001496e-06,1.2766046289092343e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-12T22:22:33,sac_Ant-v5_seed14577,a0b5b83a-7b78-418a-8d4c-0993af4e5a03,4.1237105109994445,5.272696151720354e-05,1.2786311206618051e-05,29.269285804418715,57.9084493101222,20.0,2.981280690578063e-05,8.568840188399873e-05,2.2907930249999064e-05,0.00013840913903977832,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-12T22:22:33,sac_Ant-v5_seed14577,a0b5b83a-7b78-418a-8d4c-0993af4e5a03,0.34991541000090365,4.8335862668862604e-06,1.3813780673378969e-05,29.759509283543643,59.74078827797634,20.0,3.3401429498907537e-06,7.4055614799894975e-06,1.9425388222164483e-06,1.26882432520967e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-12T22:22:37,sac_Ant-v5_seed14577,a0b5b83a-7b78-418a-8d4c-0993af4e5a03,4.122210972000175,5.2842128134340804e-05,1.2818915859008424e-05,30.013202987745785,61.13400899042643,20.0,2.98599055545707e-05,8.595173542799706e-05,2.2899812316659845e-05,0.0001387114532992277,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
