task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-17T12:35:53,sac_Ant-v5_seed14577,2965fd8c-2fca-4b90-b2e6-8034859c868a,90.002694883,0.0006175564158139897,6.861532150065738e-06,11.295137653292318,13.634235555667205,20.0,0.00039805809316844146,0.000705552508886001,0.0005174851213055516,0.001621095723359994,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-17T12:35:55,sac_Ant-v5_seed14577,2965fd8c-2fca-4b90-b2e6-8034859c868a,0.6752990799996041,8.13884394960517e-06,1.2052187100446971e-05,20.035903479400478,27.84387496608818,20.0,7.0600087035584125e-06,1.0553619554008742e-05,3.75097063888964e-06,2.1364598896456794e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-17T12:35:55,sac_Ant-v5_seed14577,2965fd8c-2fca-4b90-b2e6-8034859c868a,0.4879757979997521,5.799810841392418e-06,1.1885570344106906e-05,23.30133846502972,35.665252337623755,20.0,4.50467499262322e-06,8.010839741993958e-06,2.709083877779333e-06,1.5224598612396511e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-17T12:36:00,sac_Ant-v5_seed14577,2965fd8c-2fca-4b90-b2e6-8034859c868a,4.595477142000163,7.92891150308507e-05,1.7253753525656232e-05,24.905825110240297,52.30233951376454,20.0,3.094119253070973e-05,0.00015167151022600633,2.5522525044440695e-05,0.00020813522780115676,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-17T12:36:00,sac_Ant-v5_seed14577,2965fd8c-2fca-4b90-b2e6-8034859c868a,0.36326381500020943,4.8300376839370725e-06,1.32960435275619e-05,25.127073891147585,56.81147128249356,20.0,2.662060740756672e-06,8.000839733991738e-06,2.016027688887291e-06,1.2678928163635701e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-17T12:36:04,sac_Ant-v5_seed14577,2965fd8c-2fca-4b90-b2e6-8034859c868a,4.374875771000006,7.821297134173147e-05,1.7877791792997153e-05,25.275466409674063,66.27395706809276,20.0,3.148426879850952e-05,0.00014952345295200786,2.430261121110866e-05,0.00020531033296162615,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-17T12:36:05,sac_Ant-v5_seed14577,2965fd8c-2fca-4b90-b2e6-8034859c868a,0.355505486999391,3.9373267845042685e-06,1.1074595437941658e-05,26.175708186961074,64.49662305959518,20.0,3.2253461913871184e-06,5.136948553995102e-06,1.9732526611126837e-06,1.0335547406494904e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-17T12:36:09,sac_Ant-v5_seed14577,2965fd8c-2fca-4b90-b2e6-8034859c868a,4.373460529999647,7.812471724317983e-05,1.7863390904375243e-05,26.730513989172252,70.9831489831215,20.0,3.1521551050552044e-05,0.00014926261940999969,2.4294494044448155e-05,0.0002050786645050001,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-17T12:36:09,sac_Ant-v5_seed14577,2965fd8c-2fca-4b90-b2e6-8034859c868a,0.3490917460003402,4.079708867467044e-06,1.1686675637688591e-05,27.322606293612758,69.64027898846436,20.0,3.1869789384707248e-06,5.582782243995776e-06,1.939541527776244e-06,1.0709302710242962e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-17T12:36:14,sac_Ant-v5_seed14577,2965fd8c-2fca-4b90-b2e6-8034859c868a,4.422257983000236,7.788796773567513e-05,1.7612718696779634e-05,27.6326992683677,74.52606428173634,20.0,2.8342574340707583e-05,0.0001515495656840074,2.4565053138889603e-05,0.00020445719316360437,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
