task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-17T13:33:40,sac_Ant-v5_seed14577,6367eade-feee-4977-b1d2-5b247ff341d2,90.00277896199987,0.0005942822704074752,6.6029319582616654e-06,17.237726082987905,12.481144465444496,20.0,0.000397496231885619,0.0006454027385439931,0.0005171017393944466,0.0015600007098240587,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-17T13:33:41,sac_Ant-v5_seed14577,6367eade-feee-4977-b1d2-5b247ff341d2,0.6764378110001417,8.155068022212245e-06,1.2055770885391707e-05,24.087889585543262,26.9961305383849,20.0,7.122942642795449e-06,1.0526952865991257e-05,3.7572918444412576e-06,2.1407187353227964e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-17T13:33:41,sac_Ant-v5_seed14577,6367eade-feee-4977-b1d2-5b247ff341d2,0.49481282600027043,5.89046624275755e-06,1.1904532316105161e-05,26.397404260769,35.020812899994986,20.0,4.598685623392884e-06,8.117228716020275e-06,2.7466561888912864e-06,1.5462570528304445e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-17T13:33:46,sac_Ant-v5_seed14577,6367eade-feee-4977-b1d2-5b247ff341d2,4.712471209000796,9.255839971745528e-05,1.9641178126777543e-05,27.529447567765914,55.74267264087384,20.0,3.533788604806465e-05,0.0001814520896059879,2.6177342150003808e-05,0.00024296731780405647,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-17T13:33:47,sac_Ant-v5_seed14577,6367eade-feee-4977-b1d2-5b247ff341d2,0.3552196000000549,4.2136074592088926e-06,1.1861880657015106e-05,28.63437359861791,56.08749352975885,20.0,3.389615211686625e-06,5.699726781993597e-06,1.971446716672468e-06,1.106078871035269e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-17T13:33:51,sac_Ant-v5_seed14577,6367eade-feee-4977-b1d2-5b247ff341d2,4.508293020000565,8.93682168021429e-05,1.9823112348628223e-05,29.19446392980779,68.24579773428616,20.0,3.274820286520291e-05,0.0001768018081080014,2.504302433889178e-05,0.00023459303531209587,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-17T13:33:51,sac_Ant-v5_seed14577,6367eade-feee-4977-b1d2-5b247ff341d2,0.37370549099978234,5.194845862142839e-06,1.3900127725871393e-05,28.787792229585463,70.38590630273768,20.0,2.7073791103449096e-06,8.855007084029864e-06,2.074169422222583e-06,1.3636555616597466e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-17T13:33:56,sac_Ant-v5_seed14577,6367eade-feee-4977-b1d2-5b247ff341d2,4.2153427970006305,8.681857413762569e-05,2.0595875253635304e-05,28.498152997368557,78.95368256225615,20.0,3.17951407138653e-05,0.00017268930481798006,2.34157359555562e-05,0.00022790018148740156,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-17T13:33:56,sac_Ant-v5_seed14577,6367eade-feee-4977-b1d2-5b247ff341d2,0.35667402199942444,5.4805720014215785e-06,1.5365432815455005e-05,29.076076364415293,80.1401233286824,20.0,3.4154535656985563e-06,8.991396082014269e-06,1.9797417722152008e-06,1.4386591419928135e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-17T13:34:00,sac_Ant-v5_seed14577,6367eade-feee-4977-b1d2-5b247ff341d2,4.223450415998741,8.682492364452653e-05,2.0557842366150574e-05,29.40767217814745,86.287412988511,20.0,3.111541378120197e-05,0.0001733395831159945,2.3461852149992183e-05,0.00022791684904718877,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-17T13:34:01,sac_Ant-v5_seed14577,6367eade-feee-4977-b1d2-5b247ff341d2,0.35442684900044696,5.3594494461048185e-06,1.5120960860677239e-05,29.75980547399948,86.52375811336869,20.0,3.330224886397004e-06,8.770562571980278e-06,1.967855266664419e-06,1.4068642725041918e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_4,2026-09-17T13:34:05,sac_Ant-v5_seed14577,6367eade-feee-4977-b1d2-5b247ff341d2,4.260673587999918,8.5838191671005e-05,2.0146668397394805e-05,29.913921617101895,91.10792692503689,20.0,2.875228911291411e-05,0.00017290791610399814,2.3666456211109675e-05,0.0002253266614280218,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_5,2026-09-17T13:34:05,sac_Ant-v5_seed14577,6367eade-feee-4977-b1d2-5b247ff341d2,0.3655974299999798,5.189443285139343e-06,1.4194054035120789e-05,29.6975484517993,90.85367150105034,20.0,2.745526085319583e-06,8.854451528012008e-06,2.0223961499949306e-06,1.3622373763326739e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_5,2026-09-17T13:34:09,sac_Ant-v5_seed14577,6367eade-feee-4977-b1d2-5b247ff341d2,4.262028860999635,8.712643401458499e-05,2.044253474848238e-05,29.47454324119834,94.72773593768959,20.0,2.869189823127838e-05,0.00017634125218399244,2.3675168300006655e-05,0.00022870831871527747,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_6,2026-09-17T13:34:10,sac_Ant-v5_seed14577,6367eade-feee-4977-b1d2-5b247ff341d2,0.36941215499973623,4.068322247787999e-06,1.1012250794164938e-05,29.3312568259824,92.35444678618134,20.0,2.8051030774162156e-06,5.822782436021301e-06,2.05152713333523e-06,1.0679412646772638e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_6,2026-09-17T13:34:14,sac_Ant-v5_seed14577,6367eade-feee-4977-b1d2-5b247ff341d2,4.228516142000444,8.780251913241143e-05,2.0764412402082942e-05,29.208051159817515,95.67106162658756,20.0,3.2270739149908856e-05,0.0001747190286639777,2.3493285427775897e-05,0.00023048305324166246,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_7,2026-09-17T13:34:14,sac_Ant-v5_seed14577,6367eade-feee-4977-b1d2-5b247ff341d2,0.360539561999758,4.330794620922753e-06,1.201215488271713e-05,29.50499858395689,93.62391104160422,20.0,3.4794725057990528e-06,5.887504710005986e-06,2.001429716660323e-06,1.136840693246547e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
