task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-07T13:31:46,sac_Ant-v5_seed331,cae73f66-1337-4ada-8d7e-a606fcb35346,90.00345354899946,0.0006480158567595061,7.199899659190529e-06,9.664505470155106,13.89083659437817,20.0,0.00046583297127719,0.0007181933523320028,0.0005170259319611078,0.0017010522555703006,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-07T13:31:47,sac_Ant-v5_seed331,cae73f66-1337-4ada-8d7e-a606fcb35346,0.66592269100056,7.55650085564085e-06,1.1347223771692809e-05,18.58943625105519,26.154226664758543,20.0,6.762242632012139e-06,9.374729721997599e-06,3.698966366664537e-06,1.9835938720674275e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-07T13:31:48,sac_Ant-v5_seed331,cae73f66-1337-4ada-8d7e-a606fcb35346,0.47622952300025645,5.7719402875242845e-06,1.2120229611686536e-05,22.19148638531496,34.98430596442908,20.0,4.383214895459231e-06,8.125284278001632e-06,2.6429387777777025e-06,1.5151437951238566e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-07T13:31:52,sac_Ant-v5_seed331,cae73f66-1337-4ada-8d7e-a606fcb35346,4.51893612799995,6.560501714913947e-05,1.451781169129891e-05,23.998620809961682,46.596602285454864,20.0,3.0322500369089206e-05,0.00011678870454200074,2.5103041444440822e-05,0.00017221424635553077,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-07T13:31:53,sac_Ant-v5_seed331,cae73f66-1337-4ada-8d7e-a606fcb35346,0.36421944800076744,4.616886498808102e-06,1.2676043774695312e-05,24.399683789339946,51.04499909711356,20.0,2.686220204526496e-06,7.411117040001525e-06,2.022065561110755e-06,1.2119402805638776e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-07T13:31:57,sac_Ant-v5_seed331,cae73f66-1337-4ada-8d7e-a606fcb35346,4.237760545999663,6.29725260865284e-05,1.4859881104089556e-05,24.658741639360468,57.32079001919559,20.0,2.9967717307486513e-05,0.00011179481165800309,2.354138516111055e-05,0.00016530391412660026,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-07T13:31:57,sac_Ant-v5_seed331,cae73f66-1337-4ada-8d7e-a606fcb35346,0.352162123999733,4.828853029662547e-06,1.3711140587874089e-05,25.767332029332355,59.64576204808866,20.0,3.298673194492008e-06,7.422228160011701e-06,1.954917072225751e-06,1.2675818426729352e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-07T13:32:02,sac_Ant-v5_seed331,cae73f66-1337-4ada-8d7e-a606fcb35346,4.253500017999613,6.315205577999913e-05,1.484711509187535e-05,26.450977600927917,63.55314902265645,20.0,3.0132054105628386e-05,0.00011201481183398254,2.3628316577777595e-05,0.0001657751825173883,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-07T13:32:02,sac_Ant-v5_seed331,cae73f66-1337-4ada-8d7e-a606fcb35346,0.35949649600024713,5.076354976454932e-06,1.4120945963601471e-05,27.43687594453929,64.89897179195704,20.0,3.646233750320693e-06,7.684172814007018e-06,1.9951085333357174e-06,1.3325515097663537e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-07T13:32:06,sac_Ant-v5_seed331,cae73f66-1337-4ada-8d7e-a606fcb35346,4.371248206999553,6.442997178487345e-05,1.4739506724811465e-05,28.014813245470393,67.68991918210878,20.0,2.8828243618134186e-05,0.00011602814837799458,2.427334099999528e-05,0.00016912973299612393,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-07T13:32:07,sac_Ant-v5_seed331,cae73f66-1337-4ada-8d7e-a606fcb35346,0.3775253920002797,4.499303826865182e-06,1.1917709897241995e-05,27.81167179846035,67.66126942622658,20.0,2.6966810462332458e-06,7.027505622009267e-06,2.0865596944430204e-06,1.181074636268575e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_4,2026-09-07T13:32:11,sac_Ant-v5_seed331,cae73f66-1337-4ada-8d7e-a606fcb35346,4.418536796999433,6.43715845257334e-05,1.4568547556699023e-05,27.596175131698878,69.75836356946746,20.0,2.792706123052116e-05,0.00011650314875799594,2.4546255494442407e-05,0.0001689764654829594,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_5,2026-09-07T13:32:12,sac_Ant-v5_seed331,cae73f66-1337-4ada-8d7e-a606fcb35346,0.3712247160001425,3.8498422547394735e-06,1.0370827092367025e-05,27.488551458527887,68.47714662419682,20.0,2.7045988303421586e-06,5.340559827995972e-06,2.0607404222220327e-06,1.0105899080560272e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_5,2026-09-07T13:32:16,sac_Ant-v5_seed331,cae73f66-1337-4ada-8d7e-a606fcb35346,4.127124788999936,6.152492565959095e-05,1.4907482077177268e-05,27.35365796829949,70.43892084334736,20.0,2.634398163072274e-05,0.00011223314534199169,2.2926812283332004e-05,0.00016150393925604654,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_6,2026-09-07T13:32:16,sac_Ant-v5_seed331,cae73f66-1337-4ada-8d7e-a606fcb35346,0.3728813790003187,4.5518870653970395e-06,1.2206580010788038e-05,27.28525257356344,70.3728341080112,20.0,2.7345396876321537e-06,7.1527835000112505e-06,2.0614550388876798e-06,1.19487782265313e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_6,2026-09-07T13:32:20,sac_Ant-v5_seed331,cae73f66-1337-4ada-8d7e-a606fcb35346,4.017397341000105,6.191652017043816e-05,1.5412101050455947e-05,27.226325498200524,72.07419091184855,20.0,2.9454039396546727e-05,0.00011076758861400249,2.231025326110891e-05,0.00016253188127165813,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_7,2026-09-07T13:32:20,sac_Ant-v5_seed331,cae73f66-1337-4ada-8d7e-a606fcb35346,0.351670828999886,4.087556731970478e-06,1.1622877457715931e-05,27.614999903570673,71.15178002879426,20.0,3.362488523322299e-06,5.415282109996755e-06,1.9521328500003666e-06,1.072990348331953e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_7,2026-09-07T13:32:24,sac_Ant-v5_seed331,cae73f66-1337-4ada-8d7e-a606fcb35346,4.023204113999782,6.23472326550347e-05,1.5496935618879158e-05,27.872650432807248,72.71262961352456,20.0,2.8692966287689053e-05,0.00011262536787801092,2.2344174444444663e-05,0.00016366250861014463,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_8,2026-09-07T13:32:25,sac_Ant-v5_seed331,cae73f66-1337-4ada-8d7e-a606fcb35346,0.35439171899997746,4.008364214841669e-06,1.1310285868879882e-05,28.167722241616396,71.72377280629128,20.0,3.344364619933815e-06,5.209726389995839e-06,1.967930816666329e-06,1.0522021826595875e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
