task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-09T15:18:31,sac_Ant-v5_seed331,b95a19bb-b3fc-403b-8561-47ec83b93743,90.00415700499434,0.0006466278093027108,7.184420897393506e-06,15.409231551005227,14.50088245052309,20.0,0.000430601184480673,0.0007497622664760506,0.0005170451572666934,0.001697408608223417,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-09T15:18:32,sac_Ant-v5_seed331,b95a19bb-b3fc-403b-8561-47ec83b93743,0.6635860960086575,8.243591566032388e-06,1.2422789219266243e-05,22.58689535647818,29.784367959148152,20.0,6.832483799314865e-06,1.1121953342074775e-05,3.6851259667148315e-06,2.1639563108104363e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-09T15:18:33,sac_Ant-v5_seed331,b95a19bb-b3fc-403b-8561-47ec83b93743,0.4835056709998753,5.928840063942225e-06,1.2262231043894514e-05,25.305795977939155,37.99094646710217,20.0,4.512829999154394e-06,8.375562255968916e-06,2.6749101833653446e-06,1.5563302438488654e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-09T15:18:50,sac_Ant-v5_seed331,b95a19bb-b3fc-403b-8561-47ec83b93743,16.823564577003708,0.00025198809705933656,1.4978288795108822e-05,26.82035264162435,49.99463022718015,20.0,0.00011000111188970776,0.00045800981085220016,9.346196624440684e-05,0.0006614728889863147,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-09T15:18:50,sac_Ant-v5_seed331,b95a19bb-b3fc-403b-8561-47ec83b93743,0.3575724729889771,5.050311621122069e-06,1.412401300427374e-05,28.24484226628279,54.660595032882405,20.0,3.532759492868437e-06,7.740006191969684e-06,1.984385177800259e-06,1.325715086263838e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-09T15:19:06,sac_Ant-v5_seed331,b95a19bb-b3fc-403b-8561-47ec83b93743,15.963634208004805,0.00024817943752651834,1.5546554296112742e-05,29.185343103955564,61.16212742282905,20.0,0.00011860778266392993,0.00044418313312366564,8.868417943886015e-05,0.0006514750952264559,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-09T15:19:06,sac_Ant-v5_seed331,b95a19bb-b3fc-403b-8561-47ec83b93743,0.35542165199876763,5.04980494812836e-06,1.4207027078774398e-05,29.845105210782876,63.475091826440014,20.0,3.421624959521613e-06,7.861117400365103e-06,1.9730784778301943e-06,1.3255820837717019e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-09T15:19:23,sac_Ant-v5_seed331,b95a19bb-b3fc-403b-8561-47ec83b93743,16.30514824599959,0.0002471862234239542,1.5160016518686996e-05,30.284425835223583,67.54406090987145,20.0,0.00010494444312215273,0.0004533423071177989,9.058114167225233e-05,0.0006488678919122038,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-09T15:19:23,sac_Ant-v5_seed331,b95a19bb-b3fc-403b-8561-47ec83b93743,0.3704339990072185,4.833922457236342e-06,1.3049511190869492e-05,29.964302136633968,68.4093979065609,20.0,2.802000297154328e-06,7.831950710190938e-06,2.055174749936357e-06,1.2689125757281514e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-09T15:19:39,sac_Ant-v5_seed331,b95a19bb-b3fc-403b-8561-47ec83b93743,16.173100102008902,0.00024876066928459324,1.538113811039843e-05,29.68609500219765,71.40081366514852,20.0,0.00010800231584622705,0.00045515036411991616,8.98481581611527e-05,0.0006530008381272954,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
