task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-12T21:04:46,sac_Ant-v5_seed331,d6de2617-e5e3-4377-b753-91a44630f5d2,90.00581601399972,0.0006188805490049537,6.876005675183458e-06,7.26147762365385,13.615293933526264,20.0,0.0004033269946057891,0.0007041036188380062,0.0005171409812666753,0.0016245715947104705,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-12T21:04:47,sac_Ant-v5_seed331,d6de2617-e5e3-4377-b753-91a44630f5d2,0.67547184400064,8.248866924309662e-06,1.2211912953243949e-05,17.46437955589011,28.21725547857756,20.0,7.128249313703705e-06,1.0773341951986204e-05,3.751819744441786e-06,2.1653411010131695e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-12T21:04:48,sac_Ant-v5_seed331,d6de2617-e5e3-4377-b753-91a44630f5d2,0.4650295139999798,5.7395769484399175e-06,1.2342389293093914e-05,21.508127541639663,36.89425189560967,20.0,4.363971824503099e-06,8.121673164010468e-06,2.5808386666640757e-06,1.5066483655177751e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-12T21:04:52,sac_Ant-v5_seed331,d6de2617-e5e3-4377-b753-91a44630f5d2,4.391538971000045,5.1098207972179914e-05,1.1635624999737819e-05,23.606255055769793,42.417833611696274,20.0,3.104386705730239e-05,7.869367406598826e-05,2.439609313889578e-05,0.00013413363426218643,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-12T21:04:52,sac_Ant-v5_seed331,d6de2617-e5e3-4377-b753-91a44630f5d2,0.3598741749992769,3.630673978288236e-06,1.0088464938159801e-05,23.97569357754499,43.5810050707232,20.0,2.5958542989035216e-06,4.936392837995296e-06,1.998331622225032e-06,9.530578759123741e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-12T21:04:56,sac_Ant-v5_seed331,d6de2617-e5e3-4377-b753-91a44630f5d2,4.114123897999889,4.8023054088390895e-05,1.1672749202972615e-05,24.238417666202036,46.57192589926982,20.0,2.9478707749622246e-05,7.372783676000416e-05,2.285476035555499e-05,0.0001260613048651815,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-12T21:04:57,sac_Ant-v5_seed331,d6de2617-e5e3-4377-b753-91a44630f5d2,0.3469531519986049,4.519546979594676e-06,1.3025502910420342e-05,25.366443914939833,49.490870884253276,20.0,3.223956190276378e-06,6.718616486003914e-06,1.9213122944367273e-06,1.1863884970717128e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-12T21:05:01,sac_Ant-v5_seed331,d6de2617-e5e3-4377-b753-91a44630f5d2,4.1974764420010615,4.751778970875332e-05,1.1320589292665666e-05,25.998079604500962,51.18887530115282,20.0,2.5902765999979982e-05,7.551561596799705e-05,2.331659561111035e-05,0.00012473497757908738,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-12T21:05:01,sac_Ant-v5_seed331,d6de2617-e5e3-4377-b753-91a44630f5d2,0.35431585000151244,4.386819333408406e-06,1.2381173855603715e-05,26.166470649863435,52.9896028868082,20.0,2.740151636558552e-06,6.808061002006038e-06,1.967260083337208e-06,1.151547272190169e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-12T21:05:05,sac_Ant-v5_seed331,d6de2617-e5e3-4377-b753-91a44630f5d2,4.105745090999335,4.825715435157374e-05,1.1753572018951295e-05,26.27267672898138,54.09061416618544,20.0,2.960959396543228e-05,7.425450384800081e-05,2.2811724083334818e-05,0.0001266758218967678,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
