task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-12T22:00:12,sac_Ant-v5_seed331,af16f9d1-7a3e-4353-9533-c8815d2ca1f9,90.00443499100038,0.000710589475215924,7.895049281085231e-06,13.678217637864332,18.495138611478314,20.0,0.0003916902389074911,0.0009564718762879731,0.0005171469154277778,0.001865309030623242,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-12T22:00:13,sac_Ant-v5_seed331,af16f9d1-7a3e-4353-9533-c8815d2ca1f9,0.6641188649991818,8.728809720299005e-06,1.314328487046891e-05,21.47632000667237,34.66706476089533,20.0,6.8615941003769e-06,1.236250989000709e-05,3.6891647333302463e-06,2.2913268723714344e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-12T22:00:14,sac_Ant-v5_seed331,af16f9d1-7a3e-4353-9533-c8815d2ca1f9,0.4661822840007517,6.064157160748569e-06,1.300862540839872e-05,24.309129988807378,43.519726884418795,20.0,4.266214524081824e-06,9.065562808024952e-06,2.5867347055584956e-06,1.591851203766527e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-12T22:00:18,sac_Ant-v5_seed331,af16f9d1-7a3e-4353-9533-c8815d2ca1f9,4.442907638000179,5.5993863011329775e-05,1.2602982891055916e-05,25.689341941127015,49.67050364973386,20.0,3.064591840559738e-05,9.165812888198288e-05,2.468076177221726e-05,0.00014698480905979742,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-12T22:00:19,sac_Ant-v5_seed331,af16f9d1-7a3e-4353-9533-c8815d2ca1f9,0.3649523889998818,4.591006127824997e-06,1.2579539458243842e-05,25.745051401599884,53.42747215544636,20.0,2.665129354317841e-06,7.3508392139931544e-06,2.0354978388948406e-06,1.2051466407205728e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-12T22:00:23,sac_Ant-v5_seed331,af16f9d1-7a3e-4353-9533-c8815d2ca1f9,4.161350725000375,5.242003671570769e-05,1.2596899294804695e-05,25.743817127548628,56.43032419789798,20.0,2.8435415248301288e-05,8.605117995202916e-05,2.311686120000454e-05,0.0001376034564003351,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-12T22:00:23,sac_Ant-v5_seed331,af16f9d1-7a3e-4353-9533-c8815d2ca1f9,0.3611062669988314,4.612818771745366e-06,1.2773416817196724e-05,25.808991246781236,58.67130200239046,20.0,2.648921008027716e-06,7.455005963996619e-06,2.0047979833381566e-06,1.2108724955362492e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-12T22:00:27,sac_Ant-v5_seed331,af16f9d1-7a3e-4353-9533-c8815d2ca1f9,4.119615986001008,5.282322116671972e-05,1.2822391960869181e-05,25.849655455161617,60.52457264050145,20.0,2.9554391421271475e-05,8.622229119997771e-05,2.2885139577778746e-05,0.00013866182219902804,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-12T22:00:28,sac_Ant-v5_seed331,af16f9d1-7a3e-4353-9533-c8815d2ca1f9,0.36305909899965627,4.615754593893253e-06,1.2713264560118951e-05,25.87536764384103,61.90134012842427,20.0,2.647496840216257e-06,7.460839302003697e-06,2.008095394446857e-06,1.2116431536667027e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-12T22:00:32,sac_Ant-v5_seed331,af16f9d1-7a3e-4353-9533-c8815d2ca1f9,4.1814836419998755,5.26919250176508e-05,1.2601276902811814e-05,25.842667559101688,63.17612128673302,20.0,2.690372402297525e-05,8.81842372139896e-05,2.322920641666614e-05,0.0001383171676536312,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-12T22:00:32,sac_Ant-v5_seed331,af16f9d1-7a3e-4353-9533-c8815d2ca1f9,0.36143383600028756,3.87165694583076e-06,1.0711543205491233e-05,25.878666495986906,62.48017035470334,20.0,2.652956289025954e-06,5.503059958000822e-06,2.0071467555478686e-06,1.0163163002574645e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_4,2026-09-12T22:00:36,sac_Ant-v5_seed331,af16f9d1-7a3e-4353-9533-c8815d2ca1f9,4.113666793000448,5.373975726950418e-05,1.3063728977615026e-05,25.90739977945494,63.618877386681184,20.0,2.9910090039164672e-05,8.830562620001925e-05,2.28520282666674e-05,0.00014106774450585143,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
