task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-17T12:12:59,sac_Ant-v5_seed331,050d6762-c62d-4470-9171-bedb3bf7bf23,90.00337805100025,0.0006392106028998247,7.102073228556375e-06,10.856709263927701,14.743914218593035,20.0,0.0003965084810954207,0.0007635533886200044,0.0005178764500111128,0.001677938319726538,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-17T12:13:00,sac_Ant-v5_seed331,050d6762-c62d-4470-9171-bedb3bf7bf23,0.6674283660004221,8.203302278505208e-06,1.2290733923541113e-05,19.579839759178977,29.504157070502405,20.0,6.886686342678222e-06,1.0940564308000583e-05,3.7065524166665772e-06,2.1533803067345274e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-17T12:13:01,sac_Ant-v5_seed331,050d6762-c62d-4470-9171-bedb3bf7bf23,0.48759714900006657,5.775007665080882e-06,1.1843892019326913e-05,22.56318268503084,37.21094923474091,20.0,4.285677595205345e-06,8.16695097799816e-06,2.7068612944453757e-06,1.5159489867648882e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-17T12:13:05,sac_Ant-v5_seed331,050d6762-c62d-4470-9171-bedb3bf7bf23,4.705136250000123,8.061644585469967e-05,1.713376871798399e-05,24.004066715789147,53.593529690967216,20.0,2.979359800152695e-05,0.0001556876245500001,2.613827043889056e-05,0.00021161949299041772,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-17T12:13:06,sac_Ant-v5_seed331,050d6762-c62d-4470-9171-bedb3bf7bf23,0.36851040999999896,3.7262198024964194e-06,1.0111435454693876e-05,24.227160919601733,53.0062823999694,20.0,2.6084854201184615e-06,5.125837433998803e-06,2.0470652611114318e-06,9.781388115228697e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-17T12:13:10,sac_Ant-v5_seed331,050d6762-c62d-4470-9171-bedb3bf7bf23,4.345501210999828,7.757574716277726e-05,1.7851998949123764e-05,24.359493999076822,63.19182199593893,20.0,2.9463093014901742e-05,0.00015003512002800118,2.4139395994444003e-05,0.00020363760903734682,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-17T12:13:11,sac_Ant-v5_seed331,050d6762-c62d-4470-9171-bedb3bf7bf23,0.3447247939998306,4.073499188523362e-06,1.1815857545109309e-05,25.434864269199352,62.61244607076952,20.0,3.1747550398031343e-06,5.604448928001743e-06,1.913798233332928e-06,1.0693002201137697e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-17T12:13:15,sac_Ant-v5_seed331,050d6762-c62d-4470-9171-bedb3bf7bf23,4.322015829000065,7.82859566348694e-05,1.811332972608905e-05,26.110241534386198,69.58759508176826,20.0,3.090028194242811e-05,0.00015058345379999685,2.4018184811110533e-05,0.0002055019205535356,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-17T12:13:15,sac_Ant-v5_seed331,050d6762-c62d-4470-9171-bedb3bf7bf23,0.35297825599991484,3.964494033163626e-06,1.1231411941110458e-05,26.77425136030298,67.95247305620589,20.0,3.229652861497928e-06,5.217504173999493e-06,1.9597048444438235e-06,1.0406861879941245e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-17T12:13:20,sac_Ant-v5_seed331,050d6762-c62d-4470-9171-bedb3bf7bf23,4.344946763999815,7.780080599391337e-05,1.790606264668583e-05,27.164662535782316,73.12611052046599,20.0,2.939436101546955e-05,0.000150696509446005,2.4137521699998986e-05,0.00020422839216147374,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
