task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-08T11:54:50,sac_Ant-v5_seed43611,911b42dd-5ca6-47c5-86cf-72645a533b88,90.00353781800004,0.0006024113558402795,6.69319653825532e-06,11.320916863718512,12.776334442306721,20.0,0.000403484532787368,0.0006607155285719996,0.0005171396310944437,0.0015813396924538115,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-08T11:54:51,sac_Ant-v5_seed43611,911b42dd-5ca6-47c5-86cf-72645a533b88,0.6562480620000315,7.3987109701765435e-06,1.1274076176947568e-05,20.04040232421271,24.83171165416982,20.0,6.855999095905889e-06,8.92084047000169e-06,3.6448981166662363e-06,1.9421737682573815e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-08T11:54:52,sac_Ant-v5_seed43611,911b42dd-5ca6-47c5-86cf-72645a533b88,0.5322015700000975,6.44762367633619e-06,1.2115349747592348e-05,22.67443764326266,34.58893290808193,20.0,4.536853907258567e-06,9.434174214000002e-06,2.954089811110913e-06,1.6925117932369482e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-08T11:54:56,sac_Ant-v5_seed43611,911b42dd-5ca6-47c5-86cf-72645a533b88,4.272791056000187,6.354731586262052e-05,1.4872587617901841e-05,24.02353859613822,46.82339117944711,20.0,2.9441052719490074e-05,0.00011363842424400028,2.3733269755555524e-05,0.00016681274671904588,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-08T11:54:57,sac_Ant-v5_seed43611,911b42dd-5ca6-47c5-86cf-72645a533b88,0.3533597219998228,3.872098631166202e-06,1.0957765348958375e-05,25.422577702046187,47.5132727439838,20.0,3.2008983940493355e-06,5.001115111999063e-06,1.962308927777991e-06,1.016432243382639e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-08T11:55:01,sac_Ant-v5_seed43611,911b42dd-5ca6-47c5-86cf-72645a533b88,4.011274463000063,6.016430043873978e-05,1.4998826980053153e-05,26.200325697034348,54.58455381477755,20.0,2.7505817837970674e-05,0.00010813397539599992,2.2292482494444608e-05,0.0001579322757284151,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-08T11:55:01,sac_Ant-v5_seed43611,911b42dd-5ca6-47c5-86cf-72645a533b88,0.352606772000172,4.777144133996159e-06,1.3547145284737192e-05,27.010107841199915,57.16487306444092,20.0,3.2187850750268338e-06,7.3638947800016424e-06,1.9574018722222624e-06,1.2540081727250739e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-08T11:55:05,sac_Ant-v5_seed43611,911b42dd-5ca6-47c5-86cf-72645a533b88,4.011034913999993,6.0357043445941755e-05,1.504776431897267e-05,27.464022811074855,61.64216290772591,20.0,2.7603745138533517e-05,0.00010855758684599759,2.227689729999917e-05,0.00015843822928453006,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-08T11:55:05,sac_Ant-v5_seed43611,911b42dd-5ca6-47c5-86cf-72645a533b88,0.3527622249998785,4.0658920225971e-06,1.1525619804818547e-05,27.9945123038543,61.07661325608878,20.0,3.229720361551218e-06,5.484448832001124e-06,1.9588640722228816e-06,1.0673033265775223e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-08T11:55:09,sac_Ant-v5_seed43611,911b42dd-5ca6-47c5-86cf-72645a533b88,4.033676287999924,6.0797588260801854e-05,1.5072530677670863e-05,28.291059356447473,64.36314461283673,20.0,2.8257447328160906e-05,0.00010893175381200028,2.2405465511110426e-05,0.0001595946666512714,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
