task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-09T14:42:21,sac_Ant-v5_seed43611,3b858034-6da1-4040-bc6c-9dccb2e38600,90.00352505699266,0.0006488473829725774,7.209132641722472e-06,10.90821160274039,14.406268399357831,20.0,0.00044136596975915925,0.0007448428180960587,0.0005170262376667071,0.001703235025521925,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-09T14:42:22,sac_Ant-v5_seed43611,3b858034-6da1-4040-bc6c-9dccb2e38600,0.6729200069967192,7.674555040788336e-06,1.140477478816262e-05,19.564607859661578,26.53488444940244,20.0,6.9161358106813176e-06,9.492507593966693e-06,3.7371894888767057e-06,2.0145832893524824e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-09T14:42:22,sac_Ant-v5_seed43611,3b858034-6da1-4040-bc6c-9dccb2e38600,0.4893946529919049,5.930335600918494e-06,1.211786983839479e-05,23.020299954219958,35.167171689848004,20.0,4.5570292011749836e-06,8.294173301948149e-06,2.7160257444645494e-06,1.5567228247587682e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-09T14:42:31,sac_Ant-v5_seed43611,3b858034-6da1-4040-bc6c-9dccb2e38600,8.801225236995379,0.00013306138816421482,1.511851923031403e-05,24.95272194155433,47.299298191726805,20.0,6.61283729026553e-05,0.00023426713185825676,4.8892822222195635e-05,0.0003492883269831076,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-09T14:42:31,sac_Ant-v5_seed43611,3b858034-6da1-4040-bc6c-9dccb2e38600,0.3566971139953239,4.963413014711271e-06,1.391510685893811e-05,26.53626196602165,52.239489000610554,20.0,3.4329671908146786e-06,7.616672759835907e-06,1.979400644470117e-06,1.302904059512092e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-09T14:42:40,sac_Ant-v5_seed43611,3b858034-6da1-4040-bc6c-9dccb2e38600,8.66524917499919,0.00012891196763539152,1.4876915022994892e-05,27.51422180988845,58.459828731897765,20.0,5.972215083323816e-05,0.00023053657331817412,4.813730586667787e-05,0.00033839603001809037,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-09T14:42:41,sac_Ant-v5_seed43611,3b858034-6da1-4040-bc6c-9dccb2e38600,0.3740889400069136,4.784095005983522e-06,1.2787944443858985e-05,27.43908892959173,60.38958019440629,20.0,2.811613360400797e-06,7.671117247642911e-06,2.0755972722125192e-06,1.2558327880256119e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-09T14:42:49,sac_Ant-v5_seed43611,3b858034-6da1-4040-bc6c-9dccb2e38600,8.461752094997792,0.00012954798346810734,1.530984901687768e-05,27.375666786243325,64.58726832078767,20.0,6.2324736526417e-05,0.00023073379569837904,4.7007049788872846e-05,0.0003400655820136691,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-09T14:42:49,sac_Ant-v5_seed43611,3b858034-6da1-4040-bc6c-9dccb2e38600,0.35277516399219166,4.1540438155565716e-06,1.1775293207064542e-05,28.12875995993421,63.75309517541467,20.0,3.4401388632199215e-06,5.506671072019742e-06,1.957623233304071e-06,1.0904433168543518e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-09T14:42:57,sac_Ant-v5_seed43611,3b858034-6da1-4040-bc6c-9dccb2e38600,8.101322937989607,0.00012583560325056184,1.5532732993067755e-05,28.665797210991627,67.02214594236192,20.0,6.0938494584088926e-05,0.00022437767950189702,4.500434895000785e-05,0.0003303205230359937,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
