task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-09T16:53:53,sac_Ant-v5_seed43611,f4ec3147-d739-46ee-9593-c3b427b8505f,90.0038360519975,0.0006517313770443782,7.24115082481149e-06,12.935516271844133,14.793182262773692,20.0,0.0004287372927117769,0.0007649633897477415,0.000517104874816707,0.0017108055572762255,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-09T16:53:54,sac_Ant-v5_seed43611,f4ec3147-d739-46ee-9593-c3b427b8505f,0.6714456070039887,8.34058482701973e-06,1.2421757077276763e-05,21.16559346469027,29.794974255561332,20.0,7.041155632922513e-06,1.1130842237694338e-05,3.722174138884901e-06,2.189417200950186e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-09T16:53:55,sac_Ant-v5_seed43611,f4ec3147-d739-46ee-9593-c3b427b8505f,0.49012364700320177,6.03841932607244e-06,1.2320224841817755e-05,24.47819951717974,37.83046620748938,20.0,4.704886819459353e-06,8.42584007432201e-06,2.720222905595133e-06,1.5850949799376497e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-09T16:54:11,sac_Ant-v5_seed43611,f4ec3147-d739-46ee-9593-c3b427b8505f,16.504203609001706,0.00025337047075041797,1.5351880840671462e-05,26.36773838926971,50.06346168991139,20.0,0.00011959600817672278,0.0004538209186117914,9.168471581659911e-05,0.0006651016426051134,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-09T16:54:12,sac_Ant-v5_seed43611,f4ec3147-d739-46ee-9593-c3b427b8505f,0.35411766899051145,4.135069842648321e-06,1.16772449071504e-05,27.627516124624435,51.104274315011054,20.0,3.356029073711686e-06,5.5336155380114604e-06,1.9649815666424432e-06,1.0854626178365481e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-09T16:54:28,sac_Ant-v5_seed43611,f4ec3147-d739-46ee-9593-c3b427b8505f,16.139432761003263,0.00024887381156759865,1.5420237084644663e-05,28.451894647895106,58.20018294150156,20.0,0.0001118576794860715,0.00045178008364588074,8.966007534448486e-05,0.0006532978384764369,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-09T16:54:28,sac_Ant-v5_seed43611,f4ec3147-d739-46ee-9593-c3b427b8505f,0.37003058900882024,3.968872562929273e-06,1.072518017890912e-05,28.35977557865636,57.6216975220061,20.0,2.864035902341855e-06,5.5011155122297595e-06,2.0532041778400156e-06,1.0418355592411738e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-09T16:54:44,sac_Ant-v5_seed43611,f4ec3147-d739-46ee-9593-c3b427b8505f,16.204027678992134,0.0002491341021624905,1.5374831198864226e-05,28.263790379177212,62.476225296643264,20.0,0.00010800155279006018,0.0004559678647739762,9.001168799441077e-05,0.0006539811055584471,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-09T16:54:45,sac_Ant-v5_seed43611,f4ec3147-d739-46ee-9593-c3b427b8505f,0.36232901200128254,3.8973742497558535e-06,1.075654391299717e-05,28.267955109065774,61.550245321693396,20.0,2.865154792114355e-06,5.353893171911039e-06,2.0116233832797887e-06,1.0230671347304966e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-09T16:55:01,sac_Ant-v5_seed43611,f4ec3147-d739-46ee-9593-c3b427b8505f,16.211805250000907,0.00025100392885217147,1.5482790381512736e-05,28.255378083509626,65.13741863656044,20.0,0.00011402093121667956,0.00045481480829590026,9.005369178331519e-05,0.0006588894312958954,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-09T16:55:01,sac_Ant-v5_seed43611,f4ec3147-d739-46ee-9593-c3b427b8505f,0.35320463200332597,5.140001859374032e-06,1.4552678347387799e-05,28.7953731446033,66.60049088310905,20.0,3.4274910753195886e-06,8.105284261983314e-06,1.9598138722358265e-06,1.3492589209539163e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_4,2026-09-09T16:55:18,sac_Ant-v5_seed43611,f4ec3147-d739-46ee-9593-c3b427b8505f,16.219327954007895,0.00024806759903018226,1.5294575581764257e-05,29.200591603820378,69.26296723773183,20.0,0.00010504175986668363,0.00045602758704421653,9.011217042781134e-05,0.0006511815173387116,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
