task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-12T21:37:55,sac_Ant-v5_seed43611,541bbc18-2ae8-4e08-ae96-1d6639e16987,90.00325131200043,0.0007082299237562075,7.868936680262235e-06,12.70297084604627,18.50003610449567,20.0,0.00038526482487828695,0.0009567110431460135,0.0005171393013055523,0.0018591151693298528,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-12T21:37:56,sac_Ant-v5_seed43611,541bbc18-2ae8-4e08-ae96-1d6639e16987,0.665887474999181,8.003106151106918e-06,1.201857812226461e-05,20.68612140664606,31.3258536925199,20.0,6.80138988555512e-06,1.0516119523990008e-05,3.69077553889134e-06,2.100828494843647e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-12T21:37:56,sac_Ant-v5_seed43611,541bbc18-2ae8-4e08-ae96-1d6639e16987,0.473178143000041,6.051130413530534e-06,1.2788444295314801e-05,23.597506583978703,40.614449628348126,20.0,4.266740080055564e-06,8.99195163800437e-06,2.6256248944365665e-06,1.58843166124965e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-12T21:38:01,sac_Ant-v5_seed43611,541bbc18-2ae8-4e08-ae96-1d6639e16987,4.5309244399995805,5.4518862314844674e-05,1.2032627127853795e-05,25.041143761761756,46.28193465782272,20.0,3.1166038543917196e-05,8.677701386600178e-05,2.516985562222337e-05,0.00014311290803214246,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-12T21:38:01,sac_Ant-v5_seed43611,541bbc18-2ae8-4e08-ae96-1d6639e16987,0.3595892769990314,4.515672835884196e-06,1.2557622482165592e-05,25.113144077225527,50.748531542340494,20.0,2.5588098248180424e-06,7.298061393989919e-06,1.9968440611086444e-06,1.1853715279916497e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-12T21:38:05,sac_Ant-v5_seed43611,541bbc18-2ae8-4e08-ae96-1d6639e16987,4.147933018000913,5.0270404873071855e-05,1.2119403153617342e-05,25.117340498108952,53.59927094909851,20.0,2.7458668078031434e-05,8.145978738999249e-05,2.304218207777411e-05,0.00013196063754579825,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-12T21:38:06,sac_Ant-v5_seed43611,541bbc18-2ae8-4e08-ae96-1d6639e16987,0.3654306339994946,3.887510454774314e-06,1.0637482178926984e-05,25.331651588168825,53.594672849769324,20.0,2.7392527469499717e-06,5.436115460027979e-06,2.0294105166714007e-06,1.0204778723649569e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-12T21:38:10,sac_Ant-v5_seed43611,541bbc18-2ae8-4e08-ae96-1d6639e16987,3.920948605000376,4.821223636423109e-05,1.2296084575092368e-05,25.476318615884846,55.43410632631756,20.0,2.8375244922398957e-05,7.640089445398734e-05,2.1781772066666798e-05,0.0001265579114430532,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-12T21:38:10,sac_Ant-v5_seed43611,541bbc18-2ae8-4e08-ae96-1d6639e16987,0.3542722629990749,4.831348074750617e-06,1.3637308313243464e-05,26.374231533790056,57.31614676811669,20.0,3.4101638392292077e-06,7.3050058440049526e-06,1.9671982777860796e-06,1.2682367961020131e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-12T21:38:14,sac_Ant-v5_seed43611,541bbc18-2ae8-4e08-ae96-1d6639e16987,3.930615884000872,4.832274432552282e-05,1.2293955830529388e-05,26.921966573012465,58.463653235557835,20.0,2.8654277090062186e-05,7.63583944199675e-05,2.1835325144446737e-05,0.00012684799665447664,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-12T21:38:14,sac_Ant-v5_seed43611,541bbc18-2ae8-4e08-ae96-1d6639e16987,0.3543202740002016,4.7993407190645e-06,1.3545103768784982e-05,27.442535433865675,59.81598739079942,20.0,3.283143182070125e-06,7.348061434042652e-06,1.967143511107366e-06,1.2598348127220143e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
