task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-12T22:33:17,sac_Ant-v5_seed43611,b82b5a05-be9a-490a-88d8-9eef856b4861,90.00325674499982,0.0006054810716164959,6.727323737521107e-06,13.929861431860795,13.011922868544465,20.0,0.00039953822713032633,0.0006727977604600033,0.0005170617591388893,0.0015893977467292188,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-12T22:33:18,sac_Ant-v5_seed43611,b82b5a05-be9a-490a-88d8-9eef856b4861,0.665223510000942,8.111381381827802e-06,1.2193305555051437e-05,22.050350127448883,27.609442149192773,20.0,7.0995798463271975e-06,1.0497508398044086e-05,3.6954209611091355e-06,2.1292509205480528e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-12T22:33:19,sac_Ant-v5_seed43611,b82b5a05-be9a-490a-88d8-9eef856b4861,0.477737375000288,5.128396270569278e-06,1.0734769870539083e-05,24.847375105221086,32.737987667966195,20.0,4.42956771031823e-06,6.381116215981031e-06,2.6514404222224537e-06,1.3462124348521606e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-12T22:33:23,sac_Ant-v5_seed43611,b82b5a05-be9a-490a-88d8-9eef856b4861,4.46875881699998,5.384129455936377e-05,1.2048391488052517e-05,26.211014285765327,39.88587689217134,20.0,3.15114632647058e-05,8.499812355400316e-05,2.482469473888058e-05,0.00014133428155758965,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-12T22:33:24,sac_Ant-v5_seed43611,b82b5a05-be9a-490a-88d8-9eef856b4861,0.35523523700067017,4.607627434144901e-06,1.2970284137666813e-05,27.49541207178464,44.65246926962274,20.0,3.365981303894011e-06,6.7563942939830035e-06,1.9727220111134813e-06,1.2095097608990496e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-12T22:33:28,sac_Ant-v5_seed43611,b82b5a05-be9a-490a-88d8-9eef856b4861,4.189667990998714,5.0982746647171696e-05,1.2168700993159906e-05,28.189612893274386,48.11421092932343,20.0,3.0394708204636856e-05,8.016200857399736e-05,2.327382961110646e-05,0.00013383054638974067,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-12T22:33:28,sac_Ant-v5_seed43611,b82b5a05-be9a-490a-88d8-9eef856b4861,0.35619627899905026,3.9088628556779165e-06,1.0973083924161218e-05,28.860251009117636,48.34802317023657,20.0,3.338769893236268e-06,4.944170621995481e-06,1.9778886111048496e-06,1.0260829126336598e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-12T22:33:32,sac_Ant-v5_seed43611,b82b5a05-be9a-490a-88d8-9eef856b4861,4.19283319600072,5.076421335646847e-05,1.2107392270834592e-05,29.194914753517423,50.672219279090854,20.0,2.9296501492737798e-05,8.066839786802227e-05,2.329199355555016e-05,0.00013325689291631033,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-12T22:33:33,sac_Ant-v5_seed43611,b82b5a05-be9a-490a-88d8-9eef856b4861,0.3596559530014929,4.368711645147145e-06,1.2146571211594962e-05,28.91866676844858,52.42793260807862,20.0,2.6556010133682584e-06,6.815005451993317e-06,1.997333277773219e-06,1.1467939743134686e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-12T22:33:37,sac_Ant-v5_seed43611,b82b5a05-be9a-490a-88d8-9eef856b4861,4.162918373000139,5.022613258094395e-05,1.2065143672127364e-05,28.68304078666421,53.85302567541451,20.0,2.996910758637679e-05,7.874950744402032e-05,2.3125807022218725e-05,0.00013184442205261583,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-12T22:33:37,sac_Ant-v5_seed43611,b82b5a05-be9a-490a-88d8-9eef856b4861,0.3523793009990186,3.898295107631158e-06,1.1062772444531095e-05,29.07016065247603,53.58217366351837,20.0,3.2948581914389596e-06,4.973059534008062e-06,1.9651708888886914e-06,1.0233088614335605e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_4,2026-09-12T22:33:41,sac_Ant-v5_seed43611,b82b5a05-be9a-490a-88d8-9eef856b4861,4.165161773000364,5.1326233755606644e-05,1.2322768626560694e-05,29.293653634802915,54.837286162166265,20.0,3.0748745432311944e-05,8.085034245799982e-05,2.3133117794441244e-05,0.0001347322056847529,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_5,2026-09-12T22:33:42,sac_Ant-v5_seed43611,b82b5a05-be9a-490a-88d8-9eef856b4861,0.3496889640009613,3.962314080354322e-06,1.1331395359865682e-05,29.70139264712723,54.62952137173649,20.0,3.418963012945253e-06,5.041115143988861e-06,1.941061311117628e-06,1.0401139468051851e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
