task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-17T12:47:16,sac_Ant-v5_seed43611,db048d2f-8349-4192-9c32-83b653e9da8d,90.00276360099997,0.0006044256876157279,6.71563466480869e-06,13.59165125682344,13.105313196816091,20.0,0.0003918569490408627,0.0006776730421380051,0.0005170973552333332,0.001586627346412201,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-17T12:47:17,sac_Ant-v5_seed43611,db048d2f-8349-4192-9c32-83b653e9da8d,0.6600070859994958,7.556470305396766e-06,1.1448955113551069e-05,21.64618044323883,25.50843683662427,20.0,6.950298338016109e-06,9.220840709991962e-06,3.664719477774244e-06,1.9835858525782315e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-17T12:47:18,sac_Ant-v5_seed43611,db048d2f-8349-4192-9c32-83b653e9da8d,0.4888043809996816,5.844477064661721e-06,1.1956984353739758e-05,24.500904608814352,34.09986364107543,20.0,4.507438328169716e-06,8.121950942005518e-06,2.7124589111129785e-06,1.5341848181288104e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-17T12:47:22,sac_Ant-v5_seed43611,db048d2f-8349-4192-9c32-83b653e9da8d,4.535239980999904,8.071650318696767e-05,1.7797631411660908e-05,25.97294121247243,51.50921071455823,20.0,3.408597254653256e-05,0.00015260345541599774,2.5192717166666817e-05,0.00021188214512919711,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-17T12:47:23,sac_Ant-v5_seed43611,db048d2f-8349-4192-9c32-83b653e9da8d,0.3564354430000094,4.019370359205181e-06,1.1276442716598273e-05,27.32889192804733,51.646563889370405,20.0,3.3962782725778518e-06,5.176670807988115e-06,1.9779640555549075e-06,1.0550913136120766e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-17T12:47:27,sac_Ant-v5_seed43611,db048d2f-8349-4192-9c32-83b653e9da8d,4.329565823999474,7.829019478054527e-05,1.8082722216881836e-05,28.084199806752416,62.01915713463389,20.0,3.2060185370351435e-05,0.00014940511952400704,2.404774086110892e-05,0.0002055130457554674,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-17T12:47:28,sac_Ant-v5_seed43611,db048d2f-8349-4192-9c32-83b653e9da8d,0.3529695219995119,3.947617875377728e-06,1.1183291773663366e-05,28.685762788660913,60.84527597382299,20.0,3.2447078735405033e-06,5.15805968200056e-06,1.959794133335859e-06,1.0362561688877139e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-17T12:47:32,sac_Ant-v5_seed43611,db048d2f-8349-4192-9c32-83b653e9da8d,4.0833426740000505,7.426988113696349e-05,1.8188522846399737e-05,28.965470093150063,68.24630118076244,20.0,2.7722153011038725e-05,0.00014455456008800882,2.2682943383334664e-05,0.0001949596564823821,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-17T12:47:32,sac_Ant-v5_seed43611,db048d2f-8349-4192-9c32-83b653e9da8d,0.3502757249998467,4.329363170809796e-06,1.2359456295823067e-05,29.44686632618267,67.7075578091324,20.0,3.3058276446597257e-06,6.113893779996493e-06,1.9449279277776194e-06,1.1364649352434055e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-17T12:47:36,sac_Ant-v5_seed43611,db048d2f-8349-4192-9c32-83b653e9da8d,4.089033565000136,7.390159717469242e-05,1.8073150288841096e-05,29.659106114042974,73.09807004763026,20.0,2.703459329432556e-05,0.00014424372650601036,2.2714585238888235e-05,0.00019399290503922416,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-17T12:47:36,sac_Ant-v5_seed43611,db048d2f-8349-4192-9c32-83b653e9da8d,0.36176738900030614,5.045784595056205e-06,1.3947325516449369e-05,29.441084736627843,74.06167802844656,20.0,2.7328441307185314e-06,8.503895691999719e-06,2.0085275222249703e-06,1.3245267344943329e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_4,2026-09-17T12:47:40,sac_Ant-v5_seed43611,db048d2f-8349-4192-9c32-83b653e9da8d,4.0586182659999395,7.554033645794443e-05,1.8612362655149245e-05,29.254729165442768,78.28506758811685,20.0,3.036551318127967e-05,0.00014538344963999084,2.254565972222434e-05,0.00019829462254349495,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
