task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-09T17:25:41,sac_Ant-v5_seed85062,70ee9019-757b-4d04-8cca-aa24eda55d0b,90.00412254800904,0.0006573356774942088,7.303395035260526e-06,15.051579721808384,15.088197957836034,20.0,0.0004284777411152521,0.000780047846260068,0.0005169913505278399,0.00172551693790316,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-09T17:25:42,sac_Ant-v5_seed85062,70ee9019-757b-4d04-8cca-aa24eda55d0b,0.6692314829997486,8.35003695095018e-06,1.2476978564915567e-05,22.273193081773787,30.421637483522982,20.0,6.848471589884168e-06,1.1353897972243843e-05,3.716614427766115e-06,2.1918983989894234e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-09T17:25:43,sac_Ant-v5_seed85062,70ee9019-757b-4d04-8cca-aa24eda55d0b,0.48904346200288273,6.006701434950728e-06,1.2282752554403082e-05,25.054298626472885,38.46583636677994,20.0,4.555774755728159e-06,8.497506797988663e-06,2.714408261090314e-06,1.5767689814807136e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-09T17:26:00,sac_Ant-v5_seed85062,70ee9019-757b-4d04-8cca-aa24eda55d0b,17.2478397530067,0.00026010425341444637,1.508040344180752e-05,26.63316450549251,50.21239217866132,20.0,0.00012130381954297831,0.00046565870585979496,9.5815407172227e-05,0.0006827779325750004,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-09T17:26:00,sac_Ant-v5_seed85062,70ee9019-757b-4d04-8cca-aa24eda55d0b,0.36521796700253617,4.7242859990501845e-06,1.2935742931190938e-05,26.567991342096345,54.503191053749084,20.0,2.6768446414740174e-06,7.698061714300763e-06,2.02642190003338e-06,1.2401328255808378e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-09T17:26:17,sac_Ant-v5_seed85062,70ee9019-757b-4d04-8cca-aa24eda55d0b,16.81194169301307,0.0002558531445475639,1.5218541700529115e-05,26.511012033551317,60.83335203831306,20.0,0.00011676969536012589,0.0004614517580496802,9.339724864443669e-05,0.000671618702054243,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-09T17:26:18,sac_Ant-v5_seed85062,70ee9019-757b-4d04-8cca-aa24eda55d0b,0.35504006200062577,4.945590384664673e-06,1.3928911488300689e-05,27.459447410848696,62.909357150656945,20.0,3.3815113163180623e-06,7.630561660310065e-06,1.9701829222160128e-06,1.298225589884414e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-09T17:26:34,sac_Ant-v5_seed85062,70ee9019-757b-4d04-8cca-aa24eda55d0b,16.076569921002374,0.0002500862956286165,1.555595468684806e-05,28.142804606627546,67.16560583143587,20.0,0.00011517798603120433,0.0004519906393700701,8.931200362777519e-05,0.0006564806290290494,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-09T17:26:34,sac_Ant-v5_seed85062,70ee9019-757b-4d04-8cca-aa24eda55d0b,0.3665268340118928,4.961434215295388e-06,1.3536521563309039e-05,28.09622965407511,68.46784305250355,20.0,2.8332808777340943e-06,8.156673191983543e-06,2.033892144471714e-06,1.302384621418946e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-09T17:26:50,sac_Ant-v5_seed85062,70ee9019-757b-4d04-8cca-aa24eda55d0b,15.978094049001811,0.0002518627922953856,1.5763011442447556e-05,28.05257058125452,71.53994236004831,20.0,0.00011851863787038994,0.000453860640865944,8.87646831888156e-05,0.0006611439619251492,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-09T17:26:50,sac_Ant-v5_seed85062,70ee9019-757b-4d04-8cca-aa24eda55d0b,0.35112635599216446,4.160425948531669e-06,1.1849020172320917e-05,28.53322364431763,70.41413354455987,20.0,3.3173395983139564e-06,5.655282301786357e-06,1.948564472210499e-06,1.0921186372310487e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_4,2026-09-09T17:27:07,sac_Ant-v5_seed85062,70ee9019-757b-4d04-8cca-aa24eda55d0b,16.08417668400216,0.000248850299205012,1.5471750852368065e-05,28.898110919961805,72.81538642587424,20.0,0.00010982560230485619,0.00045405647435625696,8.935404147778175e-05,0.0006532361181388951,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_5,2026-09-09T17:27:07,sac_Ant-v5_seed85062,70ee9019-757b-4d04-8cca-aa24eda55d0b,0.3495169500092743,5.029981599385686e-06,1.4391231045327088e-05,29.27387612576595,73.45077736009374,20.0,3.3357687797244857e-06,7.928061897866101e-06,1.93995354444876e-06,1.3203784222038696e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_5,2026-09-09T17:27:23,sac_Ant-v5_seed85062,70ee9019-757b-4d04-8cca-aa24eda55d0b,16.040679543002625,0.00024828290553493724,1.5478334189331698e-05,29.56379440640968,75.30254995443484,20.0,0.00011160306150460051,0.0004510314719359254,8.911216700556294e-05,0.0006517467004460882,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_6,2026-09-09T17:27:23,sac_Ant-v5_seed85062,70ee9019-757b-4d04-8cca-aa24eda55d0b,0.3611103810108034,4.870863016649164e-06,1.348757103182964e-05,29.491291779162527,75.53572050189455,20.0,2.8651717365801507e-06,7.917784111910464e-06,2.003139483309005e-06,1.278609533179962e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
