task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-12T21:49:10,sac_Ant-v5_seed85062,4a5b87a5-bd62-475b-abc8-89df608da152,90.00336644899835,0.0006054514357247666,6.726986124939e-06,15.84111735341607,13.129740939249425,20.0,0.0003931893442734452,0.0006789913765259947,0.0005171392312277728,0.0015893199520272126,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-12T21:49:11,sac_Ant-v5_seed85062,4a5b87a5-bd62-475b-abc8-89df608da152,0.6651138380002521,8.0939959946994e-06,1.2169196043046019e-05,22.831040948697265,28.081809599938442,20.0,6.828499629463192e-06,1.072167524401868e-05,3.696697405555587e-06,2.1246872279037567e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-12T21:49:11,sac_Ant-v5_seed85062,4a5b87a5-bd62-475b-abc8-89df608da152,0.4678683930014813,5.100318998935518e-06,1.0901263418708485e-05,25.440482939065205,33.47636705270131,20.0,4.342050418076893e-06,6.449449603984636e-06,2.5969210277758566e-06,1.3388421049837385e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-12T21:49:16,sac_Ant-v5_seed85062,4a5b87a5-bd62-475b-abc8-89df608da152,4.432191423000404,5.0668755164808964e-05,1.14320371912343e-05,26.633213486890696,39.59781423229485,20.0,2.9493627483764828e-05,7.889172977998404e-05,2.4620956333334726e-05,0.0001330063135970836,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-12T21:49:16,sac_Ant-v5_seed85062,4a5b87a5-bd62-475b-abc8-89df608da152,0.3628794429987465,3.692460152939967e-06,1.0175728313486968e-05,26.560362736576796,41.30602192011091,20.0,2.6551432352334148e-06,5.0227817960379895e-06,2.014843449999024e-06,9.69276848127032e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-12T21:49:20,sac_Ant-v5_seed85062,4a5b87a5-bd62-475b-abc8-89df608da152,4.16642154299916,4.743710128867569e-05,1.1385599024833158e-05,26.447303691387788,44.48062053515529,20.0,2.7859397287499643e-05,7.35189477039655e-05,2.314482416111588e-05,0.0001245231691525809,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-12T21:49:21,sac_Ant-v5_seed85062,4a5b87a5-bd62-475b-abc8-89df608da152,0.36188244500044675,4.332755100894801e-06,1.1971971703784023e-05,26.416368390114485,47.27349330666498,20.0,2.648429340959546e-06,6.715560928044484e-06,2.0095629555523737e-06,1.1373553224556512e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-12T21:49:25,sac_Ant-v5_seed85062,4a5b87a5-bd62-475b-abc8-89df608da152,4.203261643000587,4.766201939080002e-05,1.1339320415817078e-05,26.3162767712269,49.17326749262247,20.0,2.6608178508760738e-05,7.515533790197759e-05,2.335006645000446e-05,0.0001251135828607428,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-12T21:49:25,sac_Ant-v5_seed85062,4a5b87a5-bd62-475b-abc8-89df608da152,0.36471599799915566,4.328595324105174e-06,1.18682269391944e-05,26.314194677122856,50.83104057209864,20.0,2.6786418651225663e-06,6.658894215999522e-06,2.0250976611148807e-06,1.1362633742237078e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-12T21:49:29,sac_Ant-v5_seed85062,4a5b87a5-bd62-475b-abc8-89df608da152,4.159008265000011,4.757080091485444e-05,1.1438038262123987e-05,26.278170156762737,51.998055673728146,20.0,2.821302757040345e-05,7.355561439997826e-05,2.3105490894441676e-05,0.0001248741328648234,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-12T21:49:30,sac_Ant-v5_seed85062,4a5b87a5-bd62-475b-abc8-89df608da152,0.3648912520002341,4.362359795829899e-06,1.1954982563978411e-05,26.235216119980056,53.25637747965556,20.0,2.6258296006581583e-06,6.799172106025653e-06,2.0262643277823428e-06,1.1451266034466154e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_4,2026-09-12T21:49:34,sac_Ant-v5_seed85062,4a5b87a5-bd62-475b-abc8-89df608da152,4.255424285000117,4.830997904092067e-05,1.135258941089747e-05,26.16442597323383,54.06369018081075,20.0,2.781960558899399e-05,7.535506028397143e-05,2.363982169999873e-05,0.00012681448757296404,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_5,2026-09-12T21:49:34,sac_Ant-v5_seed85062,4a5b87a5-bd62-475b-abc8-89df608da152,0.3648144469989347,4.364697324137534e-06,1.196407764811497e-05,26.143468851584764,54.994803600001255,20.0,2.6360190532592753e-06,6.796116548024589e-06,2.025266483340394e-06,1.145740208462415e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_5,2026-09-12T21:49:39,sac_Ant-v5_seed85062,4a5b87a5-bd62-475b-abc8-89df608da152,4.145399482000357,4.914539140847421e-05,1.1855423401266993e-05,26.127797739307717,55.72398026355954,20.0,3.002956624585662e-05,7.59420051980042e-05,2.3035887300001294e-05,0.0001290074587438619,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_6,2026-09-12T21:49:39,sac_Ant-v5_seed85062,4a5b87a5-bd62-475b-abc8-89df608da152,0.35003779900034715,3.9374861916173206e-06,1.1248006350952692e-05,26.64934534007834,55.470148880384826,20.0,3.371016585693165e-06,5.0213929059794715e-06,1.9435563611094366e-06,1.0335965852782073e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_6,2026-09-12T21:49:43,sac_Ant-v5_seed85062,4a5b87a5-bd62-475b-abc8-89df608da152,4.139535985999828,4.89885638353453e-05,1.1834329292726654e-05,27.00889097607857,56.084319573619496,20.0,2.981680802009723e-05,7.57836717379945e-05,2.2995304033338482e-05,0.0001285957837914302,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
